date,tmax,tmin,precip,wind
2026-06-12,19.9,11.4,8.6,18.7
2026-06-13,18.5,13.6,11.7,25.9
2026-06-14,17,12.4,0.4,20.9
2026-06-15,17.9,11.2,2.4,13
2026-06-16,22.3,10.1,0,9.7
2026-06-17,23.6,13.4,0,15.1
2026-06-18,29.7,16.6,0,11.2
2026-06-19,33.2,19.6,0.3,13
2026-06-20,30.5,20.1,0,17.3
2026-06-21,28.5,19.3,2.8,11.2
2026-06-22,27.5,16.2,0,14.4
2026-06-23,28.6,14.9,0,11.5
2026-06-24,33,16.8,0,6.1
2026-06-25,31.7,21.6,0,12.6
2026-06-26,36.2,19.9,0,14
2026-06-27,34.2,23.8,0,14.8
2026-06-28,29.9,22.9,0,17.6
2026-06-29,27.5,19.5,0,11.5
2026-06-30,24.3,14.4,0,14.4
2026-07-01,24.7,12.7,0,14.8
2026-07-02,22.9,12.7,3.5,25.2
2026-07-03,22.2,11.5,0,16.2
2026-07-04,23.9,10.1,0,19.8
2026-07-05,21.5,16.7,1.4,18.7
2026-07-06,25.8,15.8,0.1,23
2026-07-07,26.4,17.3,0,24.1
2026-07-08,20.7,16.7,0,15.1
2026-07-09,23.2,15.8,0,13.7
2026-07-10,27.4,11.7,0,13
2026-07-11,29.5,15.2,0,12.6
2026-07-12,28.4,16.6,0,17.3
2026-07-13,29.9,13.3,0,11.9
2026-07-14,27.9,17.4,0,18.7
2026-07-15,28.6,16.2,0,19.1
2026-07-16,24.3,16.2,0,15.1
2026-07-17,26.5,12.8,0.3,19.8
2026-07-18,20.8,15.1,0,18.7
2026-07-19,20.3,12.8,0.1,23
2026-07-20,21.7,12.8,0,14.8
2026-07-21,23,6.6,0,16.6
2026-07-22,20.1,12.4,1.1,25.2
2026-07-23,20.8,14.6,0,16.2
2026-07-24,22.1,9.1,0,9
2026-07-25,27.5,9.6,0,14.8
2026-07-26,20.5,15,13.5,18.7
2026-07-27,21.5,15.2,1.6,17.3
2026-07-28,27.4,11.9,0,16.2
2026-07-29,33.6,14,0,11.9
2026-07-30,31.2,16.7,7.2,16.2
2026-07-31,26.1,14.6,0,17.6
2026-08-01,23.7,11.2,0,9.4
2026-08-02,27.6,9.8,0,13
2026-08-03,32.8,16.7,0,17.6
2026-08-04,31.9,20.7,0,15.8
2026-08-05,28.1,18.5,0,16.6
2026-08-06,23.8,14.7,0,19.4
2026-08-07,20.4,9.9,0,13
2026-08-08,27.2,7.3,0,8.6
2026-08-09,30.4,10,0.2,12.6
2026-08-10,25.6,15.1,0,19.1
2026-08-11,23.2,7.7,0,13
2026-08-12,28.3,11,0,12.6
2026-08-13,33,10.6,0,11.5
2026-08-14,35,13.2,0,12.2
2026-08-15,28.6,15.6,2.2,13
2026-08-16,24.1,14.2,0,11.5
2026-08-17,18.9,13.4,5.1,12.2
2026-08-18,20.5,13.6,7,13
2026-08-19,19.5,15.7,7.3,16.2
2026-08-20,22.6,15.1,1,23
2026-08-21,20.9,13.1,2.7,13.3
2026-08-22,19.5,11.7,0,20.5
2026-08-23,20,10.7,0,16.2
2026-08-24,20.8,6.3,0,15.5
2026-08-25,24.1,11.4,0,16.2
2026-08-26,23.1,13.3,0,13.7
2026-08-27,30.8,14.9,0,13.7
2026-08-28,23,15.6,14,22.7
2026-08-29,23,15.6,2.2,22
2026-08-30,21.7,16.4,0.2,23
2026-08-31,21.2,15.8,1,25.2
2026-09-01,21.3,11.6,2.2,15.1
2026-09-02,22.2,11.2,0,15.1
2026-09-03,23.7,16.6,0.2,19.1
2026-09-04,21.6,16.6,8.5,24.1
2026-09-05,20,12.9,0,19.4
2026-09-06,21,7.1,0,11.5
2026-09-07,29.5,14.6,0,18
2026-09-08,23.9,16.3,3.3,16.9
2026-09-09,18.6,12.2,2,20.2
2026-09-10,18.6,9.8,0,9.4
2026-09-11,19.2,11,1.7,18
2026-09-12,20.6,11.5,0.1,13
2026-09-13,19.3,13.5,8,11.5
2026-09-14,22.1,10.5,0.4,9.7
2026-09-15,27,15.9,0,16.6
2026-09-16,19.6,12.8,2.5,13
2026-09-17,18.6,12.2,0.4,21.6
2026-09-18,18,13.1,0,13.7
2026-09-19,20.4,15,0.1,23.4
2026-09-20,19.1,13.3,0,24.5
2026-09-21,19.6,12.2,0,17.3
2026-09-22,18.4,9.8,0,9.7
2026-09-23,21,6.2,0,16.2
2026-09-24,18,7.8,0.1,19.4
2026-09-25,21.3,4.2,0,15.1
