date,tmax,tmin,precip,wind
2026-06-12,18,9.9,5.3,22
2026-06-13,16.8,12.1,6,45
2026-06-14,16,10.6,13,42.1
2026-06-15,15.5,12.3,0,50
2026-06-16,13.7,12.4,0,42.8
2026-06-17,15.2,12,0,21.2
2026-06-18,21.9,14.8,0,32.8
2026-06-19,22.5,16.4,0.2,19.4
2026-06-20,27.2,17.6,0,20.9
2026-06-21,21.6,16.8,0,21.2
2026-06-22,19.5,15.3,0,28.1
2026-06-23,19.5,14.6,0,15.1
2026-06-24,23.7,14.7,0,19.4
2026-06-25,22.9,18.2,0,31
2026-06-26,24.7,18.1,0,23
2026-06-27,30,21.4,0,28.4
2026-06-28,28.3,20.6,0.7,37.1
2026-06-29,21.8,17.9,3.4,30.6
2026-06-30,22.8,16.5,0,13
2026-07-01,21.8,17.5,0,19.4
2026-07-02,21.9,15.7,2.7,43.9
2026-07-03,16.7,14.6,0.1,59.8
2026-07-04,19.3,13.7,0,45
2026-07-05,18.8,14.8,0.5,45.7
2026-07-06,17.3,13,8.4,43.9
2026-07-07,17.5,14.5,8.2,50.8
2026-07-08,18.9,13,0,49
2026-07-09,19.4,13.7,0,36.4
2026-07-10,21.1,15.5,0,19.4
2026-07-11,22.9,15.9,0,20.2
2026-07-12,23.8,17.6,0,20.2
2026-07-13,21.8,17,0,20.5
2026-07-14,22.1,16.5,0,14
2026-07-15,21.5,16.7,0,16.6
2026-07-16,23,17,0,18.7
2026-07-17,24.5,18.3,0.3,15.8
2026-07-18,20,16.6,0,52.9
2026-07-19,19.2,13.6,2.3,41.8
2026-07-20,17,14.3,0.6,28.8
2026-07-21,21.4,15,0,31.3
2026-07-22,19,14.4,1.5,46.8
2026-07-23,20.1,15.5,0,29.5
2026-07-24,18.9,15,0,33.8
2026-07-25,24.9,13.2,0,31
2026-07-26,19.1,16,4,27.7
2026-07-27,18.7,14,1.9,47.9
2026-07-28,20.6,14.5,0,42.1
2026-07-29,25.7,17,0,24.8
2026-07-30,28.2,19.2,1.3,60.5
2026-07-31,19.6,16.5,0.8,23
2026-08-01,19.6,14.9,0,24.5
2026-08-02,21.1,13.1,0,22.3
2026-08-03,23,17.2,0,24.1
2026-08-04,19.3,17.7,10.9,26.3
2026-08-05,28.1,17.9,0.2,37.4
2026-08-06,23.5,17.3,0.3,46.4
2026-08-07,17.9,14.5,0,40
2026-08-08,20.4,15.1,0,22.7
2026-08-09,22.9,16.7,0,21.6
2026-08-10,21.2,15.6,7,33.5
2026-08-11,19.1,14.5,0,38.5
2026-08-12,17.8,14.4,0,16.2
2026-08-13,21,13.8,0,15.5
2026-08-14,24.1,18,0,27.7
2026-08-15,26.7,18.5,0,39.6
2026-08-16,19.5,15.5,0,37.8
2026-08-17,18.9,14.1,2.8,38.2
2026-08-18,17.3,14.4,0,29.5
2026-08-19,19.8,14.8,0.1,37.8
2026-08-20,20.3,15.7,1.7,31.3
2026-08-21,20,13.4,0,28.4
2026-08-22,18.2,15.3,7.8,49.7
2026-08-23,17.1,14.3,3.1,41.4
2026-08-24,18.8,14.5,0,25.2
2026-08-25,20.9,13.4,0,21.2
2026-08-26,20.8,16.9,0,27.7
2026-08-27,20.1,16.5,0,24.5
2026-08-28,21.3,18.3,6.1,51.1
2026-08-29,20.4,16.1,0.7,31.7
2026-08-30,20.6,16.8,1.2,43.9
2026-08-31,22.8,15.3,12.9,27.7
2026-09-01,18.3,14.8,4.7,40
2026-09-02,19.9,15.1,0,35.6
2026-09-03,17.9,15,11.1,43.9
2026-09-04,17.1,15.5,10.2,63
2026-09-05,16.9,12.1,27.8,56.5
2026-09-06,17.1,13.9,0,54
2026-09-07,22,13.2,0.1,32.4
2026-09-08,21.1,15.6,0,29.2
2026-09-09,17.4,14.3,17.1,42.5
2026-09-10,16.2,13.4,0,48.2
2026-09-11,19.7,12.3,0,22
2026-09-12,18.5,14.1,0,31
2026-09-13,18.5,15,2.3,27
2026-09-14,16.4,12.4,0,25.9
2026-09-15,19.6,11.7,0,25.6
2026-09-16,19.2,14.9,15.1,35.3
2026-09-17,17.6,13.3,0.3,37.4
2026-09-18,17.3,13.5,2.3,42.5
2026-09-19,18.2,13.5,0,40
2026-09-20,17,12.9,4.8,56.9
2026-09-21,15.6,13.4,0,58.3
2026-09-22,15.8,13.2,0,27
2026-09-23,16,12.7,0.1,26.3
2026-09-24,15.6,12.1,5.1,34.9
2026-09-25,14.6,11.6,0,29.9
