date,tmax,tmin,precip,wind
2026-06-12,18.3,11.1,0.6,27.7
2026-06-13,25.6,15.4,0,31.3
2026-06-14,21.4,11.7,0,27.7
2026-06-15,21.8,6.3,0,17.3
2026-06-16,23.6,10.6,0.1,17.6
2026-06-17,28.1,13.6,0,17.6
2026-06-18,32,13.6,0,10.8
2026-06-19,32.9,17,0.7,33.5
2026-06-20,32.8,16.7,0,22
2026-06-21,32.3,16.5,0.2,18.7
2026-06-22,32.7,16,0,14.8
2026-06-23,32.4,17.5,0,12.2
2026-06-24,33.8,16.4,0,13.3
2026-06-25,34.8,17.2,0,15.8
2026-06-26,36.4,18.6,0,13.3
2026-06-27,36.5,19.5,0,11.5
2026-06-28,33.8,24.5,0.2,17.3
2026-06-29,27.4,20.2,0.3,24.5
2026-06-30,28.7,16.1,2.1,16.2
2026-07-01,25,15.5,0.9,15.5
2026-07-02,27.4,10.7,0,18.4
2026-07-03,25.2,15.6,0,11.9
2026-07-04,26.9,8.8,0,18.4
2026-07-05,27.9,14.2,0.5,23.4
2026-07-06,27.4,13.1,0,19.1
2026-07-07,30.8,17,0,32
2026-07-08,26.1,14.1,0,16.2
2026-07-09,28.5,12,0,15.8
2026-07-10,31.2,14.7,0,14.4
2026-07-11,31.1,16.7,0,15.5
2026-07-12,29.5,16.4,0,19.1
2026-07-13,30.9,14.4,0,16.9
2026-07-14,31.4,16.9,3.2,19.8
2026-07-15,24.7,17,0.4,14.8
2026-07-16,30.9,14.4,1.4,16.2
2026-07-17,27.4,15.2,1.4,21.2
2026-07-18,24.6,14.5,2.5,15.5
2026-07-19,22.2,12.1,4.2,12.2
2026-07-20,22,6.6,0,17.3
2026-07-21,21.1,8.5,0,16.9
2026-07-22,24.8,8.3,0,15.5
2026-07-23,22.5,12.1,0,15.5
2026-07-24,25.9,7.7,0,11.2
2026-07-25,29.8,12.8,0,22
2026-07-26,26.9,16.9,0,28.8
2026-07-27,25.1,15.6,3,28.8
2026-07-28,28.9,10.9,0,13.7
2026-07-29,34.8,17.1,0,23.8
2026-07-30,36.4,18.5,0.1,28.1
2026-07-31,32.4,19.8,0,24.5
2026-08-01,26,17.6,2.3,17.6
2026-08-02,30.4,15.6,0,16.9
2026-08-03,33.3,18.9,0,17.6
2026-08-04,33.8,19.7,0.4,19.1
2026-08-05,30.2,20.7,0,17.6
2026-08-06,25.6,16.7,0,12.2
2026-08-07,26.6,14.4,0,14.4
2026-08-08,30.3,12.3,0,13
2026-08-09,33.2,17.6,0,31.7
2026-08-10,29.4,17.6,10.1,20.9
2026-08-11,29.4,15.6,0,16.9
2026-08-12,30.8,14.4,0,16.2
2026-08-13,32.3,14.6,0,13
2026-08-14,34.1,14.8,0,18.4
2026-08-15,32.5,17.4,0,13.7
2026-08-16,30,17.5,0,21.2
2026-08-17,23,17.4,3.2,23.8
2026-08-18,24.4,17.2,0.8,30.2
2026-08-19,31.2,15.7,0,34.6
2026-08-20,26.7,15.9,0,33.5
2026-08-21,18.7,12.9,18.6,13.7
2026-08-22,19.4,11,0,23
2026-08-23,21.7,7.7,0,14.8
2026-08-24,23.9,9.6,0,18.4
2026-08-25,19.4,13,2.4,10.1
2026-08-26,27,14.8,0,10.1
2026-08-27,31.8,15.5,0.1,15.5
2026-08-28,24.7,16.7,13.9,22
2026-08-29,23,12.9,0.1,22.3
2026-08-30,25.1,16.7,0,28.4
2026-08-31,22.5,15,8.2,40.3
2026-09-01,22.8,12.5,0,19.8
2026-09-02,24.3,10.6,0,22.3
2026-09-03,24.8,12.2,0,23.8
2026-09-04,30.8,15.3,0,27.7
2026-09-05,23.8,14.7,1.4,25.9
2026-09-06,25.4,8.4,0,13.3
2026-09-07,30.5,14.5,0,27
2026-09-08,30.9,17.5,0,38.9
2026-09-09,17.1,9.6,1.9,15.8
2026-09-10,18.7,6.1,0,15.8
2026-09-11,21.4,7.5,0,13
2026-09-12,22.6,6.7,0,9.7
2026-09-13,24.3,11,0.3,22.7
2026-09-14,24.4,13.6,0,18
2026-09-15,27.5,12.1,0,11.9
2026-09-16,22.2,11.6,1.5,23.8
2026-09-17,19.8,8.4,0,16.6
2026-09-18,19.4,10.3,0,23
2026-09-19,22.6,7.3,0,15.1
2026-09-20,23.9,10.6,0,25.2
2026-09-21,16.9,8.4,0.6,13
2026-09-22,18.3,3.9,0,13.7
2026-09-23,21.4,4,0,18.4
2026-09-24,19.4,8.5,0,26.6
2026-09-25,21.3,1.9,0,9
