date,tmax,tmin,precip,wind
2026-06-12,14.9,4.9,3.2,18
2026-06-13,19.3,11.8,1.8,15.8
2026-06-14,16.5,10.5,2,19.4
2026-06-15,16.7,10.1,0.6,17.3
2026-06-16,21.4,7.6,0,14
2026-06-17,24.5,11.3,0.1,10.1
2026-06-18,28.2,15.2,0,10.1
2026-06-19,31.2,13.4,0.1,16.2
2026-06-20,30.9,16.8,2.9,11.2
2026-06-21,31.3,15.7,0.5,10.4
2026-06-22,26.7,14.6,0,11.5
2026-06-23,25.8,12,0,9
2026-06-24,29.7,11.7,0,7.2
2026-06-25,32.4,14.1,0,6.5
2026-06-26,32,16.3,0,9.4
2026-06-27,36.1,15.4,0,13.3
2026-06-28,36.5,19.8,0,9
2026-06-29,29.1,19.6,0,16.2
2026-06-30,26.1,18.8,0,11.5
2026-07-01,19.9,16.9,27.7,10.8
2026-07-02,25.6,13.7,0,11.5
2026-07-03,20.7,13.8,1.2,17.6
2026-07-04,19.1,10.5,1.1,13.7
2026-07-05,21.6,14.6,5.7,15.5
2026-07-06,19.3,15.6,2.6,17.3
2026-07-07,25.6,17.2,0.9,16.6
2026-07-08,21.4,13.5,0.1,15.1
2026-07-09,23.1,12.1,0,14.8
2026-07-10,25.3,10.1,0,13
2026-07-11,23.9,10.5,0,12.6
2026-07-12,26.4,14.7,0,13.7
2026-07-13,27.3,14,0,9.4
2026-07-14,25,14.7,4.1,15.5
2026-07-15,23.1,15.5,1.1,14
2026-07-16,28,12.7,0,10.4
2026-07-17,28.5,15.3,0.1,14.8
2026-07-18,25.1,14.7,0,15.8
2026-07-19,18.6,12.3,5.2,10.4
2026-07-20,18.7,10.4,1.2,17.6
2026-07-21,19.6,11.7,0,12.2
2026-07-22,21.1,9.7,0,16.2
2026-07-23,17.1,12,5.7,16.9
2026-07-24,22.2,10.8,1.9,13.3
2026-07-25,28,7.4,0,17.3
2026-07-26,30.2,13.3,0,15.1
2026-07-27,22.5,15,3,17.3
2026-07-28,24.2,11.4,0.8,13.3
2026-07-29,30.5,8.8,0,11.2
2026-07-30,36.2,14.7,0,13.3
2026-07-31,33.4,17,6.7,17.3
2026-08-01,24.8,17,0.7,13
2026-08-02,24.2,12.1,0,12.6
2026-08-03,31.8,13.2,0,8.6
2026-08-04,37.7,16.2,0.6,22.7
2026-08-05,33.9,15.7,0,10.8
2026-08-06,30.4,17.9,0,10.1
2026-08-07,23.7,14,0,11.2
2026-08-10,32.8,16.8,0,14
2026-08-11,23.2,11.3,0,13
2026-08-12,24.3,5.4,0,10.1
2026-08-13,27.4,6.3,0,10.4
2026-08-14,30.5,8.2,0,11.2
2026-08-15,33.9,12.5,0,15.8
2026-08-16,25.5,13.9,0.8,14.8
2026-08-17,23.1,13.1,19.8,10.8
2026-08-18,19.4,13.4,1.3,12.6
2026-08-19,22,15.1,1.5,16.6
2026-08-20,26.5,16.9,12.5,21.6
2026-08-21,26.1,11.5,29.9,13.3
2026-08-26,17,12.3,5,3.6
2026-08-27,26.9,8.7,0,8.3
2026-08-28,26.3,15.4,1.1,16.2
2026-08-29,23.8,12.9,7,18.4
2026-08-30,26.4,14,0,20.5
2026-09-03,22.4,9.5,0.4,16.6
2026-09-04,25.3,16,0.1,22
2026-09-05,20.5,14.3,5.4,19.1
2026-09-06,18.2,8,0,12.6
2026-09-07,21,5.9,0,11.5
2026-09-08,28.5,12.7,0,19.8
2026-09-09,22.3,14.2,2.4,13.7
2026-09-10,17.4,8.5,0,12.2
2026-09-11,18.4,6.5,0,5.8
2026-09-12,20,6.2,0,7.6
2026-09-13,16.6,9.2,2.1,12.2
2026-09-14,18.6,8.4,2,11.5
2026-09-15,21.9,5.9,0,13.7
2026-09-16,22.7,11.9,6.1,13.3
2026-09-17,19.4,7.5,0,11.9
2026-09-18,19,7.5,0,17.3
2026-09-19,20.3,6.1,0,18.4
2026-09-20,19.4,12,12.7,18
2026-09-21,14.1,9.9,2.8,16.6
2026-09-22,15.7,9.4,0,15.1
2026-09-23,16.6,5.5,0,9.4
2026-09-24,14.9,7,11.6,13.3
2026-09-25,13.2,8.2,0.4,13
