date,tmax,tmin,precip,wind
2026-06-11,17.7,8.1,1.6,20.5
2026-06-12,19.6,11,2,36.7
2026-06-13,18.4,12.1,1.8,43.6
2026-06-14,16.4,10.7,8.2,29.9
2026-06-15,16.6,10.6,0.1,31.3
2026-06-16,19.8,8,0,14.8
2026-06-17,22.3,8.3,0.3,16.6
2026-06-18,28.2,16.2,0,16.9
2026-06-19,31.5,19.5,6.3,16.2
2026-06-20,30.6,19.3,2.7,32.4
2026-06-21,25.8,16.1,0,17.6
2026-06-22,26,16.3,0,22
2026-06-23,27,15,0,12.6
2026-06-24,33,15.8,0,14
2026-06-25,29.4,19,0,20.2
2026-06-26,34.2,16.6,0,19.1
2026-06-27,36.8,23.8,0,24.1
2026-06-28,31.7,20.9,0,33.1
2026-06-29,25.6,19.4,0,18.7
2026-06-30,26.2,16.4,0.6,14.4
2026-07-01,25.4,13.3,0,25.9
2026-07-02,23,10.9,0.2,38.9
2026-07-03,19.6,12.5,0,34.6
2026-07-04,21.9,10,1.2,29.9
2026-07-05,19.6,14.8,11.3,22.7
2026-07-06,21.1,14.5,0.8,31
2026-07-07,23,15.5,1.2,40.3
2026-07-08,22.3,10.9,0,28.1
2026-07-09,22.3,11.9,0,25.6
2026-07-10,25.1,16.3,0,19.1
2026-07-11,28,16.5,0,19.4
2026-07-12,26.1,15.6,0,21.6
2026-07-13,28.6,11,0,24.8
2026-07-14,26.9,15.5,0,23
2026-07-15,27.4,15.3,0,21.2
2026-07-16,25.3,17.2,1.8,15.8
2026-07-17,28.7,15.3,0,29.5
2026-07-18,20.5,14.4,0,30.6
2026-07-19,18.7,12.4,3.8,31.3
2026-07-20,19.7,12.9,4.7,26.6
2026-07-21,22.3,8.8,0,23
2026-07-22,20.6,13.9,0.7,32.4
2026-07-23,19.1,14.1,0,22
2026-07-24,20.9,10.5,0,16.6
2026-07-25,27.6,10.9,0,23.8
2026-07-26,19.6,14.7,8.8,24.8
2026-07-27,18.3,11.9,7.3,21.2
2026-07-28,26.5,9.9,0,18.7
2026-07-29,32.3,17.3,0,15.5
2026-07-30,35.6,17.6,0.5,25.2
2026-07-31,26.9,13.6,0,28.4
2026-08-01,22.1,10.6,0,16.2
2026-08-02,25.6,9.8,0,20.5
2026-08-03,29.7,13.7,0,20.2
2026-08-04,31.5,19.8,10.8,15.1
2026-08-05,28.5,20.5,0,25.9
2026-08-06,24,15,0,28.1
2026-08-07,19.9,11.8,0.1,15.1
2026-08-08,25,10.5,0,10.4
2026-08-09,29.8,14.9,0,19.1
2026-08-10,22.1,14.3,0,26.6
2026-08-11,21.4,9.6,0,20.5
2026-08-12,24.8,7.3,0,12.6
2026-08-13,30.5,12.9,0,17.6
2026-08-14,35.7,17.1,0,14.8
2026-08-15,24.8,15.8,0.1,22.3
2026-08-16,23.9,11.2,0,21.2
2026-08-17,18.4,11.9,1.1,19.4
2026-08-18,19,11.5,0.5,15.1
2026-08-19,19.5,15.7,0.3,19.1
2026-08-20,23.7,11.6,3.1,30.2
2026-08-21,21.9,11.3,0.9,19.1
2026-08-22,19,9.1,4.3,27.7
2026-08-23,19.7,12.1,0.1,26.3
2026-08-24,20,12.2,0,13
2026-08-25,24.3,11.6,0,23.4
2026-08-26,24.1,14.5,0,25.2
2026-08-27,28.8,14.9,0,26.6
2026-08-28,25,16.8,19.2,19.8
2026-08-29,24.3,15.1,1.9,30.2
2026-08-30,19.9,16,1.7,31
2026-08-31,21.3,15.3,10.6,33.1
2026-09-01,21.5,13.1,1.5,30.6
2026-09-02,22.2,10.4,0.5,20.2
2026-09-03,23.9,15.8,0,36
2026-09-04,21.7,16.6,3,39.6
2026-09-05,19.4,13.8,2.5,40.7
2026-09-06,21.1,8.5,0,20.2
2026-09-07,28,12.9,0,18.4
2026-09-08,22.7,15.6,2.5,27.7
2026-09-09,18.6,12.2,6.9,28.4
2026-09-10,17.8,10,0,19.1
2026-09-11,20.5,8.1,0.5,20.2
2026-09-12,21,10.6,2.2,16.9
2026-09-13,21.9,14.9,0.1,27
2026-09-14,20.8,8,0,9.4
2026-09-15,26,15.7,0.2,23.4
2026-09-16,19.4,11.2,18.9,23.8
2026-09-17,18.3,11.5,1,28.8
2026-09-18,18.2,11.4,0.1,27.7
2026-09-19,19.9,14,0,31.3
2026-09-20,19.2,13,1.2,40
2026-09-21,18.9,10.7,0,32.4
2026-09-22,18.8,8.1,0,10.8
2026-09-23,19.7,6.1,1.5,11.9
2026-09-24,16.5,9,0.9,33.1
