date,tmax,tmin,precip,wind
2026-06-12,18.4,11.4,0.6,40.7
2026-06-13,15.5,12.6,6.2,45.7
2026-06-14,15.5,10.9,6.4,49
2026-06-15,14.5,12.5,0.9,46.4
2026-06-16,15.8,11.3,0,24.8
2026-06-17,22.7,10.5,0.5,19.1
2026-06-18,24.1,17.9,0,19.8
2026-06-19,31.1,19.3,9.7,14
2026-06-20,28.3,19.4,0.9,31
2026-06-21,23.5,17.2,0,27
2026-06-22,22.4,16,0,23
2026-06-23,25.2,14.6,0,21.6
2026-06-24,31.3,17.5,0,18.7
2026-06-25,23,18.4,0,31.7
2026-06-26,34.6,17.3,0,18
2026-06-27,35.3,24.8,0.2,26.3
2026-06-28,28.2,20.1,17,35.3
2026-06-29,23.1,19.7,0.2,27
2026-06-30,23.7,16.2,0,18.4
2026-07-01,21.4,17.7,0,30.6
2026-07-02,22.6,14.9,0.8,47.5
2026-07-03,17.7,15,0.2,46.4
2026-07-04,18.9,14.3,5.5,36.4
2026-07-05,18.8,17.1,2.3,41.4
2026-07-06,19.4,15.6,4.5,35.3
2026-07-07,19.4,17,1,48.2
2026-07-08,17.9,15.6,0,42.5
2026-07-09,19,16.8,0,33.1
2026-07-10,20.3,16.3,0,25.6
2026-07-11,23.2,16.7,0,27.7
2026-07-12,19.6,17.9,0,31.7
2026-07-13,26.9,14.6,0,22
2026-07-14,26.3,17.2,0,22.3
2026-07-15,25.9,16.9,0,29.5
2026-07-16,24.6,16.7,1.5,16.6
2026-07-17,25.3,18.5,0,32.8
2026-07-18,18.3,16,0.1,37.1
2026-07-19,17.8,14.1,17.4,42.8
2026-07-20,17.9,13.8,13.3,43.6
2026-07-21,18.3,15.2,0,31
2026-07-22,17.8,14.5,3.6,46.1
2026-07-23,17.2,15.5,0,44.3
2026-07-24,19.9,13.9,0,22.7
2026-07-25,24.2,14.2,0,28.8
2026-07-26,19.6,16.1,10.8,36
2026-07-27,18,16.1,0.6,39.6
2026-07-28,23.3,14.2,0,24.1
2026-07-29,31.9,19,0,16.2
2026-07-30,30.4,18.8,1,35.6
2026-07-31,23.6,16.2,6.7,21.6
2026-08-01,20.4,14.7,0,15.1
2026-08-02,23.1,15.5,0,21.2
2026-08-03,28.5,14.6,0,20.2
2026-08-04,30.9,19.5,2.4,18
2026-08-05,27.1,21.6,0.1,32.4
2026-08-06,21.7,16.6,0,39.6
2026-08-07,18.7,15.5,,22
2026-08-08,24,12.7,0,16.9
2026-08-09,25.9,15.2,0,25.6
2026-08-10,21.9,17.8,0.9,36.4
2026-08-11,17.9,15.5,0,39.6
2026-08-12,23.1,11.2,0,13.7
2026-08-13,29.8,14.2,0,15.8
2026-08-14,34.1,18.8,0,16.6
2026-08-15,22,17.5,0,30.2
2026-08-16,20.8,15.5,0,25.6
2026-08-17,18.7,15.8,0.2,35.6
2026-08-18,19.3,15.1,3,19.1
2026-08-19,19.3,16,0.1,30.6
2026-08-20,21.2,14.5,10.4,28.8
2026-08-21,19.1,13.6,0.5,27.7
2026-08-22,17.7,14.3,1.8,45.7
2026-08-23,17.2,13.4,1.8,37.8
2026-08-24,19.2,14.9,0,27.7
2026-08-25,23.5,12.2,0,22.7
2026-08-26,24.5,14.7,0,24.1
2026-08-27,27.5,15.8,0,23.4
2026-08-28,24,16.9,15.3,22
2026-08-29,20.9,16.2,1.2,37.1
2026-08-30,20,17.5,4.2,43.9
2026-08-31,21,15.5,4.2,34.6
2026-09-01,20,15.7,0.2,37.1
2026-09-02,21.1,12.8,0,25.2
2026-09-03,21.3,16.2,1.9,37.4
2026-09-04,19.6,16.8,14.8,46.1
2026-09-05,17.7,15.1,19.9,45
2026-09-06,20.4,13.7,0,24.1
2026-09-07,27,14.1,0,22.3
2026-09-08,20.4,15.1,6.1,31
2026-09-09,18,13.8,6.8,34.2
2026-09-10,17.5,13.6,0.1,24.5
2026-09-11,19,11.7,1.6,23.4
2026-09-12,20.6,11.7,1.4,23
2026-09-13,19.1,15.6,0.5,29.9
2026-09-14,19.4,14.4,0,16.9
2026-09-15,24.6,16.1,0.1,26.6
2026-09-16,18.4,14.5,4.7,31.7
2026-09-17,17.6,12.2,0.5,37.4
2026-09-18,18.1,13.3,0.1,34.9
2026-09-19,19.2,14.6,0.7,42.1
2026-09-20,18.1,14.2,6.3,43.9
2026-09-21,16.5,13.9,1.1,45.7
2026-09-22,16.9,12.3,0,26.3
2026-09-23,19.2,11.6,4.9,19.8
2026-09-24,16.3,13.5,0.3,52.6
