date,tmax,tmin,precip,wind
2026-06-12,16,9.1,8.9,22.3
2026-06-13,24,14.5,4.9,31.3
2026-06-14,20.5,14.6,0,17.6
2026-06-15,21,11.9,0.2,18.4
2026-06-16,21.3,8.5,0,22.3
2026-06-17,25.2,16.7,0.4,21.6
2026-06-18,28.8,16.5,0,13.3
2026-06-19,31.6,16.3,0,18.7
2026-06-20,30.8,19.3,0,11.9
2026-06-21,31.8,17.7,0,18
2026-06-22,31.2,17.2,0,15.8
2026-06-23,30.3,17.8,0,13.3
2026-06-24,31,18.3,0,12.2
2026-06-25,31.6,18.4,0,17.3
2026-06-26,32.6,17.4,0,18
2026-06-27,35.1,18.2,0,10.1
2026-06-28,33.1,20.3,0,20.2
2026-06-29,30.3,16.8,74.5,33.5
2026-06-30,29.1,16.7,0,13.3
2026-07-01,21.4,15.6,22,25.6
2026-07-02,24.4,13.9,5.6,13
2026-07-03,23.5,17.7,0,20.2
2026-07-04,24.6,11.9,0,20.9
2026-07-05,22.2,14.7,2.9,25.6
2026-07-06,23.5,15.5,3.4,19.1
2026-07-07,26.7,18.4,0.1,24.1
2026-07-08,24.1,17.3,0.2,23
2026-07-09,24.1,15.3,0,12.2
2026-07-10,27.2,13.1,0,10.4
2026-07-11,28.5,14.9,0,10.4
2026-07-12,25.9,13.1,0,10.1
2026-07-13,29.1,13.8,0,22.3
2026-07-14,26.4,16.5,3.8,37.8
2026-07-15,25.5,15.2,6.3,15.1
2026-07-16,29.2,16.5,0,9.4
2026-07-17,27.8,16,2.5,18.4
2026-07-18,23.1,17.4,0.2,17.6
2026-07-19,20,13.6,15.1,22
2026-07-22,23.2,10.5,0,11.9
2026-07-23,21.5,14.8,0.6,18
2026-07-24,23.1,10,0,9
2026-07-25,29.5,10.3,0,11.2
2026-07-26,23.3,18.2,0.9,20.9
2026-07-27,22.3,16,0.1,28.8
2026-07-28,27.7,13.7,0,12.6
2026-07-29,32.4,14.3,0,11.9
2026-07-30,34,20.5,0,8.3
2026-07-31,33.9,17.3,5.2,32
2026-08-01,26.6,17.4,0.2,15.5
2026-08-02,29.2,18.4,7.1,18.4
2026-08-03,34,15.4,0.2,11.5
2026-08-04,34.8,19.5,0,13
2026-08-05,32.2,21.9,0.7,18.7
2026-08-06,27.6,18.3,13.6,25.9
2026-08-07,25.6,17.3,0,11.9
2026-08-08,27.6,16.6,0,19.8
2026-08-09,32.3,15.3,0,15.8
2026-08-10,31.6,21.7,0,23.4
2026-08-11,29.4,20.3,0,18.4
2026-08-12,28.1,15.6,0,14.4
2026-08-13,29.1,12.5,0,20.5
2026-08-14,30.2,13,0,12.2
2026-08-15,33.4,14.5,0,10.1
2026-08-16,29.6,18.6,0,23.4
2026-08-17,23.8,16.4,14.2,28.8
2026-08-18,19,16.4,22.7,20.9
2026-08-19,28,15.6,4.1,20.5
2026-08-20,25.8,17,5.4,20.2
2026-08-21,21.9,14,6.4,45
2026-08-22,19.6,12.2,4.9,24.8
2026-08-23,22,10.7,0,10.1
2026-08-24,23.1,11.2,0,20.2
2026-08-25,16.8,12.3,1.5,19.1
2026-08-26,25.4,13.1,0.3,12.2
2026-08-27,27.9,13.9,0,19.4
2026-08-28,33.3,16.8,12.1,29.5
2026-08-29,23.8,14.4,5.8,25.6
2026-08-30,26.6,13.6,0,9.4
2026-08-31,23.8,17,6,22.3
2026-09-01,24,14.7,0,23
2026-09-02,24.3,12.6,0,9.4
2026-09-03,24.1,15.5,0,18.4
2026-09-04,29,18.3,0,15.8
2026-09-05,25.1,13.7,6.8,22.7
2026-09-06,23,13.4,0,15.5
2026-09-07,27.7,11.3,0,13
2026-09-08,31,15.4,0,14.8
2026-09-09,22.9,11.8,9.6,27
2026-09-10,15.9,11.2,0,18.4
2026-09-11,17.6,10.2,6.7,10.4
2026-09-12,21.6,8.9,0,10.4
2026-09-13,21.2,10.5,3.6,16.6
2026-09-14,19.7,13.9,5.6,25.6
2026-09-15,23.7,10.1,0,10.4
2026-09-16,26.2,13.5,20.1,19.4
2026-09-17,19.1,11.3,9.5,17.3
2026-09-18,18.8,9.5,0,12.6
2026-09-19,21.5,8.9,0,9
2026-09-20,22.9,11.7,0,18.4
2026-09-21,15.9,11,3.9,22.3
2026-09-22,15.6,7.3,0,14.4
2026-09-23,17,4.4,0,11.2
2026-09-24,17,8.5,4.2,25.9
2026-09-25,17.2,5.5,0,10.1
