date,tmax,tmin,precip,wind
2026-06-12,19,11.1,2.1,27.7
2026-06-13,17.6,12.5,3.9,33.5
2026-06-14,16.5,11.2,0.7,25.2
2026-06-15,17.2,11.6,0.2,24.8
2026-06-16,21.8,7.3,0.9,11.2
2026-06-17,23.5,9.2,0.2,18.7
2026-06-18,29.7,14.1,0,20.5
2026-06-19,32.2,20.2,0,15.1
2026-06-20,32,18.3,0,21.2
2026-06-21,27.8,18.3,0.5,12.6
2026-06-22,27.1,16.1,0,15.1
2026-06-23,28,14.2,0,8.6
2026-06-24,33.5,15.8,0,9.7
2026-06-25,29.9,20.2,0,11.9
2026-06-26,35.9,14.8,0,18
2026-06-27,36.8,23.4,0,13.3
2026-06-28,33.5,21.5,0.3,21.6
2026-06-29,27.7,19.6,0.1,12.6
2026-06-30,27.3,15,0,15.5
2026-07-01,25.3,13.1,0,17.6
2026-07-02,24.2,11.6,0.6,36.4
2026-07-03,21.1,12.1,0,25.2
2026-07-04,22.2,11,1,24.8
2026-07-05,20.9,16.5,5.5,19.1
2026-07-06,23.1,14.9,0.2,27.7
2026-07-07,23.4,16.1,0,33.5
2026-07-08,23.4,15.1,0.3,22
2026-07-09,25.1,15.5,0,13.7
2026-07-10,25.3,15.9,0,13
2026-07-11,29.3,15.8,0,14
2026-07-12,29,15.5,0,14.4
2026-07-13,30.5,12.8,0.9,19.4
2026-07-14,26.9,15.7,0,16.2
2026-07-15,28.4,13.1,0,19.1
2026-07-16,25,17.7,0.2,12.6
2026-07-17,28.9,13.2,0,21.6
2026-07-18,21,15.5,0,22.7
2026-07-19,19.2,12.6,2,24.1
2026-07-20,21.2,11.9,0.5,16.6
2026-07-21,24.1,10.1,0,16.2
2026-07-22,20.6,13.2,0.3,22.7
2026-07-23,20.1,14,0,17.6
2026-07-24,22.9,10.7,0,14.4
2026-07-25,27.7,10.3,0,23
2026-07-26,20.9,14.3,3.6,26.3
2026-07-27,20.7,14,1.8,18.7
2026-07-28,27.4,9.3,0,19.4
2026-07-30,34.7,16.8,0.7,
2026-07-31,27.8,13.2,0,18.4
2026-08-01,23.4,11.2,0,11.2
2026-08-02,27.1,9.4,0,14.8
2026-08-03,31.5,15.5,0,25.2
2026-08-04,33.5,19.9,0.1,13
2026-08-05,29.6,19.2,0.2,25.2
2026-08-06,24.4,15.6,0,28.4
2026-08-07,20.8,14.2,0,11.9
2026-08-08,26,8.1,0,10.4
2026-08-09,32,13.6,0,18.4
2026-08-10,24.9,15.7,0,17.3
2026-08-11,22.8,7.6,0,13.3
2026-08-12,26.6,7.3,0,13.7
2026-08-13,31.9,9.9,0,19.4
2026-08-17,18.7,14.3,1.6,
2026-08-18,18.3,11.7,1,16.9
2026-08-19,18,15.7,6.6,14.8
2026-08-20,23.5,12.7,6.8,29.5
2026-08-21,21.2,11.9,2.3,16.6
2026-08-22,19.7,11.3,1.8,20.9
2026-08-23,20.5,12.4,0,23.8
2026-08-24,19.9,9.4,0,14
2026-08-25,24.2,11.4,0,27.7
2026-08-26,21.4,15.3,0,27.4
2026-08-27,29.7,13.8,0,28.1
2026-08-28,23.6,16.5,9.6,20.5
2026-08-29,25,14.7,0.8,30.6
2026-08-30,20.3,15.8,2.5,33.1
2026-08-31,22.7,13.8,4.9,33.8
2026-09-01,21.8,11.9,0.1,22
2026-09-02,22.8,10.2,0,19.8
2026-09-03,23.4,15.9,0.4,28.4
2026-09-04,22.1,16.3,9.4,39.2
2026-09-05,20.2,12.5,0,36
2026-09-06,20.9,6.9,0,14
2026-09-07,29,10.6,0,18.4
2026-09-08,24,16,6.2,25.9
2026-09-09,18.3,12.5,3.8,30.2
2026-09-10,18.4,9.7,0.5,14
2026-09-11,20.1,6.9,0,21.2
2026-09-12,20.3,12.4,0.9,18
2026-09-13,19.6,16.1,2.5,16.2
2026-09-14,21.4,7.9,0,9
2026-09-15,26.4,15.3,0,23
2026-09-16,19.4,12.6,19.4,20.5
2026-09-17,18,9.9,0.3,27.7
2026-09-18,18.5,11.9,0,25.6
2026-09-19,20.3,13,0,32
2026-09-20,19.1,13.1,0,30.2
2026-09-21,18.5,11.4,0,20.5
2026-09-22,19.3,8.4,0,7.9
2026-09-23,20.6,5.1,1.5,14.4
2026-09-24,17.3,6.4,0,22.3
2026-09-25,19.8,3.7,0,15.1
