date,tmax,tmin,precip,wind
2026-06-12,16.2,9.1,0.6,16.2
2026-06-13,20.9,12.4,5.7,23.4
2026-06-14,16.4,11.9,3.1,29.5
2026-06-15,18,11.5,0,27.7
2026-06-16,21.9,8.3,0,15.5
2026-06-17,24.9,10.8,0,16.6
2026-06-18,30,16.7,0.3,15.1
2026-06-19,34.2,16.2,0.1,19.4
2026-06-20,31.1,15.7,20,19.8
2026-06-21,29.9,17,3.5,28.4
2026-06-22,27.2,16.4,0,11.5
2026-06-23,28,15,0,9.4
2026-06-24,32.4,14.1,0,12.6
2026-06-25,34.5,17,0,12.6
2026-06-26,34.5,18,0,13.3
2026-06-27,39.1,17.1,0,9.7
2026-06-28,39.9,21.6,0,21.6
2026-06-29,27.4,21.1,8.7,18.7
2026-06-30,22.5,17.3,0.8,13.3
2026-07-01,22.5,16.6,2.1,14.4
2026-07-02,28.3,13.3,0.8,31.7
2026-07-03,23,13.8,0.1,30.6
2026-07-04,20,11.7,1.9,22.3
2026-07-05,23.8,15.2,4.2,29.2
2026-07-06,19.3,15.6,2.1,20.2
2026-07-07,23.6,16.6,1.1,25.2
2026-07-08,23.6,11.8,0,27
2026-07-09,24.5,12.3,0,23.4
2026-07-10,27.8,12.3,0,19.4
2026-07-11,26.9,11.2,0,15.8
2026-07-12,30.7,13.3,0,21.2
2026-07-13,28.7,14.9,0,12.6
2026-07-14,22.7,16.7,2.7,22
2026-07-15,25.9,14.5,0,13.3
2026-07-16,30.6,12.6,0,9.7
2026-07-17,29.6,15.3,10.7,18.7
2026-07-18,25.9,17.2,0,24.1
2026-07-19,20.8,13.1,8.1,23.8
2026-07-20,19.9,12.3,2.3,24.8
2026-07-21,21.4,12.2,0,22.7
2026-07-22,19.4,10.8,0.4,22.3
2026-07-23,19.9,13.3,4.8,25.9
2026-07-24,23.6,9.4,0,15.1
2026-07-25,29.5,8.7,0,14.4
2026-07-26,28,13.8,0.6,19.8
2026-07-27,23.3,15.4,8.5,25.6
2026-07-28,23.4,11.4,0,20.5
2026-07-29,31.7,11.8,0,13.3
2026-07-30,37.5,15.1,0,23.4
2026-07-31,31.3,18.3,0,32.8
2026-08-01,22.1,16,9.4,22.3
2026-08-02,24.9,13.2,0,11.5
2026-08-03,30.9,12.6,0,10.8
2026-08-04,33,18,4.2,14
2026-08-05,31.1,20.3,0,23.8
2026-08-06,29.5,19.1,0,20.2
2026-08-07,24,12.9,0,19.8
2026-08-08,24.3,8.8,0,11.2
2026-08-09,32.7,9.9,0,11.9
2026-08-10,32.5,18.7,0.2,23.8
2026-08-11,22.6,12.2,0,21.6
2026-08-12,25.3,6.5,0,15.8
2026-08-13,28.8,9.3,0,12.6
2026-08-14,32.8,10.6,0,11.5
2026-08-15,36.1,12.3,0,20.5
2026-08-16,24.5,17.9,4.9,11.2
2026-08-17,20.7,15,0.6,19.8
2026-08-18,21.9,12.8,0,18.4
2026-08-19,23.7,15.9,0,18.4
2026-08-20,24.8,15.6,14.8,18
2026-08-21,25.9,12.7,8.3,23.4
2026-08-22,18.6,14,0.9,21.6
2026-08-23,19.2,11.5,0,23.4
2026-08-24,21.4,7.9,0,10.4
2026-08-25,24,8.8,0,20.2
2026-08-26,20.1,13.6,0.7,11.2
2026-08-27,27.6,12.4,0,15.8
2026-08-28,24.6,17.5,2.2,16.2
2026-08-29,25.1,16.6,1.5,23
2026-08-30,25.9,17.5,0,25.9
2026-08-31,24.3,13,0.1,25.6
2026-09-01,22.9,15,0.1,20.9
2026-09-02,22.6,12,0.1,12.2
2026-09-03,24.4,12.1,0,28.8
2026-09-04,27.1,16,9.8,37.4
2026-09-05,21,14.1,2.1,32
2026-09-06,19.9,10.5,0,18
2026-09-07,22.7,7.8,0,10.4
2026-09-08,29.9,14.1,0,16.9
2026-09-09,21.8,15,0,28.8
2026-09-10,19.1,12.3,0,22
2026-09-11,19.9,6.8,0,6.8
2026-09-12,22.3,10.2,0,12.6
2026-09-13,19.4,13.8,2,15.1
2026-09-14,20.7,10.1,1.4,19.8
2026-09-15,25.8,8.2,0,11.9
2026-09-16,22.7,12.3,3.8,18.7
2026-09-17,20,9.8,0,17.3
2026-09-18,20.1,11.6,0,16.6
2026-09-19,21.6,9.5,0,24.5
2026-09-20,19.6,12.4,5.6,23.8
2026-09-21,16.1,11.3,2,26.3
2026-09-22,18.1,8.7,0,18.4
2026-09-23,19.2,4.1,0,13.7
2026-09-24,17.2,11.2,1.6,32.4
2026-09-25,15,9.7,0,14
