date,tmax,tmin,precip,wind
2026-06-11,17.8,10.6,3.7,21.6
2026-06-12,20.4,11.9,7.8,23.8
2026-06-13,20.3,14.3,0,32.4
2026-06-14,18.6,13.3,0.1,25.9
2026-06-15,18.6,9.9,0,19.1
2026-06-16,26.3,12.5,0,19.4
2026-06-17,25.8,13.5,0.3,18.4
2026-06-18,32.1,17.4,0,13.3
2026-06-19,35.3,20.2,1.6,
2026-06-20,32.7,19.3,0,19.8
2026-06-21,30.4,19.4,13.1,19.8
2026-06-22,30.1,19.9,0,15.8
2026-06-23,29.5,17.7,0,13
2026-06-24,35.2,18.3,0,13
2026-06-25,34.8,21.1,0,16.2
2026-06-26,38.3,21.5,0,16.6
2026-06-27,38.3,23,0,17.3
2026-06-28,32.1,23,0,30.6
2026-06-29,27.6,19.4,0.2,17.3
2026-06-30,27,15.6,0,18.7
2026-07-01,26.1,16.2,0.4,18
2026-07-02,24.5,14.4,0.6,34.2
2026-07-03,23.9,9.9,0,19.4
2026-07-04,27.1,10.3,0,29.9
2026-07-05,23.3,18.8,0,25.9
2026-07-06,29.2,17.6,0,31
2026-07-07,28.8,18.3,0,32
2026-07-08,22.4,18.9,0,16.6
2026-07-09,25.1,13.5,0,13.3
2026-07-10,28.6,14,0,20.9
2026-07-11,30.3,16,0,20.2
2026-07-12,30.8,16.2,0,20.5
2026-07-13,31.8,17.1,0,15.5
2026-07-14,30.7,20.8,0,24.5
2026-07-15,29.4,18.5,0,25.2
2026-07-16,28.9,17.2,0,20.2
2026-07-17,27.6,15.9,0,22.3
2026-07-18,22.5,17.3,0,22.3
2026-07-19,21.7,13.2,0,23.4
2026-07-20,20.5,11.9,0,16.9
2026-07-21,24.2,9.1,0,16.2
2026-07-22,20.5,11.5,0.1,22.7
2026-07-23,23,15.8,0,22.3
2026-07-24,24.2,11.1,0,9
2026-07-25,29,12.3,0,18.4
2026-07-26,22.4,17.1,8,36.7
2026-07-27,22.9,16.3,4.7,25.6
2026-07-28,28.8,11.6,0,17.3
2026-07-29,34.7,19.5,0,20.5
2026-07-30,32.8,18.9,1.1,34.6
2026-07-31,28.2,16.4,0,19.8
2026-08-01,25.8,16.1,0,16.6
2026-08-02,29.9,12.5,0,24.8
2026-08-03,35.3,17.1,0,21.2
2026-08-04,31,20.4,2.7,29.5
2026-08-05,29.3,19.8,0,26.3
2026-08-06,24.1,15.1,0,21.6
2026-08-07,22.8,9.4,0,15.1
2026-08-08,28.9,10.8,0,11.2
2026-08-09,31.1,13,0.1,16.6
2026-08-10,27.9,18.7,0,25.2
2026-08-11,25.7,11.5,0,20.2
2026-08-12,30.5,13.8,0,20.2
2026-08-13,35,12.5,0,15.5
2026-08-14,36.3,19.5,0,24.5
2026-08-15,28.8,17.7,0,20.9
2026-08-16,25.7,16.7,0,16.6
2026-08-17,20,14.9,6.8,15.5
2026-08-18,19.6,14.7,7.4,22.7
2026-08-19,21.2,16.3,13.9,
2026-08-20,22.9,15.4,0.6,34.6
2026-08-21,21.7,14.3,6.2,17.6
2026-08-22,21.2,14.1,1.3,18.7
2026-08-23,20.5,9.3,0,13.7
2026-08-24,22.5,9.1,0,24.1
2026-08-25,23,12,0,16.2
2026-08-26,25.8,13.3,0,15.1
2026-08-27,30.4,14.9,0,21.2
2026-08-28,23.4,17.7,8,34.2
2026-08-29,24,15.6,2.7,34.6
2026-08-30,22.9,17.4,5.8,32
2026-08-31,20.1,15.8,0.5,39.6
2026-09-01,21.8,14.1,0,22.7
2026-09-02,22.3,12.7,0,19.4
2026-09-03,22.9,17.5,6,29.2
2026-09-04,24.5,16.9,3,42.8
2026-09-05,21.1,13.1,0,31.7
2026-09-06,23.3,8.8,0,16.6
2026-09-07,30.8,18.9,0,24.5
2026-09-08,25,17.7,2.8,34.2
2026-09-09,18.8,12.9,0.9,
2026-09-10,20.4,9.2,0,10.4
2026-09-11,21,10.1,0.1,23.8
2026-09-12,21.5,13.6,0,19.4
2026-09-13,19.4,15.9,18.5,16.6
2026-09-14,22.5,15.5,0.1,11.5
2026-09-15,28.3,16.8,0,21.6
2026-09-16,20.4,13.9,6.6,24.1
2026-09-17,19,12.3,0,29.5
2026-09-18,18.5,12.8,0,23
2026-09-19,22.3,15.2,0,29.2
2026-09-20,19.3,13.2,7.1,26.6
2026-09-21,20.2,9.1,0,19.1
2026-09-22,19,9.5,0,10.8
2026-09-23,20.8,8.5,0,15.1
2026-09-24,18.4,10.7,0,17.3
