date,tmax,tmin,precip,wind
2026-06-12,17.8,11.1,9.5,
2026-06-13,16.6,12.7,1.8,
2026-06-14,15.5,12,5.5,
2026-06-15,15.1,12.2,1.3,
2026-06-16,18.7,6.9,0.2,
2026-06-17,21.7,7.5,1.4,
2026-06-18,26.3,16.9,0,
2026-06-19,31.3,18.5,2.2,
2026-06-20,28.5,18.7,7.4,
2026-06-21,23.9,15.4,0,
2026-06-22,21.4,13,0,
2026-06-23,25,11.7,0,9.7
2026-06-24,31.4,14.6,0,16.9
2026-06-25,24.6,16.8,0,14.8
2026-06-26,34.3,13.4,0,17.6
2026-06-27,30,22.5,4.3,15.5
2026-06-28,29.6,19,32.1,23
2026-06-29,24.4,17,0,14.4
2026-06-30,23,14.5,0,13.7
2026-07-01,23.4,15.7,1.7,17.3
2026-07-02,19.6,14,1.5,33.8
2026-07-03,19.2,14.3,2.5,26.3
2026-07-04,19.8,13.9,2.5,29.5
2026-07-05,19.5,15.6,3.2,19.4
2026-07-06,20,15.3,0,30.2
2026-07-07,20.3,16.1,0.1,29.2
2026-07-08,21,13.7,0,22.3
2026-07-09,20.2,16.3,0,16.2
2026-07-10,24.9,15.5,0,15.8
2026-07-11,25.9,15.7,0,17.3
2026-07-12,22.3,15.5,0,19.1
2026-07-13,25.7,16.4,0,17.6
2026-07-14,25.8,16.5,0,20.5
2026-07-15,26.5,15.1,0,20.9
2026-07-16,25.2,16.9,0.6,11.2
2026-07-17,24.4,17,0,21.2
2026-07-18,18.3,14.8,0.2,22.3
2026-07-19,17.7,14,14.9,28.1
2026-07-20,18.4,11.9,0.2,23.8
2026-07-21,20.3,11.5,0,20.2
2026-07-22,18,14.8,0.9,26.6
2026-07-23,17.6,13.6,0,17.6
2026-07-24,21.5,11,0,12.2
2026-07-25,25.4,14,0,19.8
2026-07-26,20.5,15.7,6.9,26.6
2026-07-27,18.9,14,1.9,15.5
2026-07-28,26.3,14.2,0,14
2026-07-29,31.6,15.8,0,13.7
2026-07-30,29.2,17.7,0.5,22.3
2026-07-31,20.9,13.5,6.6,23.4
2026-08-01,21.9,11.1,0,14.4
2026-08-02,24.4,8.9,0,16.6
2026-08-03,28.3,14.1,0,28.1
2026-08-04,31.9,19.3,0,18.7
2026-08-05,26,20,0,24.5
2026-08-06,22.2,14.6,0,32.8
2026-08-07,19.8,14.6,,13
2026-08-08,23.3,10.5,0,14
2026-08-09,27.6,11.7,0,11.9
2026-08-10,20.6,15.2,,23.8
2026-08-11,19.5,11.8,0,20.2
2026-08-12,24,6.9,0,13.3
2026-08-13,30.3,9.4,0,15.8
2026-08-14,33.9,12.7,0,9.7
2026-08-15,20.8,15.6,0,17.6
2026-08-16,22.9,10.5,0,15.1
2026-08-17,19.9,13.6,1.5,21.2
2026-08-18,18.6,15.7,1.2,19.4
2026-08-19,18.8,15.7,1.2,15.8
2026-08-20,19.3,13.5,8.3,14
2026-08-21,20.5,13,0,18.7
2026-08-22,18.1,12.2,5.3,27.4
2026-08-23,18.2,13.3,1.6,23
2026-08-24,21.1,9.6,0,11.5
2026-08-25,23.7,9.2,0,27.7
2026-08-26,24.2,12.5,0,26.6
2026-08-27,27.4,14.8,0,25.9
2026-08-28,22.6,16.3,3.1,18.4
2026-08-29,21.7,15.8,4.3,22.3
2026-08-30,21.2,17.5,3,26.6
2026-08-31,20.2,15.7,4.5,20.5
2026-09-01,20.5,14.9,1.4,27
2026-09-02,21.3,13.4,3.7,18.4
2026-09-03,21.8,16.5,1.3,28.8
2026-09-04,19.5,16.3,10,33.5
2026-09-05,19,15,1,36.4
2026-09-06,21.2,11,0,13.7
2026-09-07,27.8,12.7,0,19.1
2026-09-08,19.7,14.6,17.5,17.6
2026-09-09,18.1,12.8,7.6,25.2
2026-09-10,19.6,12.5,0.2,15.1
2026-09-11,18,13.1,2.5,15.1
2026-09-12,20.6,12.5,0.4,16.9
2026-09-13,19.4,11.6,0.2,22.3
2026-09-14,20.7,8.6,0,11.5
2026-09-15,25.1,17.2,0.3,19.1
2026-09-16,18.9,13.8,2.6,20.2
2026-09-17,17.5,12.9,3.5,23
2026-09-18,18,13.2,0.7,22.7
2026-09-19,18.9,14.6,2.5,22
2026-09-20,18.5,14,3.2,33.8
2026-09-21,17.5,13,0,27
2026-09-22,19,11,0,7.9
2026-09-23,19.3,9,5.4,18.4
2026-09-24,16.2,9.7,0.9,29.9
2026-09-25,19.8,5.1,0,14
