date,tmax,tmin,precip,wind
2026-06-11,16.7,8,0.5,25.6
2026-06-12,17.3,10.1,5.4,26.6
2026-06-13,20.2,13.4,2,38.9
2026-06-14,16.4,10.1,0,34.6
2026-06-15,14.8,8.1,0,28.8
2026-06-16,21.2,6.9,0.1,25.9
2026-06-17,24,12.5,0.1,16.9
2026-06-18,29.5,16,0,13.7
2026-06-19,32,18.8,0,17.3
2026-06-20,30.7,18.4,2.4,28.1
2026-06-21,28.9,17.9,1.6,21.2
2026-06-22,28.2,18.8,0,14.8
2026-06-23,28.8,17.9,0,10.1
2026-06-24,31.1,16.7,0,10.4
2026-06-25,32.8,18.1,0,10.8
2026-06-26,34.1,21,0,12.6
2026-06-27,37.7,23,0,15.8
2026-06-28,35.3,25.2,0,22
2026-06-29,25.9,18.4,0,21.2
2026-06-30,23.1,15.8,0.1,12.2
2026-07-01,22,15,26.7,21.6
2026-07-02,26.1,11.3,0,30.6
2026-07-03,20.8,10.6,0,24.1
2026-07-04,23.9,9.3,0,23.4
2026-07-05,21.4,15.8,0.6,26.6
2026-07-06,23,13.9,0.1,31.7
2026-07-07,26.8,17.9,0.2,34.6
2026-07-08,23.3,14.7,0.1,23.8
2026-07-09,19.6,12.1,0,18.4
2026-07-10,25.7,12.3,0,13.3
2026-07-11,26.3,15.2,0,14.4
2026-07-12,29.7,14.6,0,15.8
2026-07-13,28.9,17.6,0,16.6
2026-07-14,25.5,17.1,2.3,15.5
2026-07-15,26,15.5,0,18
2026-07-16,27.9,13.2,0,13.7
2026-07-17,27.5,17.6,6.4,28.1
2026-07-18,24.2,15.8,0,22.3
2026-07-19,19,12.8,0.1,28.1
2026-07-20,17.9,9,0.3,20.5
2026-07-21,21.7,10.7,0,18.4
2026-07-22,19.1,9.7,0,27.4
2026-07-23,18.3,12.3,0.1,24.8
2026-07-24,23.8,6.7,0,16.9
2026-07-25,29.6,10.4,0,19.4
2026-07-26,29.4,13,0,35.3
2026-07-27,22,15,8.9,33.5
2026-07-28,24.8,12.2,0,15.5
2026-07-29,32.7,16.3,0,16.9
2026-07-30,36.1,18.2,0.3,31.7
2026-07-31,31.2,15.5,0,15.1
2026-08-01,23.2,14.2,1.2,17.6
2026-08-02,24.7,12.8,0,14.8
2026-08-03,30.8,14.8,0,17.3
2026-08-04,33.4,20,6.2,18
2026-08-05,32.3,21.2,0,23.4
2026-08-06,27.3,16.7,0,25.9
2026-08-07,23.8,11.4,0,19.4
2026-08-08,25.6,11.8,0,13.7
2026-08-09,32.7,12.7,0,25.2
2026-08-10,32,17.1,0,34.6
2026-08-11,23.3,13.8,0,14.8
2026-08-12,24.9,10.2,0,14
2026-08-13,28.9,11.8,0,13.3
2026-08-14,33.3,14.7,0,10.8
2026-08-15,34.6,15.5,0,22.3
2026-08-16,26.6,17.1,0.6,13.7
2026-08-17,19.3,14,1.3,25.6
2026-08-18,17.3,13.8,4.8,23
2026-08-19,23.8,14.7,27.4,34.6
2026-08-20,24.3,14.7,0.9,23.4
2026-08-21,21.4,13.2,0.9,20.5
2026-08-22,18.3,10.9,13.6,27
2026-08-23,17.8,8.7,0,19.8
2026-08-24,19,6.7,0,14
2026-08-25,22.4,10.1,0.6,20.9
2026-08-26,17.3,13.6,4.5,13
2026-08-27,27.9,12.6,0,19.4
2026-08-28,25.4,16.9,2.2,35.3
2026-08-29,24.1,13.7,0,29.9
2026-08-30,23.7,17.6,0.3,37.8
2026-08-31,22.6,13.4,15,38.2
2026-09-01,21.7,12.9,0,31.3
2026-09-02,21.9,10.7,0,27
2026-09-03,21.2,11.2,4,38.5
2026-09-04,26.5,15.6,6.8,46.4
2026-09-05,19.6,11.5,0.4,32.8
2026-09-06,20.5,8.5,0,15.8
2026-09-07,26.1,12.8,0,22
2026-09-08,27.5,16,0,26.6
2026-09-09,22,12.1,0,33.8
2026-09-10,18.2,10.5,0,17.3
2026-09-11,20.5,5.7,0,15.5
2026-09-12,20.4,12.2,0,13.3
2026-09-13,16.6,13.3,8.6,23
2026-09-14,19.8,11.6,0,18.4
2026-09-15,24.6,13.3,0,21.2
2026-09-16,18.5,11.6,6.1,20.2
2026-09-17,19.2,7.6,0,28.8
2026-09-18,18.2,11.4,0.3,25.6
2026-09-19,20.1,9.2,0,33.5
2026-09-20,17.3,11.4,7.6,28.1
2026-09-21,16.4,8.4,0,28.1
2026-09-22,16.1,8.7,0,13.7
2026-09-23,18.2,3.6,0,16.6
2026-09-24,15.5,10.6,0.6,24.1
