target,provider,lead,tmax,tmin,precip,wind
2026-06-12,arpege,1,15.6,10.4,3.6,
2026-06-12,arpege,2,16.2,12,2.5,
2026-06-12,arpege,3,16.5,12.4,5,
2026-06-12,ecmwf,1,17.9,10,2.1,22.7
2026-06-12,ecmwf,2,18.2,10.5,3,27.1
2026-06-12,ecmwf,3,17.5,8.7,3.9,27.4
2026-06-12,ecmwf,4,16.1,10.9,4.5,22.7
2026-06-12,ecmwf,5,16.6,12.3,4.8,27.3
2026-06-12,ecmwf,6,16.4,12.4,5.4,24.1
2026-06-12,ecmwf,7,16.7,9.5,1.2,21.7
2026-06-12,gem,1,17.4,11.6,2.1,40
2026-06-12,gem,2,16.1,12.2,2.3,31.7
2026-06-12,gem,3,15.4,11.2,2.9,33.5
2026-06-12,gem,4,16.8,11,1.5,28.4
2026-06-12,gem,5,18.4,11.6,6.8,
2026-06-12,gem,7,17.3,11.6,1.1,29.9
2026-06-12,gfs,1,16.2,12.2,2,39.4
2026-06-12,gfs,2,16,12.3,1.9,43.7
2026-06-12,gfs,3,15.7,13,0.6,25.7
2026-06-12,gfs,4,17.6,12.2,1.5,26.6
2026-06-12,gfs,5,15.8,13,1.7,33.4
2026-06-12,gfs,6,15.8,12.2,0.3,29.4
2026-06-12,gfs,7,17.6,12.2,2.5,45.6
2026-06-12,icon,1,16.6,11,0.8,30.2
2026-06-12,icon,2,18.8,12.3,4.2,36
2026-06-12,icon,3,17.2,12.7,1.4,34.3
2026-06-12,icon,4,16.7,13.2,3,23.5
2026-06-12,icon,5,17.3,12.8,10.3,29.7
2026-06-12,icon,6,17.1,13.6,3.9,21.6
2026-06-12,ukmo,1,16,12.8,4.7,44.3
2026-06-12,ukmo,2,16.2,12.6,,
2026-06-12,ukmo,4,16.7,12.7,9.5,52.2
2026-06-12,ukmo,6,16.2,13.4,,50
2026-06-13,arpege,1,15.5,13.7,4.6,
2026-06-13,arpege,2,15.6,12.6,0.8,
2026-06-13,arpege,3,16.5,13.2,0.2,
2026-06-13,ecmwf,1,15.2,11.2,4.5,31.3
2026-06-13,ecmwf,2,15.7,11.7,3,32.8
2026-06-13,ecmwf,3,14.8,10.5,7.5,28.4
2026-06-13,ecmwf,4,17.4,12,3,32.8
2026-06-13,ecmwf,5,17.3,12.1,1.8,29.6
2026-06-13,ecmwf,6,19.6,11.6,3.9,26.4
2026-06-13,ecmwf,7,18.3,12,0.6,21
2026-06-13,gem,1,16.5,13,4.6,43.6
2026-06-13,gem,2,15.7,13.1,4.6,46.4
2026-06-13,gem,3,17.4,12.9,0.2,35.6
2026-06-13,gem,4,17.7,12.4,0.5,39.2
2026-06-13,gem,5,18.4,13.8,1.9,
2026-06-13,gem,7,19.1,13.5,0.3,42.1
2026-06-13,gfs,1,14.9,13.1,2.8,53.6
2026-06-13,gfs,2,14.9,13.3,2.4,52.3
2026-06-13,gfs,3,15.9,13.7,2.9,50.4
2026-06-13,gfs,4,16.7,14,0.2,53.6
2026-06-13,gfs,5,17.6,13.9,0.7,44
2026-06-13,gfs,6,16,12.4,0.8,49.8
2026-06-13,gfs,7,15,13.6,6.4,51.2
2026-06-13,icon,1,16.3,13.5,2.9,39.9
2026-06-13,icon,2,16.3,13.5,2.6,35.6
2026-06-13,icon,3,16.6,13.2,1,37.4
2026-06-13,icon,4,18.1,14.2,0,37.3
2026-06-13,icon,5,19.3,13.9,1.6,28.1
2026-06-13,icon,6,18.2,12.9,1.1,35.6
2026-06-13,ukmo,1,15.4,13.4,1.3,50.8
2026-06-13,ukmo,2,15.7,13.4,,
2026-06-13,ukmo,4,15.6,14.1,3.3,54.7
2026-06-13,ukmo,6,15.6,13.9,,53.3
2026-06-14,arpege,1,16.6,13.6,0.1,
2026-06-14,arpege,2,16.5,12.8,2.4,
2026-06-14,arpege,3,16.7,12.6,1.4,
2026-06-14,ecmwf,1,15.3,10,8.4,29.4
2026-06-14,ecmwf,2,15.7,10.1,9.3,33
2026-06-14,ecmwf,3,16.7,11.1,3.6,31.3
2026-06-14,ecmwf,4,16.6,10.5,3.9,30.8
2026-06-14,ecmwf,5,15.7,11.2,6.3,31.3
2026-06-14,ecmwf,6,18.4,11.5,0,27.2
2026-06-14,ecmwf,7,21.7,11.3,0.9,25.2
2026-06-14,gem,1,16.3,12.1,7.7,40.3
2026-06-14,gem,2,15.8,11.9,5.2,41
2026-06-14,gem,3,16.3,12.7,3.1,35.3
2026-06-14,gem,4,15.1,12.7,4,31.7
2026-06-14,gem,5,17.1,11.9,0.6,
2026-06-14,gem,7,16.7,12.5,0,43.2
2026-06-14,gfs,1,15.6,13,7.8,51.5
2026-06-14,gfs,2,15.7,13.1,4.5,51.5
2026-06-14,gfs,3,15.3,12.6,6.2,47.9
2026-06-14,gfs,4,15.8,13.4,2.2,51.3
2026-06-14,gfs,5,16.4,12.9,0.1,56.3
2026-06-14,gfs,6,18.7,14,0,41.7
2026-06-14,gfs,7,15.9,13.3,0.6,50.1
2026-06-14,icon,1,15.9,12.8,7.4,37
2026-06-14,icon,2,16.5,12.5,12.3,32.9
2026-06-14,icon,3,16.2,12.4,11.2,35.3
2026-06-14,icon,4,16.5,13,5.6,41.8
2026-06-14,icon,5,16.6,13.2,0.3,38.8
2026-06-14,icon,6,21.1,12.5,0.8,34.3
2026-06-14,ukmo,1,15.6,12.7,6.8,48.2
2026-06-14,ukmo,2,15.3,13.2,,
2026-06-14,ukmo,4,16.6,12.5,3.4,47.2
2026-06-14,ukmo,6,16.8,13.7,,55.1
2026-06-15,arpege,1,16,13.6,0,
2026-06-15,arpege,2,17.7,13.4,0.3,
2026-06-15,arpege,3,17,13.5,0.3,
2026-06-15,ecmwf,1,15.6,11.3,0,33.3
2026-06-15,ecmwf,2,15.7,11.6,0,31.6
2026-06-15,ecmwf,3,16.4,11.7,0,33.1
2026-06-15,ecmwf,4,17.9,11.5,0,28.2
2026-06-15,ecmwf,5,14.7,11.9,2.7,32
2026-06-15,ecmwf,6,16.5,11.4,0,28
2026-06-15,ecmwf,7,18.4,11.6,1.8,22.2
2026-06-15,gem,1,15.9,13.2,0,40
2026-06-15,gem,2,15.7,13,0,40
2026-06-15,gem,3,16.8,13,0.2,40.3
2026-06-15,gem,4,18.5,13.3,1,29.5
2026-06-15,gem,5,18.3,12.8,0.2,
2026-06-15,gem,7,16.3,11.1,0.3,33.8
2026-06-15,gfs,1,15.9,13.3,2,49.3
2026-06-15,gfs,2,14.8,13.5,0.1,50.7
2026-06-15,gfs,3,15,13.3,0.5,53.5
2026-06-15,gfs,4,15.3,13.7,2.7,51.5
2026-06-15,gfs,5,16.3,13.6,0.1,40.9
2026-06-15,gfs,6,19,13.6,0,47.7
2026-06-15,gfs,7,19.2,13.6,0,37.4
2026-06-15,icon,1,16.4,12.8,0,42.4
2026-06-15,icon,2,16.7,13.7,0,36.7
2026-06-15,icon,3,17,14.1,0.6,35
