date,tmax,tmin,precip,wind
2026-06-12,17.4,11.1,0.6,45.7
2026-06-13,16.2,13.4,1.6,51.5
2026-06-14,15.7,12.2,4.1,51.8
2026-06-15,15.1,13.3,0,53.6
2026-06-16,15.1,12.4,0,41.4
2026-06-17,18.1,11.9,0,24.1
2026-06-18,24,16.2,0,23.4
2026-06-19,26.8,16.3,0.2,15.1
2026-06-20,27.3,18.5,0.1,37.1
2026-06-21,22,18.5,0,19.4
2026-06-22,19.9,15.6,0,25.9
2026-06-23,19.7,14.8,0,15.5
2026-06-24,26.4,14.6,0,13
2026-06-25,22.7,19,0,24.8
2026-06-26,29.4,17.5,0,18.4
2026-06-27,34.5,22,0,18.4
2026-06-28,27.1,20.1,8.1,38.5
2026-06-29,23.4,19.9,0.7,32.8
2026-06-30,20.7,17.6,0,25.9
2026-07-01,21.5,17.3,7.1,23.8
2026-07-02,20.9,16.9,0.5,58
2026-07-03,17.6,15.6,0,64.1
2026-07-04,18.4,15,0,52.6
2026-07-05,18.6,15,0.6,47.9
2026-07-06,19.3,14,3.5,51.8
2026-07-07,17.4,14.9,4,54.7
2026-07-08,19.1,14.1,0,52.9
2026-07-09,19.8,14.9,0,43.6
2026-07-10,20.5,15.9,0,28.1
2026-07-11,23.4,17.2,0,17.3
2026-07-12,21.9,18,0,24.8
2026-07-13,23,17.6,0,29.2
2026-07-14,23.9,15.3,0,16.2
2026-07-15,23.5,16.6,0,26.3
2026-07-16,23.6,14.5,0.5,23.4
2026-07-17,25.3,15.5,0,35.3
2026-07-18,20.5,16.8,0,47.2
2026-07-19,19.1,14.9,4.8,40
2026-07-20,18.9,14.7,8.3,46.8
2026-07-21,21.2,16.3,0,38.2
2026-07-22,19.3,15.6,5.3,47.2
2026-07-23,20.4,14.9,0,47.5
2026-07-24,18.8,15.3,0.1,35.3
2026-07-25,22.8,15.1,0,27.7
2026-07-26,18.3,15.1,10.8,31.3
2026-07-27,18.7,14.7,0.5,49.3
2026-07-28,21.5,15.2,0.1,42.5
2026-07-29,28.9,17.1,0,20.5
2026-07-30,34.4,20,2,24.5
2026-07-31,21.2,16.8,0.5,32
2026-08-01,19.7,15.7,0,25.6
2026-08-02,20.9,16.2,0,24.8
2026-08-03,24.5,13.9,0,26.6
2026-08-04,23.6,17.7,3.7,27
2026-08-05,25.8,18.8,0.2,29.2
2026-08-06,21.3,17.3,0,48.2
2026-08-07,19.1,16,0,42.1
2026-08-08,20.9,14.8,0,26.6
2026-08-09,26.8,14.4,0,21.6
2026-08-10,20.1,16.6,8.4,46.4
2026-08-11,18.3,15.1,1.1,46.1
2026-08-12,18.4,13.8,0,23.8
2026-08-13,23.8,11.7,0,23.4
2026-08-14,29.2,16.9,0,21.2
2026-08-15,22.5,18.3,0.1,34.9
2026-08-16,20.8,16.7,0,34.2
2026-08-17,19.2,16.1,0,38.9
2026-08-18,17.5,14.9,0,36.7
2026-08-19,19.7,15.5,0.6,32.8
2026-08-20,21.7,16,0.7,28.8
2026-08-21,19.6,15.2,0,26.3
2026-08-22,18.2,15,0.2,54.4
2026-08-23,17.8,14.5,1.8,49
2026-08-24,18.4,13.4,0,40.7
2026-08-25,20.1,10.9,0,23.8
2026-08-26,21.1,15.8,0,34.6
2026-08-27,20.6,15.9,0,39.2
2026-08-28,21.1,16.3,7.3,27
2026-08-29,21,16.2,0,24.5
2026-08-30,20.3,16.8,0.3,33.1
2026-08-31,22.8,16.1,4,24.1
2026-09-01,19.9,15.9,1.8,39.2
2026-09-02,19.7,15.6,0,35.6
2026-09-03,19,15.4,8.1,44.6
2026-09-04,17.9,15.8,9.3,59.8
2026-09-05,17.6,13.6,7.4,58.3
2026-09-06,18.5,14.1,0,55.4
2026-09-07,24.3,14.2,0,19.4
2026-09-08,20.6,15.8,0.7,33.8
2026-09-09,18,14.6,10.2,40
2026-09-10,16.8,14.2,0,48.2
2026-09-11,19.2,10.1,0,16.6
2026-09-12,18.4,15.8,0.4,22.3
2026-09-13,19.2,15.7,0.4,36
2026-09-14,17.5,13.9,0,31.3
2026-09-15,22.7,12.5,0.2,16.2
2026-09-16,18.2,15.4,13.2,42.5
2026-09-17,17.4,13.5,0.7,39.2
2026-09-18,17.8,14.3,0,38.9
2026-09-19,18.7,14.2,0.5,29.5
2026-09-20,17.1,14.5,6.3,56.9
2026-09-21,15.4,13.8,0,59
2026-09-22,16.5,12.4,0,38.2
2026-09-23,16.1,14.3,0.3,18.4
2026-09-24,15.3,12.7,1.9,51.8
2026-09-25,16.7,13,0,35.3
