date,tmax,tmin,precip,wind
2026-06-12,17.3,6.8,2,20.2
2026-06-13,18.9,10.5,3.4,23.4
2026-06-14,15.4,10.2,5.4,28.1
2026-06-15,16,11.4,0.6,24.8
2026-06-16,18.4,7.4,0,16.2
2026-06-17,23,5.2,0,12.6
2026-06-18,25.5,16.7,0,12.2
2026-06-19,28.9,15.8,0,19.4
2026-06-20,28.2,15.7,0,19.8
2026-06-21,26,17.1,0.3,14
2026-06-22,23.9,11.2,0,14
2026-06-23,25.7,9.7,0,11.2
2026-06-24,30,11.2,0,11.5
2026-06-25,29.8,16.6,0,18.7
2026-06-26,31.8,12.2,0,10.4
2026-06-27,37.7,15.6,0,12.6
2026-06-28,34,21,0,24.5
2026-06-29,26.4,18,13.2,19.4
2026-06-30,26.6,14.2,0,13.3
2026-07-01,23.4,16,0,13.3
2026-07-02,25.3,13.4,0.2,24.1
2026-07-03,20.3,13.2,0,31
2026-07-04,19.6,12.8,0,21.2
2026-07-05,20.4,14.2,2.7,23
2026-07-06,18.5,10.5,5.3,19.1
2026-07-07,18.6,13.7,3.9,24.1
2026-07-08,21.1,10.3,0,23.4
2026-07-09,23.1,12.9,0,20.5
2026-07-10,25.4,13.1,0,18.4
2026-07-11,25.2,10.7,0,18.7
2026-07-12,28.8,14.9,0,21.6
2026-07-13,25.2,14.7,0,
2026-07-23,20.6,13.8,5.2,24.1
2026-07-24,21.1,11.8,0,15.5
2026-07-25,26.4,10,0,16.6
2026-07-26,22.4,15.7,4.8,16.2
2026-07-27,20.3,13.7,8,24.1
2026-07-28,21.9,9.8,0,20.2
2026-07-29,27.5,13.7,0,16.6
2026-07-30,35.5,15.9,0,22
2026-07-31,26.7,17.7,0.2,13
2026-08-01,20.4,10.5,1.5,18
2026-08-02,24.3,8.5,0,8.3
2026-08-03,26.5,11.5,0,15.1
2026-08-04,29.8,17.4,0.4,21.2
2026-08-05,31.4,17.1,3,20.2
2026-08-06,25.2,18.2,2.2,20.2
2026-08-07,18.8,12.3,0,15.5
2026-08-08,23.3,11.7,0,8.6
2026-08-09,30.3,9.9,0,18.7
2026-08-10,27.1,15.8,0.3,20.5
2026-08-11,20,9.5,0,18.7
2026-08-12,23.6,7.5,0,10.8
2026-08-13,26.8,9.8,0,13.3
2026-08-14,31.4,11.1,0,15.1
2026-08-15,34.2,12.8,0,21.2
2026-08-16,23.8,14.9,4,12.2
2026-08-17,19.4,14,4.3,13.3
2026-08-18,20.2,13.3,0,17.6
2026-08-19,20.3,13.9,1.3,22.3
2026-08-20,21.5,14.3,0.3,16.6
2026-08-21,23.5,11.9,0,15.1
2026-08-22,20.1,14.4,1.7,24.5
2026-08-23,18.6,12.4,0.6,23
2026-08-24,21.3,12.2,0,13
2026-08-25,23.6,10.5,0,20.2
2026-08-26,23.8,12.7,0,21.6
2026-08-27,26.3,12.1,0,24.1
2026-08-28,25.8,17.6,0,20.5
2026-08-29,24.2,15.6,0,22.7
2026-08-30,24.9,15.7,0.2,29.9
2026-08-31,25.2,14.4,0.5,23
2026-09-01,21.3,13.8,2.1,22
2026-09-02,21,10.9,0,15.1
2026-09-03,21.1,11.7,0.3,25.6
2026-09-04,21.9,15.4,7.6,34.2
2026-09-05,18.1,13,4.1,27.7
2026-09-06,19.5,9.6,0,19.1
2026-09-07,21.1,9.4,0,18
2026-09-08,24.8,13.5,0,18.7
2026-09-09,20.3,12.3,0,23.4
2026-09-10,18.4,7.6,0,20.9
2026-09-11,18.4,6.8,0,10.8
2026-09-12,20.6,10.7,0,14.4
2026-09-13,17.9,13.2,3.9,13.3
2026-09-14,17.3,8.6,0,15.5
2026-09-15,23.8,7.2,0,13.7
2026-09-16,19.3,11.8,7.4,13.3
2026-09-17,19.2,10.5,0,18.7
2026-09-18,19.3,12.2,0.3,23
2026-09-19,19.6,12.1,0,23.4
2026-09-20,18.7,12,2.6,23.4
2026-09-21,17.1,11.8,0,26.3
2026-09-22,17.9,7.8,0,16.2
2026-09-23,19.6,6.6,0.2,12.6
2026-09-24,14.7,10.1,2.7,18
2026-09-25,14.2,7.2,3,13
