date,tmax,tmin,precip,wind
2026-06-12,13.8,8.3,19.6,15.1
2026-06-13,19.7,12.7,19.7,22.3
2026-06-14,15.4,9.6,0,20.2
2026-06-15,14.7,7.2,0,16.2
2026-06-16,19.7,4,2,16.2
2026-06-17,21.6,10.9,0.3,12.6
2026-06-18,27.9,12.6,0,10.8
2026-06-19,31.5,15.2,0,12.6
2026-06-20,29.6,17.5,0,13
2026-06-21,30,16.1,2.6,10.1
2026-06-22,29.3,16.8,3.8,10.4
2026-06-23,27.9,15.6,0,8.3
2026-06-24,30.1,15.1,0,9.7
2026-06-25,30.9,16.9,0,10.1
2026-06-26,32.7,17.4,0,8.6
2026-06-27,34.2,18.3,0,8.3
2026-06-28,34.8,19.4,0,11.2
2026-06-29,26.4,17.5,3.7,17.6
2026-06-30,24.5,17.5,9.5,8.6
2026-07-01,19.2,11.8,28.6,9.7
2026-07-02,23.1,10.3,0,15.8
2026-07-03,19.8,11.1,0.2,14.8
2026-07-04,21.3,7.6,0,15.5
2026-07-05,19.9,14.9,0,16.9
2026-07-06,20,14.2,0.5,16.9
2026-07-07,25.4,13.2,0,23
2026-07-08,21.2,12.9,0,15.8
2026-07-09,20.6,10.3,0,11.2
2026-07-10,24.9,9.7,0,15.1
2026-07-11,24.6,11.4,0,15.8
2026-07-12,24.9,12.2,0,16.9
2026-07-13,27.9,13.8,0,16.6
2026-07-14,24.9,15.5,3.2,16.9
2026-07-15,23.2,11.4,0,11.5
2026-07-16,26.5,12.5,0,9.4
2026-07-17,23.1,14.3,5.9,14.8
2026-07-18,21.9,13.9,2.9,15.1
2026-07-19,17.8,10.3,9.6,16.2
2026-07-20,17.9,7.7,0,15.5
2026-07-21,17,7.7,0,8.3
2026-07-22,19.2,7.6,0,14.4
2026-07-23,16.2,8.3,0,11.9
2026-07-24,21.6,5.8,0,12.6
2026-07-25,27.1,8.2,0,13.7
2026-07-26,25.3,12,0.1,20.2
2026-07-27,18.8,12,5.7,17.6
2026-07-28,23.4,8.8,0,10.1
2026-07-29,30.6,10.7,0,11.9
2026-07-30,33.6,15.6,0,20.2
2026-07-31,31.4,14.8,0,13.3
2026-08-01,23,14,2.1,18.7
2026-08-02,25.9,9.8,0,13.7
2026-08-03,31.9,12.7,0,10.1
2026-08-04,33,17.7,0,13.7
2026-08-05,29.6,16.9,2,20.9
2026-08-06,26.8,16.1,0,18
2026-08-07,24.6,10.5,0,10.8
2026-08-08,26.7,8.7,0,11.9
2026-08-09,29.2,11.1,0,13.3
2026-08-10,29.7,16.2,0,18.7
2026-08-11,24.8,12.7,0,14.4
2026-08-12,26.6,7.7,0,14.4
2026-08-13,28.6,9.2,0,13
2026-08-14,31.4,10.8,0,9.7
2026-08-15,32.7,14.1,0,10.1
2026-08-16,28.2,15.6,13.7,11.5
2026-08-17,19.3,13.2,2.7,13.3
2026-08-18,15.7,11.9,9.5,15.8
2026-08-19,22.1,15.6,8.7,15.5
2026-08-20,22.1,12.7,0.2,16.6
2026-08-21,21.6,10.2,15.7,10.1
2026-08-22,15.4,8.9,7.8,18
2026-08-23,17.8,6.3,0,11.2
2026-08-24,20,5.5,0,11.9
2026-08-25,18,10.2,2.6,16.9
2026-08-26,22.5,12.7,0.1,7.9
2026-08-27,26.1,10.8,0,15.1
2026-08-28,21.9,15.6,13.7,18
2026-08-29,20.8,12.9,6.6,14
2026-08-30,23.1,12.6,0,23
2026-08-31,20.3,11.8,9.8,20.5
2026-09-01,19.4,10.5,0.5,15.5
2026-09-02,20.8,9,0,16.2
2026-09-03,19.4,8.5,5.5,16.2
2026-09-04,24.9,14.7,0,21.6
2026-09-05,21.7,10,2.6,19.4
2026-09-06,19.5,6.4,0,9
2026-09-07,20.9,8.6,0,8.6
2026-09-08,27.5,11.5,0,16.2
2026-09-09,20.7,7.9,0.1,15.1
2026-09-10,17.5,5.3,0,7.9
2026-09-11,17.9,7.5,0,9
2026-09-12,18.6,7.4,0,10.8
2026-09-13,15,10.4,18.8,16.2
2026-09-14,16.9,10.8,3.4,10.1
2026-09-15,21.6,9.5,0.1,11.2
2026-09-16,20.5,9.1,5.4,15.8
2026-09-17,16.5,5.7,0.1,14
2026-09-18,14.4,6.6,0,13.7
2026-09-19,17.6,5.2,0,16.2
2026-09-20,17.3,10.4,9.4,20.5
2026-09-21,12.5,6.8,0,11.5
2026-09-22,13.5,5.3,0,10.4
2026-09-23,16.7,3.4,0,7.6
2026-09-24,13.6,7.2,1.9,14.8
2026-09-25,15.4,3.4,0,13
