date,tmax,tmin,precip,wind
2026-06-12,15.5,8.8,6.3,8.6
2026-06-13,27.5,12.6,2.1,16.2
2026-06-14,23.8,11.4,0.1,13.3
2026-06-15,24.1,10.2,0,13.7
2026-06-16,22.7,8.8,0.1,11.2
2026-06-17,27.5,13.6,0.1,9.4
2026-06-18,29.3,12.1,0,15.8
2026-06-19,31.6,13.7,0.9,18
2026-06-20,31,13.1,0,13
2026-06-21,31.6,14.4,1.3,10.1
2026-06-22,30.9,14,0,14.8
2026-06-23,30.1,15.3,0,10.8
2026-06-24,31.5,15.1,0,15.8
2026-06-25,32.7,15,0,16.6
2026-06-26,32.4,14.9,0,17.6
2026-06-27,34.5,14.8,0,18
2026-06-28,32.5,18.1,0.1,14.4
2026-06-29,27.5,17.6,8.7,14.8
2026-06-30,27.4,15.4,0.5,16.2
2026-07-01,19.5,13.1,22.7,7.6
2026-07-02,24.9,10.2,0,11.5
2026-07-03,22.5,14.7,9.4,7.2
2026-07-04,26,10.6,0,12.6
2026-07-05,25.5,10.5,7.9,15.1
2026-07-06,24.9,14.4,3.7,9
2026-07-07,29,12.3,0,13
2026-07-08,22.9,15.3,0.1,11.2
2026-07-09,25.7,13.2,0,16.6
2026-07-10,27.8,11.8,0,18.4
2026-07-11,28.3,13,0,14.4
2026-07-12,27.2,11.1,0,18
2026-07-13,30.1,11,0,18.4
2026-07-14,28.3,15.9,3.3,9
2026-07-15,26.1,15.7,27.9,7.9
2026-07-16,29.2,14.3,1.9,13.3
2026-07-17,28.3,14.5,0.7,16.2
2026-07-18,24.9,15.1,10.7,18.7
2026-07-19,23.4,11.6,8.8,14.4
2026-07-20,21.8,10.8,,13.7
2026-07-21,20.1,8.5,,15.1
2026-07-22,23.2,8.6,,12.6
2026-07-23,22.7,11.9,0,14.4
2026-07-24,23.4,7.5,0,17.3
2026-07-25,29.6,8.9,0,14.4
2026-07-26,23.3,14.7,0,10.4
2026-07-27,22.2,14.7,1.5,12.6
2026-07-28,27.1,11.3,0,17.6
2026-07-29,32.6,13,0,11.9
2026-07-30,34.4,16,0,15.1
2026-07-31,34,14.8,4.1,18
2026-08-01,27.1,15.9,3.6,13
2026-08-02,26.7,16.4,19.5,18
2026-08-03,33.5,15.5,0.1,11.5
2026-08-04,33.2,15.5,0,16.9
2026-08-05,31.2,15.7,43.3,16.6
2026-08-06,23.5,17,1.5,11.9
2026-08-07,24.3,16.8,0,13
2026-08-08,27.7,12.8,0,15.1
2026-08-09,31.7,14.7,0,13.3
2026-08-10,31.3,17.9,0.5,11.2
2026-08-11,28.6,16,0,15.1
2026-08-12,28.8,13.5,0,16.9
2026-08-13,29.3,12.5,0,18.4
2026-08-14,31,12,0,16.2
2026-08-15,32.4,12.1,0,15.5
2026-08-16,28.4,18.7,3,12.2
2026-08-17,19.7,14.7,18.5,7.9
2026-08-18,20.9,14.5,8.2,5
2026-08-19,28.1,14,0,13.7
2026-08-20,22.5,15.6,8.2,7.6
2026-08-21,18.8,11.8,4.4,13.3
2026-08-22,21.1,10.6,0,13
2026-08-23,21.3,7.2,0,18.4
2026-08-24,23.7,8.9,0,16.9
2026-08-25,18.4,12.6,14.4,5
2026-08-26,25.6,12.5,0.1,15.1
2026-08-27,30.8,13.2,0,9
2026-08-28,32.2,15,17.7,20.5
2026-08-29,23.1,10.9,8.2,15.1
2026-08-30,25.8,12.2,0.4,16.2
2026-08-31,22.9,15.9,0.1,18.7
2026-09-01,23.4,10.2,0,15.5
2026-09-02,24.2,9.2,0,13.3
2026-09-03,26.3,11,0,12.2
2026-09-04,30,10.5,0,11.9
2026-09-05,19.1,14.5,0.5,19.1
2026-09-06,24,11.2,0,14.8
2026-09-07,28.9,11.2,0,10.1
2026-09-08,31.2,11.1,0,16.2
2026-09-09,18.6,10.5,24,12.2
2026-09-10,14.5,9.9,0.2,5.8
2026-09-11,17.9,9.5,0,7.6
2026-09-12,21.3,5.7,0,14
2026-09-13,23.8,7.1,4.4,13
2026-09-14,21,12,9,12.2
2026-09-15,24.2,8.2,0,13.7
2026-09-16,24.8,10.5,17.8,14.8
2026-09-17,18.4,10.5,7.2,14
2026-09-18,17.6,10.9,0,6.1
2026-09-19,21.2,6.3,0,14.4
2026-09-20,23.1,8,0,12.2
2026-09-21,15.4,9.6,0.1,16.9
2026-09-22,16.5,4.6,0,17.6
2026-09-23,18.7,2.2,0,11.5
2026-09-24,17.7,5.9,4,12.6
2026-09-25,17.7,7.3,0,13
