date,tmax,tmin,precip,wind
2026-06-12,14.5,9.4,8.4,17.6
2026-06-13,23.6,14.1,1.5,29.2
2026-06-14,18.3,11.9,0,22.7
2026-06-15,19.1,10.9,0,17.3
2026-06-16,19.4,9.5,0.3,10.8
2026-06-17,24.6,14.6,0,14.8
2026-06-18,28.9,16,0,7.2
2026-06-19,31.4,18.8,0,10.1
2026-06-20,31.3,18.9,0,11.5
2026-06-21,30.8,19.9,0,12.2
2026-06-22,30.8,18.4,0,9
2026-06-23,29.6,19.6,0,11.9
2026-06-24,31.5,18.6,0,7.9
2026-06-25,32.7,20.4,0,8.3
2026-06-26,33.4,22.1,0,9.4
2026-06-27,35.1,21.8,0,14
2026-06-28,34.7,20,2.9,23.4
2026-06-29,27.6,18,0.5,18
2026-06-30,27.2,18.1,11.3,12.2
2026-07-01,20.2,15.8,12,13
2026-07-02,26.1,13.5,0,16.2
2026-07-03,23.7,14.6,0,20.2
2026-07-04,24.7,12.6,0,18.4
2026-07-05,22.9,16.1,6.6,18
2026-07-06,23.8,13.9,0,16.2
2026-07-07,28.8,16.5,0,25.9
2026-07-08,23,17.7,0,17.6
2026-07-09,23,13.6,0,16.2
2026-07-10,27.9,13.6,0,11.2
2026-07-11,28.2,15.6,0,14
2026-07-12,27.3,15.4,0,14.8
2026-07-13,30.1,16.8,0,14.8
2026-07-14,29.6,17.3,3.6,20.9
2026-07-15,25.9,15,4.9,10.8
2026-07-16,28.3,14.9,0.2,10.1
2026-07-17,27.4,15.3,33.1,19.1
2026-07-18,25.1,15.5,0.3,14.4
2026-07-19,20.7,13.6,0.3,19.4
2026-07-20,20.9,9.8,0,18
2026-07-21,20.5,9.3,0,16.2
2026-07-22,23.3,11.9,0,16.6
2026-07-23,18.9,11.9,0,20.9
2026-07-24,24.2,8.6,0,10.8
2026-07-25,29.9,13,0,14.4
2026-07-26,27.8,19,0,23
2026-07-27,22,15.2,2.3,19.1
2026-07-28,27.1,13.6,0,9.7
2026-07-29,33.1,16.2,0,12.2
2026-07-30,35.6,21.3,0,29.9
2026-07-31,34.2,18.3,4.3,18.7
2026-08-01,26.1,17.7,1.8,13
2026-08-02,28.2,14.6,0,13.3
2026-08-03,34.2,18.4,0,11.2
2026-08-04,34.9,21,,11.5
2026-08-05,31.4,18.9,,28.8
2026-08-06,28.4,19.3,,14.8
2026-08-07,26.2,15.2,0.6,15.5
2026-08-08,28,14.5,0,11.2
2026-08-09,32.3,17,0,14.4
2026-08-10,30.9,19.5,2.1,17.3
2026-08-11,27.5,16.5,0,16.2
2026-08-12,28.7,14.2,0,14.4
2026-08-13,29.5,15.1,0,15.8
2026-08-14,31.2,17.7,0,14
2026-08-15,33.8,17.9,0,10.4
2026-08-16,30.2,18.1,0.6,18.7
2026-08-17,22.5,16.6,0.3,23.4
2026-08-18,17.8,14.1,9.2,16.2
2026-08-19,27.5,15.7,3.2,16.2
2026-08-20,26.3,16.7,1.2,21.2
2026-08-21,19.3,12.3,17.1,22.3
2026-08-22,17.6,12.3,0.5,20.5
2026-08-23,20.8,9.6,0,10.8
2026-08-24,22.1,9.6,0,13.3
2026-08-25,17.6,13.1,4,16.9
2026-08-26,25,12.7,0,8.3
2026-08-27,28.2,16.4,0,16.9
2026-08-28,24,16.1,4.5,24.5
2026-08-29,23,13.1,0.2,12.6
2026-08-30,24.9,15.6,0,18.4
2026-08-31,22.6,15.3,5.1,20.2
2026-09-01,21.9,12.9,0,14.8
2026-09-02,23.1,12.6,0,10.1
2026-09-03,22.8,13.4,0,19.1
2026-09-04,28.3,15.9,0,21.2
2026-09-05,23,12.9,5.3,22
2026-09-06,21.9,10.4,0,9.4
2026-09-07,25.6,12.5,0,11.5
2026-09-08,30.6,16.4,0,16.2
2026-09-09,22.2,11.8,4.3,19.1
2026-09-10,16.9,9.1,0,11.2
2026-09-11,18.8,10.4,0,11.9
2026-09-12,20.2,11.7,0,15.5
2026-09-13,18.6,13,18.9,13.3
2026-09-14,19.4,13.7,0.3,14.8
2026-09-15,23.5,12.2,0,7.9
2026-09-16,23.1,13.2,0.4,20.9
2026-09-17,18.5,10.1,0,10.8
2026-09-18,17.7,10.4,0,15.5
2026-09-19,20.2,10.7,0,12.2
2026-09-20,21.6,12.1,1.7,18
2026-09-21,14.3,8.8,0,14.8
2026-09-22,15.1,6.5,0,14.4
2026-09-23,17.2,4.9,0,7.6
2026-09-24,15.8,9.1,0,21.6
2026-09-25,17.9,5.1,0,11.2
