date,tmax,tmin,precip,wind
2026-06-12,19.7,11.2,5.1,23.4
2026-06-13,21,12.8,0,30.2
2026-06-14,18.7,10,0,24.5
2026-06-15,17.4,7.4,0,16.9
2026-06-16,24.5,7.7,0.1,13.3
2026-06-17,26.5,12.1,0,16.2
2026-06-18,31.9,14.5,0,10.1
2026-06-19,35,16.5,0.1,22
2026-06-20,34.3,18.4,1.2,19.8
2026-06-21,32.9,19.6,14.9,24.5
2026-06-22,31.5,18.5,0,14.8
2026-06-23,30.2,19.2,0,12.6
2026-06-24,34.3,17.4,0,7.6
2026-06-25,34.8,19.8,0,16.2
2026-06-26,37.4,21,0,13
2026-06-27,38.7,21.1,0,17.3
2026-06-28,35.2,22.1,0,18
2026-06-29,26.9,20,19.8,12.2
2026-06-30,28.5,16.4,0,12.6
2026-07-01,26,16.9,4.7,18.7
2026-07-02,27.5,12.2,0,28.1
2026-07-03,23.7,10.9,0,16.6
2026-07-04,27.1,10.6,0,24.8
2026-07-05,22.8,17.4,0.5,19.1
2026-07-06,29,13.9,0,30.6
2026-07-07,29.5,16.5,0,36.4
2026-07-08,23.6,18.5,0,20.5
2026-07-09,26.9,16.9,0,19.4
2026-07-10,28.1,12.5,0,20.2
2026-07-11,30.2,14.5,0,19.1
2026-07-12,30.6,15.1,0,17.6
2026-07-13,32,16.3,0,18
2026-07-14,30.7,18.9,0.2,29.2
2026-07-15,28.7,17.3,0,23.4
2026-07-16,30.7,14.4,0.1,18.7
2026-07-17,27.9,16,3.8,17.3
2026-07-18,26.3,15.3,0,21.6
2026-07-19,20.8,14.2,0,23
2026-07-20,19.7,7.7,0,17.3
2026-07-21,23.2,9.2,0,12.6
2026-07-22,21,9.8,0,20.2
2026-07-23,23.2,13.1,0,18
2026-07-24,25.4,9.4,0,16.9
2026-07-25,29.6,11.1,0,23
2026-07-26,26.4,13.2,0.2,34.9
2026-07-27,23.5,15.8,2.3,26.3
2026-07-28,27.9,11.7,0,7.9
2026-07-29,35.1,13.4,0,15.1
2026-07-30,37.1,15,0,33.8
2026-07-31,31.6,15.4,0,22.3
2026-08-01,27.5,18.8,0,18.7
2026-08-02,29.7,15,0,18.7
2026-08-03,35.5,18.1,0,17.3
2026-08-04,34,20.2,13,24.5
2026-08-05,31.8,18.7,0,32.4
2026-08-06,25.1,17,0,28.4
2026-08-07,25,9.1,0,17.6
2026-08-08,28.7,11.4,0,15.1
2026-08-09,33.5,14,0,28.1
2026-08-10,32.3,15,0,29.9
2026-08-11,26.2,14.5,0,18
2026-08-12,29.3,12.3,0,16.9
2026-08-13,33,12.7,0,14.4
2026-08-14,35.5,14.3,0,10.4
2026-08-15,36.5,15.7,0,29.2
2026-08-16,30.5,18.6,0,16.6
2026-08-17,21.7,16.6,0.3,20.5
2026-08-18,19,15.2,6.5,22
2026-08-19,25.9,16.4,15.9,33.1
2026-08-20,24.7,15.4,1.2,27.4
2026-08-21,21.3,12.4,2.1,19.8
2026-08-22,20.2,12.6,3.4,18.4
2026-08-23,19.9,8.3,0,15.8
2026-08-24,22.1,7,0,17.6
2026-08-25,21.6,13.5,0.9,21.6
2026-08-26,23.1,15,0.2,16.2
2026-08-27,30.8,15.5,0,19.4
2026-08-28,25.8,18.4,5.1,25.2
2026-08-29,24.4,12.9,0,27.4
2026-08-30,24.4,16.4,0,37.1
2026-08-31,22.5,15.5,23.8,35.3
2026-09-01,22.9,13.3,0,22.3
2026-09-02,21.9,11,0,24.1
2026-09-03,23.8,10.6,0,22
2026-09-04,27.5,15.1,4.2,40.7
2026-09-05,21.2,11.2,0.3,30.6
2026-09-06,22.6,6.6,0,8.6
2026-09-07,29.3,13.4,0.5,12.2
2026-09-08,28.2,13.9,0,27.4
2026-09-09,22.3,12.6,0.5,31.7
2026-09-10,19.2,8,0,12.2
2026-09-11,22.8,6.5,0,22.3
2026-09-12,23.1,12.3,0,15.1
2026-09-13,18.8,14.7,14.7,16.2
2026-09-14,22.8,14.6,2.8,10.8
2026-09-15,26.1,14.6,0,7.9
2026-09-16,20,11.7,0.6,25.2
2026-09-17,19.8,8.5,0.1,23.8
2026-09-18,18.9,9.5,0.4,19.1
2026-09-19,22.9,8.6,0,27.4
2026-09-20,18.4,10.9,1.9,23.8
2026-09-21,18.1,9.4,0,20.2
2026-09-22,19,8.1,0,11.9
2026-09-23,19.8,5,0,10.1
2026-09-24,18.5,8.5,0,20.5
2026-09-25,20.5,3.5,0,9
