date,tmax,tmin,precip,wind
2026-06-12,18.9,8.1,2.9,20.9
2026-06-13,18.6,10.8,2.7,30.6
2026-06-14,15.9,10.4,20.1,29.9
2026-06-15,16.4,11.5,0,37.4
2026-06-16,15.9,10.4,0,27
2026-06-17,19.5,7.4,0,16.2
2026-06-18,24.6,15.6,0,19.1
2026-06-19,25.9,15.8,0.5,14.4
2026-06-20,29.3,17,0,14.8
2026-06-21,25,16.6,0,18.4
2026-06-22,22.4,12.3,0,16.9
2026-06-23,22.6,12.3,0,10.4
2026-06-24,28.1,11.8,0,10.4
2026-06-25,27.5,16.9,0,18.4
2026-06-26,28.2,15.3,0,13
2026-06-27,36.1,18.3,0,12.2
2026-06-28,28.3,20.7,0,25.9
2026-06-29,25,18.8,1.8,20.2
2026-06-30,24.1,13.2,0,16.6
2026-07-01,23.3,14.8,0,15.1
2026-07-02,24.7,14.5,0.3,26.6
2026-07-03,18.5,13.7,0,43.6
2026-07-04,21.7,13.8,0,32
2026-07-05,20.1,14.2,3.6,38.5
2026-07-06,19.2,10.4,4.9,27
2026-07-07,17.6,13.6,5.9,33.1
2026-07-08,20.2,11.5,0,34.2
2026-07-09,21.9,13.5,0,19.1
2026-07-10,23,14.6,0,12.6
2026-07-11,23.4,12.7,0,16.2
2026-07-12,26.2,15.5,0,16.2
2026-07-13,22,15.6,0,19.8
2026-07-14,23,15.8,0,17.3
2026-07-15,21.4,12.4,0,18.4
2026-07-16,24.4,17.2,0,18.4
2026-07-17,28.3,15.8,0.1,11.9
2026-07-18,23,16.5,0,31
2026-07-19,21.3,12.9,0,30.6
2026-07-20,16.5,12.5,1.7,19.8
2026-07-21,21.9,13.7,0,20.5
2026-07-22,19.7,12.1,2.2,28.8
2026-07-23,20.8,15,0,22
2026-07-24,21.4,13,0,20.9
2026-07-25,26.2,12.7,0,21.2
2026-07-26,21.3,16.3,4.2,19.8
2026-07-27,20.2,13.9,11.1,34.2
2026-07-28,22.6,13.1,0,27.4
2026-07-29,28.9,17.1,0,16.9
2026-07-30,36,18,0.1,33.8
2026-07-31,22.5,17.4,1.2,15.1
2026-08-01,20.6,15.1,0,18.4
2026-08-02,23,10.7,0,16.9
2026-08-03,24.8,11.7,0,22
2026-08-04,22.6,15.8,21.6,19.4
2026-08-05,30.5,16.7,0.1,20.5
2026-08-06,24.9,18.3,2.1,24.5
2026-08-07,19.5,14.7,0,25.2
2026-08-08,21.1,11.8,0,10.8
2026-08-09,29.7,12.7,0,20.5
2026-08-10,23.3,15.7,2,20.2
2026-08-11,20.5,12,0,26.6
2026-08-12,20.2,9.9,0,17.6
2026-08-13,24.7,9.9,0,16.9
2026-08-14,31,13.8,0,18
2026-08-15,30.4,18.1,0,22.3
2026-08-16,21.3,14.2,0,26.6
2026-08-17,19.5,14.5,0,23.4
2026-08-18,19.2,11.8,0,20.2
2026-08-19,20.2,13.8,4.1,25.6
2026-08-20,23.1,13.8,0,22.7
2026-08-21,24,14.1,0,21.2
2026-08-22,20.1,14.4,0.1,34.6
2026-08-23,16.9,12.6,20.7,30.2
2026-08-24,20.3,12.5,0.2,17.3
2026-08-25,21,8.7,0,22
2026-08-26,21.4,11.6,0,25.9
2026-08-27,23.1,12.6,0,23
2026-08-28,26.1,17.7,7.1,26.3
2026-08-29,22.5,16,0,26.6
2026-08-30,22.4,17.1,0.1,33.1
2026-08-31,24.8,15.5,0.7,25.6
2026-09-01,20.9,13.9,5,28.8
2026-09-02,21.2,13.1,0,22.3
2026-09-03,18.8,14.4,4.8,25.6
2026-09-04,17.8,15.7,12,34.9
2026-09-05,18.8,14,3.1,36.4
2026-09-06,18.8,12,0,27.7
2026-09-07,23.1,11.7,0,26.3
2026-09-08,23.7,15.8,0,21.6
2026-09-09,19.6,14.5,1.5,30.6
2026-09-10,17.8,10.2,0,29.9
2026-09-11,19.4,10.2,0,15.8
2026-09-12,20.2,13.2,0,16.2
2026-09-13,19.2,15.3,1.9,16.9
2026-09-14,17.9,10.7,0,20.9
2026-09-15,22.3,9.1,0,16.6
2026-09-16,19.2,13.6,18.8,21.6
2026-09-17,18.2,11.4,0,27
2026-09-18,18.7,14.1,0.1,27
2026-09-19,19.3,13.7,0,29.5
2026-09-20,18.9,12.9,4.6,32
2026-09-21,15.6,11.2,1.6,32
2026-09-22,17.9,9,0,15.5
2026-09-23,18.2,7.8,0.2,19.1
2026-09-24,15.9,11.5,1.5,21.2
2026-09-25,15.4,9.4,0,22
