date,tmax,tmin,precip,wind
2026-06-12,16.7,11.4,5.2,27.4
2026-06-13,25.6,15.1,0.3,26.3
2026-06-14,21.1,13.2,0,23
2026-06-15,21.5,11.1,0,16.2
2026-06-16,21.6,8.2,0,14.8
2026-06-17,27.5,14.3,0,16.6
2026-06-18,30.3,13.1,0,8.6
2026-06-19,33,14.5,0,24.8
2026-06-20,32.3,16.5,0,13.3
2026-06-21,33.6,16.4,1.1,18.4
2026-06-22,33,16.4,0,13.7
2026-06-23,31,16.7,2.4,11.5
2026-06-24,31.9,16.5,0,10.1
2026-06-25,32.8,17.1,0,14.4
2026-06-26,33.4,17.1,0,13.3
2026-06-27,34.4,15.8,0,11.5
2026-06-28,32.4,17.9,0,28.1
2026-06-29,28.4,16.5,0,21.6
2026-06-30,29,16.9,5.3,18.7
2026-07-01,24.1,16.5,1.1,13.7
2026-07-02,27.3,11.1,0,14
2026-07-03,25.4,15.1,0,12.2
2026-07-04,26.9,9,0,16.6
2026-07-05,25.4,13.6,1.2,17.6
2026-07-06,27.1,14.7,2.5,14.4
2026-07-07,29.5,14.8,0,25.6
2026-07-08,25.2,16.7,0,20.5
2026-07-09,27.1,13.1,0,12.6
2026-07-10,29.2,10.5,0,13
2026-07-11,29.4,12.5,0,16.9
2026-07-12,28.5,12.7,0,15.8
2026-07-13,30.2,11.6,0,17.6
2026-07-14,29.7,15.2,5.5,18.7
2026-07-15,25.6,16.2,3.8,14.8
2026-07-16,29.4,13.9,1,14.8
2026-07-17,26.5,16.1,0.3,16.9
2026-07-18,26.2,14.9,2.4,17.6
2026-07-19,22.5,11.8,2,16.9
2026-07-20,22.8,6.6,0,14
2026-07-21,22,7.4,0,15.8
2026-07-22,25,7.6,0,16.9
2026-07-23,21.9,10.8,0,18.7
2026-07-24,25.1,6,0,7.9
2026-07-25,31.7,7.5,0,14.4
2026-07-26,27.4,17.3,0,24.1
2026-07-27,24.5,14.6,3,18.4
2026-07-28,27.8,9.7,0,8.3
2026-07-29,34.7,10.4,0.6,14.4
2026-07-30,35.6,16,0,28.1
2026-07-31,34.7,13.5,0.5,16.9
2026-08-01,26.5,18.1,7.5,22
2026-08-02,29.2,15.8,0,19.1
2026-08-03,34.1,15.9,0,10.8
2026-08-04,35.1,18,10.4,21.2
2026-08-05,30.8,18.6,2.5,15.1
2026-08-06,27.9,18.8,0,12.6
2026-08-07,26.6,16.5,0.2,10.4
2026-08-08,28.6,11,0,16.6
2026-08-09,33.3,12,0,17.6
2026-08-10,33,16.9,3.6,19.8
2026-08-11,28.7,15.5,0,16.9
2026-08-12,29.6,13,0,15.1
2026-08-13,31.2,10.9,0,14.4
2026-08-14,32.5,9.8,0,11.5
2026-08-15,34.4,11.1,0,10.8
2026-08-16,29.3,20.2,0.7,12.2
2026-08-17,23.5,15.8,0,19.1
2026-08-18,23.4,15.3,4.7,16.6
2026-08-19,31.2,16.3,1.4,20.5
2026-08-20,29,16.3,18.4,17.3
2026-08-21,18.1,13.9,25.7,15.5
2026-08-22,20.5,12.3,0,21.6
2026-08-23,22.4,7.5,0,10.1
2026-08-24,23.2,9,0,20.9
2026-08-25,18.5,13.7,1.2,11.9
2026-08-26,26.8,14.2,0.1,10.8
2026-08-27,30,15.1,0,16.2
2026-08-28,23.1,16.7,9.5,22.7
2026-08-29,23.7,11.5,0,19.4
2026-08-30,26,15.1,0.1,18.4
2026-08-31,24,14.7,1.9,21.2
2026-09-01,23.7,11.6,0,11.5
2026-09-02,24.9,9.6,0,14.4
2026-09-03,25.6,12.4,0,16.2
2026-09-04,30.1,15.2,0,26.3
2026-09-05,24.7,14.2,3.5,19.4
2026-09-06,23.4,7.7,0,14
2026-09-07,28.7,9.2,1,16.9
2026-09-08,31.5,11.9,1.2,31.3
2026-09-09,20.6,10.4,15.9,20.9
2026-09-10,17.9,7,0,13.3
2026-09-11,20.6,6.9,0,8.3
2026-09-12,23.1,6.6,0,8.3
2026-09-13,23.9,10.7,5.4,16.9
2026-09-14,22.3,13.3,0,11.9
2026-09-15,25.5,10.5,0.1,7.6
2026-09-16,23.2,13.7,1.7,23.4
2026-09-17,20.4,10.3,0,14
2026-09-18,20.9,9,0,15.1
2026-09-19,22.2,7,0,13.3
2026-09-20,24.4,10.1,0.1,18.4
2026-09-21,17.2,8.4,0.3,11.5
2026-09-22,17.6,4.3,0,14
2026-09-23,19.6,2.2,0,7.9
2026-09-24,16.1,6,0,16.9
2026-09-25,19.3,0.8,0,7.9
