target,provider,lead,tmax,tmin,precip,wind
2026-06-11,arpege,1,18.2,9,5.2,
2026-06-11,arpege,2,16.7,9.7,0.8,
2026-06-11,arpege,3,16.9,9.5,2.3,
2026-06-11,ecmwf,1,15.7,8.1,5.1,15.9
2026-06-11,ecmwf,2,15.9,7.9,2.7,16.2
2026-06-11,ecmwf,3,15.5,8.3,5.1,17.6
2026-06-11,ecmwf,4,16.3,8.1,3.3,12.9
2026-06-11,ecmwf,5,15.2,8,8.1,15.5
2026-06-11,ecmwf,6,16.3,8.9,2.7,15.2
2026-06-11,ecmwf,7,17.6,10.1,0.3,16.9
2026-06-11,gem,1,17.6,8.8,2.4,16.6
2026-06-11,gem,2,15.9,9.6,2.8,16.6
2026-06-11,gem,3,17.6,10,3.7,15.1
2026-06-11,gem,4,16.1,8.4,6.2,16.9
2026-06-11,gem,5,18.5,9.3,1.8,
2026-06-11,gem,7,20.1,10.8,11,25.2
2026-06-11,gfs,1,18,8.7,1.1,18.9
2026-06-11,gfs,2,17.3,8.7,2.2,14.8
2026-06-11,gfs,3,16,7.4,2.9,16.8
2026-06-11,gfs,4,16.2,7.6,3.7,18.7
2026-06-11,gfs,5,18.6,7.7,1.9,20.5
2026-06-11,gfs,6,19.2,8.1,0.5,18.3
2026-06-11,gfs,7,24.2,9,0.4,19.7
2026-06-11,icon,1,17.5,8.6,3.1,13.3
2026-06-11,icon,2,18.5,10.1,0.2,13.2
2026-06-11,icon,3,17.6,10.6,1.2,12.5
2026-06-11,icon,4,18.2,9.2,1.4,14.6
2026-06-11,icon,5,18,9.5,2.4,13
2026-06-11,icon,6,19,10.4,2.6,15.3
2026-06-11,ukmo,1,17.1,10.2,,14
2026-06-11,ukmo,2,16.8,8.8,,
2026-06-11,ukmo,4,16.6,9.7,1.8,16.9
2026-06-11,ukmo,6,20.1,11.3,,18.4
2026-06-12,arpege,1,17,10.7,3.7,
2026-06-12,arpege,2,16.9,11.6,7.6,
2026-06-12,arpege,3,15.9,10.5,4.2,
2026-06-12,ecmwf,1,17,10.2,3.9,27
2026-06-12,ecmwf,2,17.7,10.8,9,27.1
2026-06-12,ecmwf,3,17.4,7.9,9.6,24.9
2026-06-12,ecmwf,4,16.4,10.3,6.9,22.5
2026-06-12,ecmwf,5,16.5,12,6,23.9
2026-06-12,ecmwf,6,16.4,11.8,6.6,20.9
2026-06-12,ecmwf,7,16.9,8.7,2.4,20.3
2026-06-12,gem,1,17.1,10.4,6.2,25.2
