target,provider,lead,tmax,tmin,precip,wind
2026-06-11,ecmwf,1,15.7,8.8,2.4,17.3
2026-06-11,ecmwf,2,15.4,8.6,2.4,17.7
2026-06-11,ecmwf,3,15.7,9,2.7,17.9
2026-06-11,ecmwf,4,16.3,8.9,4.5,14.2
2026-06-11,ecmwf,5,15.7,7.9,4.5,14.6
2026-06-11,ecmwf,6,16.6,9.1,3.6,15.1
2026-06-11,ecmwf,7,18.7,9.9,0.3,14.8
2026-06-11,icon,1,17.3,9.1,1.1,23.3
2026-06-11,icon,2,17.4,10.1,1.9,13.8
2026-06-11,icon,3,17.5,9.4,0.4,14.1
2026-06-11,icon,4,18.2,9.1,1.2,16.2
2026-06-11,icon,5,18.1,9,0.8,14.6
2026-06-11,icon,6,19.2,9.8,1.4,14.8
2026-06-12,ecmwf,1,18.6,11.2,6.6,22.7
2026-06-12,ecmwf,2,18.6,11.2,11.7,21
2026-06-12,ecmwf,3,18.7,9.9,10.5,22.1
2026-06-12,ecmwf,4,16.8,10.6,14.7,19.8
2026-06-12,ecmwf,5,17,11.7,5.4,22.2
2026-06-12,ecmwf,6,15.9,12.9,3.6,18.1
2026-06-12,ecmwf,7,19.4,9,0,21.2
2026-06-12,icon,1,19.2,11.3,5.3,21.3
2026-06-12,icon,2,19.4,11.3,7.3,20.5
2026-06-12,icon,3,20.2,11.6,7.6,24.9
2026-06-12,icon,4,17.9,11.3,3.6,18.4
2026-06-12,icon,5,18.1,11.2,7.6,22.4
2026-06-12,icon,6,19.4,10.2,5.4,14.3
2026-06-13,ecmwf,1,18.5,12.4,3,28
2026-06-13,ecmwf,2,16.9,12.3,3,26.2
2026-06-13,ecmwf,3,16.8,12.2,4.8,27.8
2026-06-13,ecmwf,4,17.9,12,5.7,26.8
2026-06-13,ecmwf,5,18.9,12.8,1.8,24.6
2026-06-13,ecmwf,6,21.9,12,2.4,22.4
2026-06-13,ecmwf,7,19.5,13.4,0,16.1
2026-06-13,icon,1,17.6,12.3,0.8,24.6
2026-06-13,icon,2,19.1,13,1.2,26.3
2026-06-13,icon,3,19.8,13.3,0.5,24.5
2026-06-13,icon,4,20.5,13.3,0,21.3
2026-06-13,icon,5,21.4,12.4,0,18.4
2026-06-13,icon,6,16.5,9.5,0.8,20.7
2026-06-14,ecmwf,1,17.1,11.1,2.4,25.6
2026-06-14,ecmwf,2,17.2,11.7,2.1,24.8
2026-06-14,ecmwf,3,17.6,11,1.8,22.6
2026-06-14,ecmwf,4,17.3,11.3,1.2,25.9
2026-06-14,ecmwf,5,17,10.3,1.5,26.4
2026-06-14,ecmwf,6,20.9,14.1,3.6,21.6
2026-06-14,ecmwf,7,25.1,11,3,21
2026-06-14,icon,1,17,10.2,4.1,24
2026-06-14,icon,2,18.5,10.8,1.5,23.1
2026-06-14,icon,3,18.7,11.7,2.3,22.7
2026-06-14,icon,4,18.6,11.8,0,26.3
2026-06-14,icon,5,18.4,10.9,0,25.8
2026-06-14,icon,6,24.9,11.6,0,16.9
2026-06-15,ecmwf,1,17.3,10.7,0.9,25.1
2026-06-15,ecmwf,2,17.3,11.3,0.6,24.9
2026-06-15,ecmwf,3,18.5,11,0.3,25.2
2026-06-15,ecmwf,4,17.7,9.9,0.3,21.3
2026-06-15,ecmwf,5,15.4,10.8,0.6,23.7
2026-06-15,ecmwf,6,16.6,9,0.6,20.4
2026-06-15,ecmwf,7,25.8,11.2,2.4,24.5
2026-06-15,icon,1,18.8,11,0,27.9
2026-06-15,icon,2,18.7,10.9,0,20.4
2026-06-15,icon,3,19.2,11.8,0,20.3
2026-06-15,icon,4,18.6,12.5,0,19.9
2026-06-15,icon,5,18.4,10.8,0,22.7
2026-06-15,icon,6,20.1,13.9,23.7,13.1
2026-06-16,ecmwf,1,21.1,7.7,0,12.2
2026-06-16,ecmwf,2,20.9,7.6,0,10.6
