date,tmax,tmin,precip,wind
2026-06-12,18.2,10.2,4.3,18.4
2026-06-13,21.2,14.4,0,25.9
2026-06-14,16.7,11.3,0,19.8
2026-06-15,16.2,8.1,0,16.6
2026-06-16,20.5,6.3,4.5,18.4
2026-06-17,24.5,12.6,0,13.3
2026-06-18,30.7,14.4,0,10.1
2026-06-19,34.2,15.4,0,9.4
2026-06-20,32.4,18.2,10.6,15.8
2026-06-21,31.7,17.2,0,15.1
2026-06-22,32,18.1,0,13.3
2026-06-23,30,18.1,0,12.6
2026-06-24,33.3,16.3,0,7.9
2026-06-25,34.2,18.3,0,13.7
2026-06-26,35.5,19.1,0,11.5
2026-06-27,37.8,19.7,0,11.9
2026-06-28,35.8,19.9,0,16.6
2026-06-29,26.5,19.6,3.7,13.3
2026-06-30,27.2,14.1,0,13.3
2026-07-01,26,15.9,6.1,14.4
2026-07-02,26.8,10.5,0,20.5
2026-07-03,23.6,10.8,0,18
2026-07-04,25.8,8.5,0,20.5
2026-07-05,22,16.9,0,15.8
2026-07-06,25.1,14.4,0.1,16.6
2026-07-07,29.1,15.1,0,25.2
2026-07-08,23.8,17.6,0,20.9
2026-07-09,24.1,15.8,0,15.1
2026-07-10,27.9,10.5,0,15.8
2026-07-11,28.7,12.6,0,13.7
2026-07-12,30.9,12.8,0,16.2
2026-07-13,31.1,14.3,0,16.2
2026-07-14,28.5,16.8,0,22.7
2026-07-15,28,15.4,0,19.4
2026-07-16,30.7,11.8,0,12.2
2026-07-17,26.9,16.4,2,14.4
2026-07-18,25.9,13.5,0.1,16.6
2026-07-19,20.1,13,0,16.9
2026-07-20,20.2,8.1,0,15.8
2026-07-21,24,9.4,0,16.9
2026-07-22,19.6,8.2,0.2,14
2026-07-23,21.2,12.3,0,16.6
2026-07-24,25.6,7,0,8.3
2026-07-25,30.7,8.7,0,14.8
2026-07-26,28.6,12.7,0.8,24.8
2026-07-27,23.4,15.9,0.4,18
2026-07-28,28.5,10.2,0,7.9
2026-07-29,34.6,11.9,0,12.2
2026-07-30,38,14.8,0,19.4
2026-07-31,32.9,14.4,0.6,14
2026-08-01,26.2,17,0,15.5
2026-08-02,28.8,12.6,0,14
2026-08-03,33,14.6,0.1,15.5
2026-08-04,35,19.3,1.8,14.4
2026-08-05,32.3,19.5,0.1,18.7
2026-08-06,26.6,17.7,0,21.6
2026-08-07,25.1,10.7,0,15.8
2026-08-08,29.3,9,0,13
2026-08-09,34.6,11.6,0,19.8
2026-08-10,32.6,15.5,0,22.7
2026-08-11,25.9,12.6,0,15.1
2026-08-12,28.5,8.3,0,14.8
2026-08-13,32.8,9.5,0,13.7
2026-08-14,35.5,12,0,9
2026-08-15,36.7,13.2,0,22
2026-08-16,29.4,17.1,4.9,14
2026-08-17,21.5,16,0,15.8
2026-08-18,17.9,14.2,3.9,15.1
2026-08-19,25.5,15.2,20.2,22.3
2026-08-20,24.2,14.8,0.7,16.9
2026-08-21,21.6,9.9,0,7.6
2026-08-22,20.8,11.5,4,13.3
2026-08-23,19.3,8.1,0,14.8
2026-08-24,22.4,5.2,0,15.8
2026-08-25,22.5,11.8,4.8,22.3
2026-08-26,20.7,14.6,3.5,13.7
2026-08-27,30,14.2,0,13
2026-08-28,24,16.5,8.2,22
2026-08-29,23.5,13.5,0,20.2
2026-08-30,24.1,16.2,0.1,24.8
2026-08-31,22.3,13.4,12.7,22.7
2026-09-01,22.9,13,0,13.3
2026-09-02,22.2,10.2,0,16.6
2026-09-03,19.3,8.8,3.1,17.6
2026-09-04,26.3,16.3,6,23.4
2026-09-05,21.2,12.1,0,18.7
2026-09-06,22.2,7.2,0,7.9
2026-09-07,28,10.9,0.5,16.9
2026-09-08,28.3,13.6,0,20.2
2026-09-09,23.1,12.7,0,23.4
2026-09-10,19.7,7.8,0,8.6
2026-09-11,21.2,5.3,0,14
2026-09-12,22.1,10.2,0,11.2
2026-09-13,16.6,13,14.5,11.9
2026-09-14,21.2,13.3,0,7.2
2026-09-15,26,12.6,0,12.6
2026-09-16,20,10.7,3.3,15.1
2026-09-17,18.8,8.6,0,17.3
2026-09-18,18.9,10.1,0.3,15.5
2026-09-19,21.4,7.8,0,19.8
2026-09-20,16.8,11.4,5.2,21.2
2026-09-21,18.5,9.7,0,16.9
2026-09-22,18,7.9,0,10.4
2026-09-23,19.6,4.1,0,9.7
2026-09-24,17.3,7.9,0.5,21.6
2026-09-25,19.7,2.8,0,9
