date,tmax,tmin,precip,wind
2026-06-12,17.7,10.4,0.8,18
2026-06-13,19.7,12.2,2.8,25.2
2026-06-14,17.9,11.3,5.3,33.8
2026-06-15,17.3,11.2,0,31.3
2026-06-16,20.7,6.4,2.6,18.7
2026-06-17,24.7,12,0,18
2026-06-18,29.5,16.5,0,17.3
2026-06-19,33.3,15.9,9.1,19.1
2026-06-20,32,17.3,1.1,19.8
2026-06-21,31.3,16.3,18.6,29.2
2026-06-22,27.8,16.2,0,13
2026-06-23,27.5,13.6,0,9.4
2026-06-24,31.9,13.4,0,11.9
2026-06-25,34.3,15.7,0,11.5
2026-06-26,34.6,18.9,0,8.6
2026-06-27,38.7,19.5,0,10.8
2026-06-28,39.7,22.9,0,19.1
2026-06-29,28.3,20.8,23.2,24.1
2026-06-30,23.8,19.6,0,11.9
2026-07-01,23,17.8,10.7,16.6
2026-07-02,26.5,13.6,0,27.7
2026-07-03,21.6,13.4,1.3,28.8
2026-07-04,19.9,11.1,0.2,23.8
2026-07-05,22.8,14.7,4.6,27.4
2026-07-06,19.4,15,3.9,21.6
2026-07-07,23.7,17,0.7,29.2
2026-07-08,22.3,12.9,0.1,24.5
2026-07-09,24.4,11.6,0,20.9
2026-07-10,26.9,10.2,0,18.4
2026-07-11,26.3,10.7,0,16.6
2026-07-12,28.7,13.5,0,23.4
2026-07-13,28.3,13.6,0,9.4
2026-07-14,23.6,15.8,13,17.6
2026-07-15,24.7,14.8,0,13.3
2026-07-16,28.8,12.5,0,7.6
2026-07-17,30.5,15.8,2.2,29.2
2026-07-18,26,15.6,0,24.5
2026-07-19,19.6,12.2,9.7,22.7
2026-07-20,19,12.2,5.5,25.6
2026-07-21,19.7,12.1,0.2,19.1
2026-07-22,19.6,9.8,0.8,25.2
2026-07-23,20.2,12.4,3.5,27.7
2026-07-24,22.4,10.2,1.1,18.4
2026-07-25,28.7,7.5,0,11.5
2026-07-26,28.3,11.6,0,23
2026-07-27,22.7,15.4,3.8,27.4
2026-07-28,24.2,10.7,2.1,19.4
2026-07-29,31.1,11.2,0,13
2026-07-30,36.2,14.9,0,8.3
2026-07-31,32,16.5,0.5,21.6
2026-08-01,23.5,14,16.1,16.9
2026-08-02,24,13.8,0,13
2026-08-03,31.5,14.9,0,9.7
2026-08-04,34.3,17,0,14.8
2026-08-05,31.4,18.8,0,14.4
2026-08-06,29.8,20.3,0,22
2026-08-07,24.6,12.5,0,16.9
2026-08-08,24.3,7.9,0,10.4
2026-08-09,31.9,14.3,0,15.5
2026-08-10,32.4,20.8,0,23.4
2026-08-11,23,11.4,0,20.5
2026-08-12,25.3,4.6,0,9.7
2026-08-13,28,7.4,0,14
2026-08-14,31.2,11.9,0,11.5
2026-08-15,36.5,10.3,0,11.9
2026-08-16,23.7,16.6,3.3,7.9
2026-08-17,20.4,14.1,7.2,14
2026-08-18,20.5,12.7,0.2,17.3
2026-08-19,24.7,16.3,0.1,16.6
2026-08-20,25.1,15.4,11.7,17.6
2026-08-21,26,11.8,7.5,16.2
2026-08-22,17.9,13.8,10.1,22.7
2026-08-23,19.1,10.2,0,24.1
2026-08-24,20.5,7.3,0,13
2026-08-25,24.1,9.2,0,22.7
2026-08-26,19.8,14,0,14.4
2026-08-27,26.6,13.6,0,17.3
2026-08-28,25.1,17.7,0.7,15.5
2026-08-29,24.5,15.7,2.9,25.6
2026-08-30,26,15.6,0,24.8
2026-08-31,24.3,12,0.2,24.1
2026-09-01,21.8,14.6,0,23.8
2026-09-02,22.2,11.4,1.1,14.8
2026-09-03,23.2,10.7,0,29.5
2026-09-04,26.9,16,7.3,32
2026-09-05,21.2,13.9,2.6,30.2
2026-09-06,19.8,9.7,0,19.1
2026-09-07,22.9,7.6,0,11.2
2026-09-08,30.5,12.5,0,18.4
2026-09-09,22.1,15.2,0,29.2
2026-09-10,18.2,10.5,0.1,19.4
2026-09-11,19.3,5.9,0,7.9
2026-09-12,20.9,9.6,0,14.4
2026-09-13,18.5,12.9,1,15.8
2026-09-14,20.6,10,0.2,19.1
2026-09-15,24.3,6.3,0,10.1
2026-09-16,24.1,11.5,6,17.6
2026-09-17,19.5,11.1,0,18.7
2026-09-18,19.3,11.6,0,22
2026-09-19,20.7,7.7,0,25.9
2026-09-20,19.4,12.8,4.5,24.8
2026-09-21,15.4,10.8,1,30.6
2026-09-22,18.3,7,0,22.3
2026-09-23,18.4,3.6,0,14
2026-09-24,15.3,10,5.5,24.5
2026-09-25,14.2,9.3,0.1,18
