date,tmax,tmin,precip,wind
2026-06-12,16.4,10,0.8,17.3
2026-06-13,24.6,15.6,0,19.4
2026-06-14,24,15,0,18
2026-06-15,22.2,11.3,0,14.8
2026-06-16,21.2,9.9,0,9.4
2026-06-17,27.3,15.5,0,11.9
2026-06-18,29.9,13,0,7.6
2026-06-19,31.9,14.1,0.2,15.5
2026-06-20,31.1,14.2,0,11.5
2026-06-21,32.4,16.7,0,9.4
2026-06-22,32.3,15.6,0,9
2026-06-23,31.4,16,0,7.9
2026-06-24,31.9,16.9,0,8.3
2026-06-25,33.2,15.5,0,12.2
2026-06-26,33,15.1,0,9
2026-06-27,35.2,15.5,0,9.4
2026-06-28,30.5,18.1,7.8,11.5
2026-06-29,27.3,16.5,0.8,12.6
2026-06-30,28.9,15.8,0,12.6
2026-07-01,19,14.5,17.6,10.8
2026-07-02,25.2,11.2,0,10.4
2026-07-03,23.7,14,3.3,8.6
2026-07-04,25.2,9.6,0,12.2
2026-07-05,25.3,13.6,4.1,15.5
2026-07-06,25.5,13.4,0.3,13.7
2026-07-07,28.5,14.7,0,18.4
2026-07-08,24.6,15.9,0.1,9.4
2026-07-09,26.6,12.5,0,10.1
2026-07-10,29,11.7,0,9.7
2026-07-11,29.3,12,0,9
2026-07-12,27.2,11.2,0,10.4
2026-07-13,31,11,0,10.1
2026-07-14,29.1,16.1,3.3,11.9
2026-07-15,26.9,15.2,12.5,10.8
2026-07-16,30.7,14,4.4,10.8
2026-07-17,27.3,15,0,14.8
2026-07-18,26,15.2,4.5,13.7
2026-07-19,21.8,13.5,1.1,14.4
2026-07-20,22.4,9,0,8.3
2026-07-21,20.8,8,0,9.7
2026-07-22,24.2,8.7,0,10.1
2026-07-23,22.9,11.3,0,11.9
2026-07-24,24.8,6.5,0,8.3
2026-07-25,29.1,8.9,0,13.7
2026-07-26,23.8,16.2,7.8,16.2
2026-07-27,23.7,15.5,0,16.9
2026-07-28,29,11.3,0,
2026-07-30,34.4,19.1,0,
2026-07-31,33.1,14.7,0.3,14.8
2026-08-01,28.2,15.9,1.1,11.9
2026-08-02,28.5,15.3,0,11.9
2026-08-03,34.1,16,0,13.3
2026-08-04,34.2,16.5,3.6,12.6
2026-08-05,31.6,17,0,9
2026-08-06,23.3,19,2.2,6.1
2026-08-07,24.4,15.3,0,10.8
2026-08-08,28.4,12.2,0,10.8
2026-08-09,33.2,14.2,0,13
2026-08-10,31.3,17.4,0,14
2026-08-11,29.9,15.9,0,12.2
2026-08-12,29.7,12.9,0,11.2
2026-08-13,30.5,12.1,0,9.7
2026-08-14,33.3,11.2,0,9.7
2026-08-15,33.1,13.5,0,19.8
2026-08-16,28.4,18.7,0.1,10.8
2026-08-17,20.8,14.2,25,11.9
2026-08-18,22.8,16.2,7.6,16.6
2026-08-19,29.1,15.2,0,15.1
2026-08-20,23.4,16.3,6.6,10.8
2026-08-21,18.5,12.1,31.3,15.5
2026-08-22,18,10.6,2.2,14.4
2026-08-23,21.6,6.7,0,7.9
2026-08-24,23.5,8.2,0,11.2
2026-08-25,20.3,11.9,6.6,12.2
2026-08-26,26.1,14.8,2.4,6.8
2026-08-27,30.5,13.8,0,8.6
2026-08-28,27.3,14,11.2,11.5
2026-08-29,23.2,11.3,1,10.4
2026-08-30,25.2,13.2,0,11.5
2026-08-31,21,15.4,1.2,15.1
2026-09-01,22.8,9.6,0,13
2026-09-02,24.3,9.6,0,13
2026-09-03,23.5,11.9,0,14.8
2026-09-04,28.8,12.4,0,14
2026-09-05,22,14.8,3.2,13.7
2026-09-06,23.9,8.9,0,8.3
2026-09-07,28.4,11.5,0.1,13.7
2026-09-08,30.7,14.6,2.2,13.3
2026-09-09,20.9,10.7,9.5,12.2
2026-09-10,15.1,9,0,10.4
2026-09-11,18.8,9.4,0,7.6
2026-09-12,21,7.6,0,7.9
2026-09-13,22.6,9.4,5.4,11.2
2026-09-14,21.7,12.1,3.5,9.7
2026-09-15,25.4,8.8,0,9
2026-09-16,24.7,11.9,16.2,14.8
2026-09-17,18.3,11,3.3,7.9
2026-09-18,18.5,9.1,0,10.4
2026-09-19,20.6,6.7,0,8.6
2026-09-20,22.4,9.9,0,12.6
2026-09-21,17.5,6.5,0.5,7.6
2026-09-22,17.3,2.6,0,7.6
2026-09-23,19.3,2.3,0,7.2
2026-09-24,16.7,7.4,0.3,11.9
2026-09-25,18.9,2.1,0,6.8
