date,tmax,tmin,precip,wind
2026-06-12,17.2,10.6,4.1,20.5
2026-06-13,22.8,14.4,6.7,28.1
2026-06-14,17.6,9.8,0,24.5
2026-06-15,15.6,8.3,0,18.7
2026-06-16,22.2,6.2,1.3,14
2026-06-17,26.1,11.8,0,15.5
2026-06-18,31.5,14.4,0,10.4
2026-06-19,33.7,16.4,0,9
2026-06-20,32.5,19.4,0.2,21.2
2026-06-21,33.7,17.5,0,15.5
2026-06-22,33,19,0,13.3
2026-06-23,31.7,18.6,0,13
2026-06-24,34,17.7,0,9
2026-06-25,35.4,18.4,0,13.3
2026-06-26,36.9,20.3,0,11.2
2026-06-27,38.5,20,0,12.6
2026-06-28,36.2,20.2,1.8,16.9
2026-06-29,27.8,21.9,0.1,16.6
2026-06-30,28.5,16.6,0,16.2
2026-07-01,25.1,16.6,25.4,18.4
2026-07-02,26.6,11.9,0,21.6
2026-07-03,24.1,13.4,0,15.1
2026-07-04,25.7,9.9,0,22.3
2026-07-05,24.2,17.3,1.2,24.1
2026-07-06,26.5,14.8,0.2,22
2026-07-07,29.7,15.1,0,30.6
2026-07-08,23.8,18.2,0,18.4
2026-07-09,25.1,12.7,0,11.2
2026-07-10,29.4,11.8,0,15.5
2026-07-11,29.5,14.3,0,15.5
2026-07-12,30.2,14.5,0,14.4
2026-07-13,32,17.3,0,16.6
2026-07-14,29.8,17.3,41.9,22.7
2026-07-15,26.8,14.3,0,14.4
2026-07-16,30.3,14.8,0,9
2026-07-17,25.7,17.4,5,17.3
2026-07-18,26,16.6,1.1,20.2
2026-07-19,19.8,14.2,5.9,21.6
2026-07-20,19.7,8.6,0,13.3
2026-07-21,23.5,12.4,0,9
2026-07-22,19.8,8.9,0,25.2
2026-07-23,21.1,12.9,0,17.6
2026-07-24,25.4,7.7,0,12.2
2026-07-25,30.2,9.8,0,15.8
2026-07-26,28.6,12.8,0,31.3
2026-07-27,22.2,15.6,2.2,25.6
2026-07-28,28.1,11,0,13
2026-07-29,34.4,13.4,0,12.6
2026-07-30,36.4,16.1,1.2,39.6
2026-07-31,32.4,14.7,0,15.1
2026-08-01,23.7,17.6,5.7,13
2026-08-02,27.7,13.2,0,15.1
2026-08-03,34.4,16.4,0,13.3
2026-08-04,35.7,20.9,0,14
2026-08-05,32.7,22.8,0,20.2
2026-08-06,28,18.3,0,23.4
2026-08-07,26.3,11.7,0,11.9
2026-08-08,29.3,12.6,0,10.8
2026-08-09,33.4,13.7,0,21.6
2026-08-10,33.3,14.9,0,27
2026-08-11,26.8,16.4,0,14.8
2026-08-12,29.1,11.8,0,11.2
2026-08-13,31.4,12.5,0,11.5
2026-08-14,33.8,13.6,0,12.2
2026-08-15,36.8,14.3,0,10.8
2026-08-16,31.8,19,0.4,16.9
2026-08-17,23.1,17.9,0.7,22
2026-08-18,18.3,14.1,3.4,15.8
2026-08-19,23.6,16.7,18.6,23
2026-08-20,24.2,15.7,2.8,21.6
2026-08-21,22.5,10.2,3.4,11.5
2026-08-22,19.9,13.2,6.6,17.3
2026-08-23,20.5,8.8,0.1,14
2026-08-24,21.5,6,0,11.9
2026-08-25,21.5,14.8,3.8,14
2026-08-26,23.8,14.9,0,7.2
2026-08-27,29.6,15,0,17.3
2026-08-28,23.4,17.1,8.3,24.5
2026-08-29,23.5,12.9,0,21.2
2026-08-30,24.7,17,0,30.2
2026-08-31,20.8,14.1,12.8,32
2026-09-01,22.8,12.7,0,18.4
2026-09-02,22.9,9.9,0,18
2026-09-03,22,9.6,1.8,19.1
2026-09-04,28.6,16.5,0.5,32.8
2026-09-05,21.2,14.3,0,29.2
2026-09-06,22.2,8.7,0,8.6
2026-09-07,24.4,11.2,0,13.7
2026-09-08,30,11.9,0,20.2
2026-09-09,22.3,13.7,0,25.2
2026-09-10,19.5,7.4,0,9
2026-09-11,21.9,7.2,0,14
2026-09-12,22.4,11.1,0,19.4
2026-09-13,18.2,12.7,16.4,11.2
2026-09-14,20.7,14.8,1.1,8.6
2026-09-15,25.1,13.9,0.1,13.7
2026-09-16,19.9,12.8,2.3,18.7
2026-09-17,20.1,7.8,0,24.5
2026-09-18,19.6,9.6,0.1,16.6
2026-09-19,21.9,6.5,0.1,19.8
2026-09-20,19,10.5,3.1,19.8
2026-09-21,17.6,9.3,0,19.4
2026-09-22,16.7,7,0,9.7
2026-09-23,18.6,3.7,0,8.6
2026-09-24,17,7.8,0,20.9
2026-09-25,19.6,3.1,0,13
