date,tmax,tmin,precip,wind
2026-06-12,17.7,9.6,3.3,22.7
2026-06-13,22.1,12.9,1.9,31.3
2026-06-14,17.7,11.7,0,24.1
2026-06-15,15.9,10.4,0,22.7
2026-06-16,22,6.7,2.2,25.6
2026-06-17,24.4,11.8,0,10.4
2026-06-18,29.1,14.2,0,9.4
2026-06-19,33.7,16,0,20.9
2026-06-20,32.1,20.3,3.1,14.4
2026-06-21,29.9,16.7,0,23.4
2026-06-22,29.8,16.8,0,17.3
2026-06-23,29.6,16.5,0,14.4
2026-06-24,32.4,16,0,11.5
2026-06-25,34.7,17.8,0,15.5
2026-06-26,35.5,18.3,0,17.6
2026-06-27,38.1,19.8,0,11.5
2026-06-28,38.3,21.1,0.8,17.6
2026-06-29,26.3,18.7,11.6,18.7
2026-06-30,24.7,17.6,0.7,13.3
2026-07-01,22,15.3,20.4,18.7
2026-07-02,27.6,11.9,0.8,25.2
2026-07-03,22.3,12.4,0,23
2026-07-04,23.4,10.3,0,16.6
2026-07-05,22.7,18,0,20.9
2026-07-06,23.4,15,0.6,27.4
2026-07-07,28.6,18,0.1,31.7
2026-07-08,24,16.3,0.3,21.6
2026-07-09,22.8,14.1,0,17.3
2026-07-10,27.4,11.8,0,15.1
2026-07-11,27.3,12.5,0,17.6
2026-07-12,30.5,12.2,0,16.9
2026-07-13,30.1,14.6,0,18.7
2026-07-14,27.1,16.3,10.3,20.9
2026-07-15,26.9,15.8,0,19.8
2026-07-16,30.1,12.9,0,18
2026-07-17,30.4,18.2,5.4,36.4
2026-07-18,25.2,15.6,4.8,18.4
2026-07-19,20.3,13,13,19.4
2026-07-20,19.5,9.2,0,18.4
2026-07-21,20.6,12.4,0,14
2026-07-22,20.9,9.2,0,21.2
2026-07-23,18.2,12.3,0.5,16.2
2026-07-24,25.6,7.2,0,10.4
2026-07-25,30,9.2,0,23.8
2026-07-26,29,12.8,0,31.7
2026-07-27,21.9,15.7,2.9,22.7
2026-07-28,26.4,11.5,0,13.7
2026-07-29,34,12.9,0,14
2026-07-30,37,16.5,0.5,23
2026-07-31,33.3,16.4,0.2,17.6
2026-08-01,21.5,14.5,11.3,11.9
2026-08-02,25.7,12.9,0.1,16.9
2026-08-03,33,13.2,0,22.3
2026-08-04,35.8,18.6,0,16.2
2026-08-05,32.1,22.3,0.2,20.2
2026-08-06,29,18.6,0,23.8
2026-08-07,24.7,11.9,0,18
2026-08-08,26.8,9.7,0,22.3
2026-08-09,33.8,12.2,0,23.8
2026-08-10,33.1,18.1,0,30.2
2026-08-11,24.9,15,0,15.8
2026-08-12,26,8.9,0,15.8
2026-08-13,30.3,9.6,0,16.2
2026-08-14,34,12.1,0,10.8
2026-08-15,35.8,14.3,0,20.2
2026-08-16,28.8,17.7,1.9,15.8
2026-08-17,20.7,15.5,0.7,19.1
2026-08-18,18.3,13.8,4.7,19.1
2026-08-19,22.7,15.4,7.8,27.7
2026-08-20,24.1,15.7,8.3,29.5
2026-08-21,23.5,10.9,12.4,11.2
2026-08-22,19.1,12.3,14.5,18.7
2026-08-23,19.7,9.5,0,15.1
2026-08-24,20.2,6.4,0,19.4
2026-08-25,22,10.2,2.4,21.2
2026-08-26,19.8,14.1,2.3,15.5
2026-08-27,28.7,12.7,0.1,19.1
2026-08-28,23.6,18.3,7.7,29.5
2026-08-29,23.3,14.4,0,29.2
2026-08-30,24.6,17.4,0,31.3
2026-08-31,22.9,14.2,11.7,37.8
2026-09-01,21.2,12.5,0,25.2
2026-09-02,23.1,10.4,0,26.6
2026-09-03,22.2,9.8,1.2,29.5
2026-09-04,27.1,17,3,38.9
2026-09-05,20.6,11.7,3.9,27.4
2026-09-06,20.8,9.2,0,11.5
2026-09-07,26.4,10.4,0,23.4
2026-09-08,29.1,16.9,0,26.6
2026-09-09,23.7,13.4,0,22.3
2026-09-10,19.7,8.7,0,14.4
2026-09-11,21.7,6.8,0,13.7
2026-09-12,21.1,10,0,12.2
2026-09-13,18.5,13.8,8.5,16.6
2026-09-14,21.2,13.6,0.8,13
2026-09-15,25.2,10.5,0,20.5
2026-09-16,21.3,12.1,6.2,18
2026-09-17,19.4,7.9,0,27
2026-09-18,20,10.6,0.3,22
2026-09-19,21,7.7,0,29.2
2026-09-20,18.2,11.1,5.9,20.2
2026-09-21,16.6,8.1,0,18.7
2026-09-22,15.6,7.6,0,14.4
2026-09-23,19,4,0,9.7
2026-09-24,15.6,10.4,2.3,19.4
2026-09-25,19.6,5.5,0,15.1
