date,tmax,tmin,precip,wind
2026-06-12,18.8,12.9,5,19.1
2026-06-13,28.2,17.8,0,24.5
2026-06-14,24.1,14.5,0,21.6
2026-06-15,24,9.7,0,11.5
2026-06-16,29.3,13.1,0.2,20.2
2026-06-17,30.3,15.1,0,11.5
2026-06-18,33.8,16.5,0,10.4
2026-06-19,35.6,18.9,0,18
2026-06-20,35.8,20.3,0,17.3
2026-06-21,34.7,19.7,0,11.5
2026-06-22,34.7,18.6,0,14.4
2026-06-23,34.7,19.6,0,16.6
2026-06-24,35.5,19.2,0,22
2026-06-25,37.1,18.8,0,28.1
2026-06-26,38.1,20.9,0,11.5
2026-06-27,39.8,22.8,0,9.7
2026-06-28,36.3,23.3,0,17.3
2026-06-29,28.7,20.4,19.4,20.2
2026-06-30,31,19.3,0,21.2
2026-07-01,27.5,19.5,0,19.1
2026-07-02,28.9,14,0,18.7
2026-07-03,26.7,17.2,0,21.2
2026-07-04,29.1,11,0,9
2026-07-05,28.6,15.2,0,19.4
2026-07-06,30.4,15.8,0,12.6
2026-07-07,34.2,17.9,0,26.6
2026-07-08,29.7,15.8,0,18.4
2026-07-09,29.7,15.3,0,22.7
2026-07-10,32.8,14.7,0,25.6
2026-07-11,33.6,16.4,0,25.6
2026-07-12,34.2,16.3,0,30.6
2026-07-13,34.2,15.5,0,15.5
2026-07-14,32,18.8,1,15.1
2026-07-15,29.8,19.3,0,16.6
2026-07-16,32.6,19.3,5.5,21.6
2026-07-17,28.9,18.9,0.3,19.1
2026-07-18,25.9,15.6,2.9,13.7
2026-07-19,24.5,16.6,3.3,14.4
2026-07-20,24.4,10,0,21.6
2026-07-21,24.9,9.2,0,21.6
2026-07-22,27.1,9.5,0,17.3
2026-07-23,24.8,13.2,0,17.6
2026-07-24,28.2,10.1,0,14.8
2026-07-25,32.6,12.3,0,8.6
2026-07-26,31,16.8,0,24.5
2026-07-27,26.8,17.7,0.2,18.7
2026-07-28,30.7,13.3,0,19.1
2026-07-29,37.4,16.1,0,16.9
2026-07-30,37.8,18.3,0,33.1
2026-07-31,35.1,18.4,17.7,26.6
2026-08-01,29.3,19.7,0.7,13
2026-08-02,32.9,16.7,0,22
2026-08-03,36.2,19.4,0,10.1
2026-08-04,35.9,22.4,0,17.3
2026-08-05,32.5,22.8,0,23.4
2026-08-06,29.7,18.8,0,20.9
2026-08-07,29,13,0,22
2026-08-08,32.6,13.3,0,16.2
2026-08-09,32.8,16.4,0.3,19.8
2026-08-10,33,17.8,0,18.7
2026-08-11,32,17.2,0,27
2026-08-12,34.1,14.7,0,25.9
2026-08-13,35.9,13.6,0,19.8
2026-08-14,36.9,15.1,0,14.8
2026-08-15,33.6,18.5,0,12.2
2026-08-16,32.6,19.1,0,19.4
2026-08-17,26.2,18.7,2.9,11.2
2026-08-18,28.9,19.3,0,22.7
2026-08-19,33.8,18.7,0,22.7
2026-08-20,25.6,18.1,0.2,17.6
2026-08-21,19.9,14.3,9.7,13
2026-08-22,22.9,11.4,0.1,12.6
2026-08-23,24.8,9.2,0,21.2
2026-08-24,24.3,11.4,0.4,19.8
2026-08-25,22.2,15.1,4.1,16.9
2026-08-26,27.1,15.5,0,11.2
2026-08-27,32.4,15.9,0,11.9
2026-08-28,26.7,19.6,8.9,24.5
2026-08-29,26.7,15.8,0.3,21.6
2026-08-30,27.7,18,2.4,15.1
2026-08-31,24.9,17.2,3,26.6
2026-09-01,25.2,13.4,0,11.2
2026-09-02,26.2,11.5,0,13
2026-09-03,28.9,12.4,0,16.6
2026-09-04,32.9,17.2,0,23.4
2026-09-05,27,17.4,5.7,21.2
2026-09-06,28.2,10.4,0,16.9
2026-09-07,32.9,15,0,19.1
2026-09-08,33.8,16.3,0,19.4
2026-09-09,22.3,11.6,6.7,15.8
2026-09-10,22.3,7.2,0,16.6
2026-09-11,23.9,8.3,0,9.4
2026-09-12,26.2,9.5,0,9.4
2026-09-13,25.7,12.2,0.3,13.7
2026-09-14,26.7,15.8,0.2,9.4
2026-09-15,30.4,12.4,0,8.6
2026-09-16,22.3,16.3,1.1,18.7
2026-09-17,23,10,0,13
2026-09-18,19.8,11.8,0,13
2026-09-19,25.1,9.7,0,9.7
2026-09-20,26.3,10.1,0,20.2
2026-09-21,20.5,10.6,0,19.4
2026-09-22,22.1,6.2,0,22
2026-09-23,23.7,5.5,0,9.4
2026-09-24,21.2,9.1,0,14.8
2026-09-25,23.6,5.9,0,11.2
