date,tmax,tmin,precip,wind
2026-06-12,16.2,9.9,2.7,15.1
2026-06-13,18.7,11.9,3.2,27
2026-06-14,15.1,10.1,,24.1
2026-06-15,14.1,9.4,,20.9
2026-06-16,21.5,7.5,,15.8
2026-06-17,21.9,11.5,0,11.9
2026-06-18,28.8,16.6,0,13.3
2026-06-19,31,18.5,0,13
2026-06-20,29.5,17.2,31.3,18
2026-06-21,27.7,18,0.6,23.8
2026-06-22,27.4,17.3,0,15.1
2026-06-23,27.3,16.6,0,10.4
2026-06-24,30.4,16.5,0,7.2
2026-06-25,31.6,19.1,0,12.6
2026-06-26,32.5,19.9,0,12.6
2026-06-27,35.6,23,0,10.1
2026-06-28,32,23.4,0,16.6
2026-06-29,22.3,17.2,1.9,19.4
2026-06-30,24.8,14.3,0,13
2026-07-01,23,15.9,6.8,14.8
2026-07-02,24.4,11.2,0.2,23.4
2026-07-03,19.3,10.9,0,20.9
2026-07-04,23.6,10.2,0,20.9
2026-07-05,21.2,15.1,,22.7
2026-07-06,20.8,13.5,,15.5
2026-07-07,24.2,16.3,,19.8
2026-07-08,22.2,13.1,,20.9
2026-07-09,18.1,13.4,0,14
2026-07-10,24.1,10.7,0,11.9
2026-07-11,26.6,11.9,0,15.5
2026-07-12,27.6,11.9,0,18.7
2026-07-13,28.8,13.4,0,18.4
2026-07-14,26.6,14.9,21.8,25.2
2026-07-15,25.5,13.5,0,20.5
2026-07-16,27.5,13.1,0,16.2
2026-07-17,26.3,15.6,26.1,18
2026-07-18,21.7,15,0,20.2
2026-07-19,17.3,12.4,1.5,20.9
2026-07-20,17,11.5,0.2,17.6
2026-07-21,21.3,9.5,0,18
2026-07-22,19,11,0,21.2
2026-07-23,17.6,11.6,0.6,16.6
2026-07-24,22.5,6.3,0,11.5
2026-07-25,28,11.2,0,14.4
2026-07-26,25.9,13.1,0.7,19.8
2026-07-27,22.4,14.6,11.8,18.7
2026-07-28,24.2,11.2,0,10.1
2026-07-29,31.5,15.4,0,10.1
2026-07-30,35.6,18.9,2,19.8
2026-07-31,28.3,14.1,0.1,16.2
2026-08-01,21.9,13.6,0.4,17.6
2026-08-02,25,10.6,0,15.8
2026-08-03,30.3,12.9,0.3,12.2
2026-08-04,31.6,18.8,3,17.6
2026-08-05,30.5,20.1,0,16.6
2026-08-06,24.1,16.7,0,17.6
2026-08-07,20.5,10.3,0,16.6
2026-08-08,25.2,10,0,14.8
2026-08-09,31.4,13.9,0,14.4
2026-08-10,29,17,0,27.7
2026-08-11,21.5,10.1,0,14.4
2026-08-12,25.2,8,0,13
2026-08-13,28.8,12.9,0,14.4
2026-08-14,33.1,14.8,0,10.4
2026-08-15,31.8,16.2,0,22.7
2026-08-16,25.9,15.8,0,14.8
2026-08-17,19.1,13.7,3.2,17.6
2026-08-18,16.6,13.1,11,14.8
2026-08-19,20.8,15,11.2,17.6
2026-08-20,22.7,14.4,1.1,19.1
2026-08-21,20.7,12.4,0.1,11.5
2026-08-22,19.4,12.2,4.1,19.8
2026-08-23,16.9,10.1,0,17.6
2026-08-24,19.2,6.4,0,14.8
2026-08-25,22.4,10.8,1,30.6
2026-08-26,15.9,12.9,2.3,18.4
2026-08-27,26.3,12.2,0,20.9
2026-08-28,24.2,16.4,4,18
2026-08-29,22.5,13.4,8.3,22
2026-08-30,22.5,15.4,0.4,28.4
2026-08-31,21.2,14,5.4,27
2026-09-01,20.4,13.6,0.1,17.6
2026-09-02,20.2,9.9,0,14.8
2026-09-03,21,12.7,0.7,28.1
2026-09-04,24.8,14.8,8.3,29.9
2026-09-05,19.1,11.9,0,25.9
2026-09-06,20,9,0,12.6
2026-09-07,25.6,11.9,1.3,13.3
2026-09-08,26.1,14.7,0,21.6
2026-09-09,22.2,13.3,0,26.6
2026-09-10,17.2,8.4,0.1,14.8
2026-09-11,20.2,8,0,14
2026-09-12,19.7,13.5,0,10.8
2026-09-13,16.3,12.9,7.9,13
2026-09-14,19.7,13,0.1,9.7
2026-09-15,24.7,13.7,0,16.2
2026-09-16,18.7,11.6,5.2,15.8
2026-09-17,17.8,9.7,0,19.1
2026-09-18,17.7,11.8,0.3,15.8
2026-09-19,19.9,10.2,0,20.5
2026-09-20,17.6,10.8,6.3,19.8
2026-09-21,15.9,9.4,0,24.1
2026-09-22,15.7,8.2,0,14
2026-09-23,18.2,4.4,0,10.4
2026-09-24,15.8,9.8,6,18.7
2026-09-25,17.9,4,0,13
