date,tmax,tmin,precip,wind
2026-06-12,17.3,11.8,1.8,14
2026-06-13,21.1,14.1,2.8,19.8
2026-06-14,18.3,11.7,1.5,23.4
2026-06-15,16.7,11,0,19.4
2026-06-16,23.3,9,1.9,15.1
2026-06-17,25.6,12.1,0,10.4
2026-06-18,30.4,15.9,0,9.7
2026-06-19,33.6,16.4,0,11.9
2026-06-20,30.6,18.7,3.2,16.9
2026-06-21,28.8,18.8,0,18.4
2026-06-22,29,17.6,0,9.4
2026-06-23,30.2,17.9,0,7.9
2026-06-24,32.8,15.7,0,7.2
2026-06-25,34.5,18.5,0,9.4
2026-06-26,35.4,19.2,0,7.9
2026-06-27,39.4,21.6,0,7.9
2026-06-28,38.6,23.6,0,18
2026-06-29,28.4,21.2,4.2,15.5
2026-06-30,23.6,18.5,0.6,9.7
2026-07-01,21.1,17.8,15.9,9.7
2026-07-02,27.6,13.2,0.7,16.2
2026-07-03,22.8,14.7,0,16.2
2026-07-04,21.4,12.7,0,11.5
2026-07-05,23.2,16.4,0.6,19.1
2026-07-06,21.2,16.1,1.4,13
2026-07-07,24.9,18,1.5,18.7
2026-07-08,24.9,14,0.7,18
2026-07-09,22.1,13.4,0,14.4
2026-07-10,26.9,13,0,10.4
2026-07-11,27.4,13.3,0,10.1
2026-07-12,30.9,12.9,0,14
2026-07-13,30,14.7,0,10.4
2026-07-14,26,19.3,0,14.4
2026-07-15,27.3,16,0,10.4
2026-07-16,30.7,12.5,0,7.9
2026-07-17,29.6,18.9,11,16.9
2026-07-18,25.6,17.3,0,15.8
2026-07-19,20.6,14.3,5.7,15.5
2026-07-20,19.8,12.8,0.1,15.1
2026-07-21,23.7,13.6,0,13.7
2026-07-22,20.5,11.5,0.3,15.8
2026-07-23,19.9,13.4,0.4,13.3
2026-07-24,24.2,9.1,0,10.8
2026-07-25,30.6,8.6,0,11.9
2026-07-26,29.4,15.3,0,15.8
2026-07-27,23.7,15.8,10.5,15.8
2026-07-28,25,11.5,0,12.2
2026-07-29,33.2,14.7,0,10.4
2026-07-30,37.6,17,0,16.2
2026-07-31,30.9,17.6,0,9.4
2026-08-01,21.2,15.4,6.7,15.5
2026-08-02,25,12,0,9.7
2026-08-03,32.7,14.9,0,6.8
2026-08-04,34.4,18.9,0,10.8
2026-08-05,32.6,20.9,0.8,12.6
2026-08-06,29.5,19.8,0,15.8
2026-08-07,24,12.5,0,11.5
2026-08-08,25.3,9.1,0,9
2026-08-09,33.2,11.9,0,12.2
2026-08-10,33,19.2,0,20.5
2026-08-11,23.1,14,0,12.6
2026-08-12,26.3,8.2,0,8.6
2026-08-13,29.9,9.5,0,10.4
2026-08-14,33.5,10.5,0,7.9
2026-08-15,36.2,16.1,0,13.3
2026-08-16,26.2,18.3,3,10.8
2026-08-17,20.6,16.4,3.9,13.3
2026-08-18,19.3,13.1,0.7,11.2
2026-08-19,24.2,16.3,2,12.2
2026-08-20,25.2,15.5,23.9,13
2026-08-21,25.1,13.2,2.8,8.3
2026-08-22,18.5,13.2,9.8,11.2
2026-08-23,19.9,11,0,15.5
2026-08-24,19.7,8.1,0,6.8
2026-08-25,24.1,10.8,0,14.8
2026-08-26,19.9,13.3,6.8,9.7
2026-08-27,28.3,12.9,0,11.2
2026-08-28,24.2,18.1,0.4,16.6
2026-08-29,25,16.6,0.2,16.2
2026-08-30,25.8,16.3,0,20.2
2026-08-31,24.4,13.8,5.3,18.7
2026-09-01,23,15,1.7,15.5
2026-09-02,23.5,12.2,0,8.6
2026-09-03,23.3,12.6,0.3,20.2
2026-09-04,26.8,16.6,12.2,21.2
2026-09-05,20.8,13.5,0.6,20.9
2026-09-06,20.2,10.7,0,10.8
2026-09-07,25.6,10.5,0,9.4
2026-09-08,29.8,17.6,0,11.9
2026-09-09,21.9,15.1,0,16.6
2026-09-10,18.5,10.8,0,10.4
2026-09-11,21.1,7.9,0,6.8
2026-09-12,21.2,10.5,0,9.4
2026-09-13,18.6,14.4,2.7,13.7
2026-09-14,20.6,13.3,2.2,9.4
2026-09-15,25.8,12.2,0,11.2
2026-09-16,21,13.1,4.6,10.8
2026-09-17,20.4,10.4,0,13.3
2026-09-18,20.9,12.1,0.4,14
2026-09-19,20.9,11.1,0,15.1
2026-09-20,18.6,12.3,11,13.3
2026-09-21,17.1,9.9,0.1,16.9
2026-09-22,17.1,7.6,0,11.9
2026-09-23,19.2,5.4,0,6.5
2026-09-24,15.7,11.6,3.1,17.3
2026-09-25,17.8,6.9,0,10.1
