date,tmax,tmin,precip,wind
2026-06-12,16,9.7,3.2,19.8
2026-06-13,20.6,13.4,4.6,28.1
2026-06-14,16,11.1,0,25.2
2026-06-15,15.2,9.4,0.3,23.8
2026-06-16,20.7,9,0.6,22.7
2026-06-17,23.8,14.7,0,14.4
2026-06-18,29,16.7,0,11.5
2026-06-19,32.8,16.4,0,14.8
2026-06-20,30.6,20,0.1,12.2
2026-06-21,29.7,17.7,0,15.8
2026-06-22,28.7,16.5,0,14.4
2026-06-23,28.9,16.6,0,10.1
2026-06-24,31.1,15.8,0,7.9
2026-06-25,32.9,17.4,0,9.7
2026-06-26,34.2,18,0,11.5
2026-06-27,37.9,20.6,0,12.6
2026-06-28,37.3,22.6,0,15.1
2026-06-29,26.3,19.8,11.1,12.2
2026-06-30,23.6,18.4,5.8,12.2
2026-07-01,20.1,15.8,35.4,13.7
2026-07-02,25.6,14.1,0,18.7
2026-07-03,20.2,12,0.5,19.8
2026-07-04,21,11.3,0,16.2
2026-07-05,21,15.8,1.2,24.1
2026-07-06,20.5,14.9,6.3,23.4
2026-07-07,25.8,18,0.8,20.5
2026-07-08,22.9,13.4,2.6,21.2
2026-07-09,22,12.1,0,11.5
2026-07-10,25.2,10.8,0,12.6
2026-07-11,25.2,12.1,0,13.7
2026-07-12,28.7,11.5,0,12.6
2026-07-13,27.5,13.5,0,14
2026-07-14,23.4,17,7.1,20.2
2026-07-15,24.5,15.9,0,16.2
2026-07-16,27,12.2,0,10.4
2026-07-17,27.3,17.2,11.7,18.7
2026-07-18,24.7,16.6,3.3,16.6
2026-07-19,19.5,13.3,4.2,20.9
2026-07-20,18.2,11.1,0,18.4
2026-07-21,21,12.7,0,12.2
2026-07-22,19.3,11.2,0,19.8
2026-07-23,16.9,12,0.8,18
2026-07-24,23.8,8.5,0,12.6
2026-07-25,29,9.5,0,18
2026-07-26,27.7,13.2,0.1,25.6
2026-07-27,22.1,15.8,3.4,24.5
2026-07-28,25.1,13.5,0.1,13.3
2026-07-29,32.8,12,0,9
2026-07-30,35.8,16,0,21.2
2026-07-31,31.8,17.9,0,11.9
2026-08-01,22,13.4,8.4,8.6
2026-08-02,25.5,9.6,0.1,15.8
2026-08-03,31.5,12.5,0,12.2
2026-08-04,34.3,18,0.1,13
2026-08-05,31.4,19.5,2.6,27
2026-08-06,28.8,17.5,0,18.4
2026-08-07,23.6,10.6,0,11.2
2026-08-08,26.6,8.9,0,16.2
2026-08-09,32,10.6,0,14.4
2026-08-10,31.7,19.5,0.1,25.2
2026-08-11,23.3,12.9,0,14.8
2026-08-12,25.9,7.5,0,15.1
2026-08-13,29.1,9.8,0,16.2
2026-08-14,32.6,11.1,0,9
2026-08-15,34.3,15.4,0,14.4
2026-08-16,27.2,17.4,1.3,11.9
2026-08-17,19.9,13.7,8.6,14.8
2026-08-18,17.5,13.2,4.6,18.7
2026-08-19,22.9,16.5,7.6,21.2
2026-08-20,24.8,15.1,9.7,25.6
2026-08-21,23.4,13.9,6.8,11.2
2026-08-22,17.8,11.8,7,17.6
2026-08-23,18.3,10.3,0,13.7
2026-08-24,19.7,6.6,0,17.3
2026-08-25,22.5,11,0.6,22
2026-08-26,19.9,14.3,2.9,13
2026-08-27,27.7,11.9,0,11.2
2026-08-28,24.3,18.7,2.7,30.2
2026-08-29,23.6,14.8,0.3,23.4
2026-08-30,24.9,17.8,0,27
2026-08-31,23.4,15,6,27.7
2026-09-01,22.1,13.9,0,21.2
2026-09-02,23.3,11.3,0,20.5
2026-09-03,21.7,12.7,1.2,28.8
2026-09-04,26.4,15.2,1,38.9
2026-09-05,20.4,12.5,4.5,28.4
2026-09-06,20.4,10.2,0,12.2
2026-09-07,25.4,9,0,15.8
2026-09-08,29.5,20.5,0,22.3
2026-09-09,23.5,13.7,0,19.4
2026-09-10,18.1,10.1,0,18
2026-09-11,20.3,8.1,0,11.9
2026-09-12,21,11.8,0,10.4
2026-09-13,17.3,13.3,10.9,17.6
2026-09-14,20.8,12.9,1.4,11.5
2026-09-15,24.1,11.8,0,13
2026-09-16,22.6,12.6,20.6,15.5
2026-09-17,19.1,10.3,0,22.3
2026-09-18,17.4,13.2,0,19.4
2026-09-19,20.3,11.9,0,25.9
2026-09-20,17.4,11.4,10.9,24.5
2026-09-21,15.8,8.8,0,25.2
2026-09-22,16,7.7,0,10.8
2026-09-23,17.9,3.9,0,7.9
2026-09-24,13.5,10.5,4.2,18
2026-09-25,16.9,7.4,0,13
