target,provider,lead,tmax,tmin,precip,wind
2026-06-12,arpege,1,15.4,11.6,8.4,
2026-06-12,arpege,2,14.9,11.7,8.6,
2026-06-12,arpege,3,14.5,13.2,2.8,
2026-06-12,ecmwf,1,15.8,12.6,4.5,36.4
2026-06-12,ecmwf,2,15.5,13.3,5.7,36.4
2026-06-12,ecmwf,3,15.6,12.4,8.7,36.7
2026-06-12,ecmwf,4,15.6,13.3,7.8,36.6
2026-06-12,ecmwf,5,15.5,13,6.6,41.2
2026-06-12,ecmwf,6,15.3,13.4,9.9,44.7
2026-06-12,ecmwf,7,15,13.3,8.7,42.6
2026-06-12,gem,1,14.3,12.2,5.4,40
2026-06-12,gem,2,14.5,12.7,5.6,38.5
2026-06-12,gem,3,15,12.5,5.5,41.4
2026-06-12,gem,4,14.7,12.7,6.5,45.4
2026-06-12,gem,5,14.8,11.9,15,
2026-06-12,gem,7,14.6,12.8,2.1,50.4
2026-06-12,gfs,1,14.5,12.6,3.9,40.3
2026-06-12,gfs,2,14.2,12.2,2.4,41.3
2026-06-12,gfs,3,14.4,13.1,0.4,32.7
2026-06-12,gfs,4,14.4,11.5,4.7,34.3
2026-06-12,gfs,5,14.2,12.8,1.4,40.5
2026-06-12,gfs,6,13.5,12.8,0.6,26.3
2026-06-12,gfs,7,14.3,12.1,2.5,46.6
2026-06-12,icon,1,15.7,13.1,2.8,29.8
2026-06-12,icon,2,15.7,12.4,6.5,32.7
2026-06-12,icon,3,15.4,12.6,10.5,34.9
2026-06-12,icon,4,15.8,13.6,6,38.3
2026-06-12,icon,5,14.9,13,11.9,39.7
2026-06-12,icon,6,16.4,13.6,8.6,42
2026-06-12,ukmo,1,14.8,13.3,7.3,32
2026-06-12,ukmo,2,15.6,9.8,,
2026-06-12,ukmo,4,15.6,9.4,5.4,39.6
2026-06-12,ukmo,6,15.7,10.6,,40.7
2026-06-13,arpege,1,14.6,13.2,0,
2026-06-13,arpege,2,14.5,13.3,7.7,
2026-06-13,arpege,3,14.7,13,6.2,
2026-06-13,ecmwf,1,14.3,13,5.7,43.7
2026-06-13,ecmwf,2,14.7,13.4,3.9,43.6
2026-06-13,ecmwf,3,14.6,12.1,7.2,42.7
2026-06-13,ecmwf,4,14.7,12.5,4.2,42.9
2026-06-13,ecmwf,5,15.6,13.4,3.6,39.6
2026-06-13,ecmwf,6,15.9,13.7,3.9,44.6
2026-06-13,ecmwf,7,16.6,14.2,3.9,33.1
2026-06-13,gem,1,14,12.4,6.8,48.2
2026-06-13,gem,2,14.2,12.9,0.8,47.5
2026-06-13,gem,3,14.1,12.9,0.8,40.3
2026-06-13,gem,4,14.6,13.4,0.3,36.4
2026-06-13,gem,5,15.2,13.7,1.8,
2026-06-13,gem,7,15.6,12.6,0.6,47.2
2026-06-13,gfs,1,14.5,12.8,3.2,51.9
2026-06-13,gfs,2,14.5,13.3,2.5,49.3
2026-06-13,gfs,3,14.3,13.1,1.7,46.5
2026-06-13,gfs,4,14.5,13.2,0.3,50.2
2026-06-13,gfs,5,14.7,13.5,0.3,42.1
2026-06-13,gfs,6,14,12.5,0.4,45.3
2026-06-13,gfs,7,15.2,12.7,2.9,46.1
2026-06-13,icon,1,14.8,13,3.4,36.9
2026-06-13,icon,2,14.8,13.3,3.7,37.3
2026-06-13,icon,3,14.8,12.7,3.2,35.6
2026-06-13,icon,4,15.5,13.8,0.8,36.9
2026-06-13,icon,5,16.6,14.7,0.4,38.2
2026-06-13,icon,6,15.3,13,3.8,51.3
2026-06-13,ukmo,1,15,13.1,4.3,40.3
2026-06-13,ukmo,2,14.7,11.6,,
2026-06-13,ukmo,4,15.6,12.5,3,40.3
2026-06-13,ukmo,6,14.6,11.7,,43.6
2026-06-14,arpege,1,15,12.5,0,
2026-06-14,arpege,2,15,13,2.9,
2026-06-14,arpege,3,15.4,13,2.8,
2026-06-14,ecmwf,1,14.3,12.7,4.2,44.1
