date,tmax,tmin,precip,wind
2026-06-17,16.6,10.5,0.1,31.3
2026-06-18,21.5,14.7,0,28.4
2026-06-19,25,17.1,0,23.8
2026-06-20,24.2,16.3,10.2,57.2
2026-06-21,20.3,15,0,33.5
2026-06-22,17.6,13,0,38.9
2026-06-23,19.6,12.5,0,19.8
2026-06-24,26,17.4,0,18.7
2026-06-25,19,15.4,0,37.4
2026-06-26,29,15.5,0,25.9
2026-06-27,27.5,21.2,0,19.1
2026-06-28,24.1,19,6.1,46.8
2026-06-29,21.2,16,0,32.4
2026-06-30,22.3,16.3,0,22.3
2026-07-01,21.9,16.4,0,34.6
2026-07-02,18.5,14.9,7.7,58
2026-07-03,16.7,14.6,0,63.4
2026-07-04,17,14.8,0.3,39.6
2026-07-05,17.9,13.9,1.2,44.6
2026-07-06,17.3,14.1,3.4,45.4
2026-07-07,17,13.9,3.6,51.1
2026-07-08,17.2,14,0,42.5
2026-07-09,17,14.8,0,38.5
2026-07-10,18.1,14.5,0,26.3
2026-07-11,19,15,0,27.4
2026-07-12,18.7,15.8,0,40.7
2026-07-13,24.9,15.4,0,23
2026-07-14,24.8,17.8,0,36.4
2026-07-15,24.9,17.3,0,34.9
2026-07-16,24.3,17.6,0,18.7
2026-07-17,21.9,16.6,,33.1
2026-07-18,17.3,14.9,,42.8
2026-07-19,18.1,14.2,,49
2026-07-20,19.5,15.3,0,43.6
2026-07-21,18.4,13.3,0,31.7
2026-07-22,17.3,14,0.6,55.1
2026-07-23,18,14.1,0,44.3
2026-07-24,18.3,14.4,0,29.2
2026-07-25,19.5,15.6,1.7,38.9
2026-07-26,17.2,14.5,12.9,36.7
2026-07-27,17.2,13.8,4.3,43.9
2026-07-28,20.1,14.8,0,33.8
2026-07-29,26.5,18.3,0,22
2026-07-30,25.3,17.2,0,36.4
2026-07-31,17.2,13.7,4.7,22.7
2026-08-01,19.2,14.2,3.9,25.2
2026-08-02,20.2,15.5,0,25.6
2026-08-03,24.7,14.7,0,25.2
2026-08-04,25.6,17.5,0,35.3
2026-08-05,22.5,18.5,0.2,45.7
2026-08-06,19.1,15.8,0,49.7
2026-08-07,17.7,14.9,0.5,40
2026-08-08,20.9,15.7,0,21.6
2026-08-09,22.7,16.2,0,24.8
2026-08-10,18.7,15.2,8.8,41.8
2026-08-11,17.2,13.9,0.1,45.7
2026-08-12,19.6,13,0,18.7
2026-08-13,26.1,15.3,0,19.8
2026-08-14,26,18.2,0,24.5
2026-08-15,20.2,16.1,0,36.4
2026-08-16,19.4,15.8,0.1,32
2026-08-17,18.3,15.1,0.5,38.2
2026-08-18,17.2,14.4,0,31.3
2026-08-19,19.1,14.8,4.5,31.3
2026-08-20,19.7,14.6,0.4,28.8
2026-08-21,18.4,14.2,2.5,27
2026-08-22,17.4,13.6,2.3,49.3
2026-08-23,16.4,13,1.1,46.8
2026-08-24,18.9,14.4,0,28.1
2026-08-25,23.8,13,0,22.7
2026-08-26,22.8,15.2,0,38.2
2026-08-27,22.6,15.4,0,49
2026-08-28,19.5,17.5,1.1,39.2
2026-08-29,20.4,17,3.3,43.9
2026-08-30,19.2,16.2,8.1,38.9
2026-08-31,18.8,15.6,9.4,31.3
2026-09-01,18.9,15.8,3.7,34.9
2026-09-02,20,16.7,1.2,35.3
2026-09-03,19.4,15.4,10.4,40.7
2026-09-04,17.5,15.4,16.1,55.8
2026-09-05,17.1,14.8,4.4,58
2026-09-06,19.5,14.8,0.1,47.5
2026-09-07,20.7,15.3,0,29.5
2026-09-08,18,14.2,19.4,22.7
2026-09-09,17.6,12.1,11.1,40.7
2026-09-10,16.9,13.7,0.1,42.1
2026-09-11,17.5,14.9,0.9,32
2026-09-12,19,14.9,0.4,37.1
2026-09-13,17.2,13.6,0.9,32.8
2026-09-14,18.1,14.3,0,27.4
2026-09-15,19.1,15.3,1.2,34.9
2026-09-16,17.4,13.4,1.5,37.4
2026-09-17,16.1,13.1,9.9,41.8
2026-09-18,17.3,13.6,1.4,39.6
2026-09-19,18,15.1,3.5,42.5
2026-09-20,16.7,13.2,1.4,57.6
2026-09-21,15.2,13.4,4.7,58.3
2026-09-22,16.9,11.7,0,31.7
2026-09-23,16.9,13.7,13.8,37.8
2026-09-24,14.6,12.4,0.6,63.4
2026-09-25,16.7,12.2,0,29.9
