date,tmax,tmin,precip,wind
2026-06-12,16.6,9.6,16.8,24.5
2026-06-13,17.3,11.1,0.1,28.1
2026-06-14,15.3,10.4,0,21.2
2026-06-15,14.9,6.6,0,17.6
2026-06-16,22.1,8.5,0,18
2026-06-17,22.6,12.7,0.7,15.8
2026-06-18,28.7,15.9,0,14
2026-06-19,32.1,18.4,13,19.4
2026-06-20,30.3,18.2,0.1,14
2026-06-21,28.4,17.5,2.1,13.7
2026-06-22,27.8,17.3,0,10.4
2026-06-23,26.7,16.2,0,10.8
2026-06-24,32.7,16.6,0,7.6
2026-06-25,31.8,19.4,0,8.6
2026-06-26,35,22.4,0,14.4
2026-06-27,35.7,24.3,0,12.2
2026-06-28,31.1,21.2,0,21.6
2026-06-29,25.6,18.9,0,11.9
2026-06-30,24.7,14.1,0,7.2
2026-07-01,23.3,14.2,0,16.6
2026-07-02,23.8,12.9,1.2,26.6
2026-07-03,21,9.4,0,16.9
2026-07-04,24,9.1,0,27
2026-07-05,20.7,16.2,0.2,21.2
2026-07-06,25.7,14.2,0,27.4
2026-07-07,26.6,16,0,32
2026-07-08,19.2,15.2,0,16.2
2026-07-09,19.7,14.5,0,8.3
2026-07-10,25.6,12.5,0,10.4
2026-07-11,28,14.4,0,12.6
2026-07-12,28.5,14.8,0,13.7
2026-07-13,29.5,14.7,0,10.4
2026-07-14,27.8,17.3,0.1,13
2026-07-15,26,15,0,16.2
2026-07-16,25.1,14.8,7,15.8
2026-07-17,25.9,14.5,0,19.4
2026-07-18,20.2,15.1,0,18.7
2026-07-19,18.9,9.9,0,20.5
2026-07-20,17.1,9.4,0.3,12.6
2026-07-21,21.1,9.1,0,10.8
2026-07-22,18.2,9.7,0.1,19.8
2026-07-23,19.9,12.5,0,15.1
2026-07-24,22.4,9.6,0,9
2026-07-25,26.5,11,0,14.8
2026-07-26,21.4,15.6,5.6,29.9
2026-07-27,20.6,14.6,5.1,23.4
2026-07-28,25.5,10.2,0,11.5
2026-07-29,32.2,16.9,0,14.4
2026-07-30,33.3,17,0.6,32
2026-07-31,26.5,14.6,0,13
2026-08-01,23,13.7,0,10.1
2026-08-02,26.6,11.5,0,13
2026-08-03,32.7,18.6,1.4,23.8
2026-08-04,29.7,17.9,4.5,13.7
2026-08-05,27.5,18.1,0,20.9
2026-08-06,21.5,14.4,0,19.1
2026-08-07,20.6,9.7,0,9.4
2026-08-08,27.1,9.1,0,9.7
2026-08-09,29.9,14.4,0,22.3
2026-08-10,27.8,17.8,0,22.3
2026-08-11,23,10.1,0,11.2
2026-08-12,29.1,10.3,0,10.4
2026-08-13,32.9,14.6,0,13.3
2026-08-14,34.1,18.1,0,15.1
2026-08-15,28.5,17.5,0.2,11.9
2026-08-16,25,16.4,0,10.1
2026-08-17,16.8,13.6,6.9,14
2026-08-18,16.8,13.3,9.4,21.2
2026-08-19,18.8,14.5,18.9,22.7
2026-08-20,21.2,13.9,0.8,24.1
2026-08-21,19.2,12.3,7.2,16.2
2026-08-22,17,12.1,22,15.1
2026-08-23,17.1,7.9,0,12.6
2026-08-24,20.4,6.4,0,10.1
2026-08-25,21.8,9.3,0.2,16.2
2026-08-26,22.9,13.3,0,11.5
2026-08-27,27.8,15,0,18.4
2026-08-28,24.9,14.9,7.3,22.7
2026-08-29,20.9,13.4,,22.7
2026-08-30,20.3,15.2,,26.3
2026-08-31,19.1,13.8,,26.3
2026-09-01,18.4,13.1,0.1,18.7
2026-09-02,19.3,11.2,0,17.6
2026-09-03,18.9,14.2,8.4,25.2
2026-09-04,23.1,14.6,14.1,32
2026-09-05,18,11.6,0,27.7
2026-09-06,20.8,7.5,0,10.8
2026-09-07,27.4,14.5,0.3,19.8
2026-09-08,24.6,15.9,2.5,18.4
2026-09-09,16.6,11.3,0.1,31.7
2026-09-10,17.1,10,0.9,10.8
2026-09-11,18.2,7.4,0.1,18.7
2026-09-12,19.1,13.5,0,14.4
2026-09-13,16.1,13.7,16,15.5
2026-09-14,21.2,13.4,0,13.7
2026-09-15,25,14.6,0,18.7
2026-09-16,18.6,10.2,2.1,21.2
2026-09-17,16.5,9.9,0,22.3
2026-09-18,16.4,11.9,0.4,21.2
2026-09-19,20.8,12.2,0,22.7
2026-09-20,16.2,8.7,9,25.6
2026-09-21,16.1,8.1,0,18.7
2026-09-22,17.3,9,0,7.6
2026-09-23,18,6.3,0,12.2
2026-09-24,15.6,8.6,0.1,16.2
2026-09-25,19,4,0,13
