target,provider,lead,tmax,tmin,precip,wind
2026-09-11,arpege,1,21.9,7.6,0,16.9
2026-09-11,arpege,2,22.5,11.5,0,15
2026-09-11,arpege,3,23,11.6,0,13.8
2026-09-11,ecmwf,1,22.3,9.6,0.3,13.3
2026-09-11,ecmwf,2,22.2,10,0,11.5
2026-09-11,ecmwf,3,22.5,10.1,0,9.1
2026-09-11,ecmwf,4,22.3,9.3,0,8.9
2026-09-11,ecmwf,5,20.2,9.6,0,10.9
2026-09-11,ecmwf,6,21.1,12.3,0.9,21.2
2026-09-11,ecmwf,7,20,11.8,0.9,12.6
2026-09-11,gem,1,21.1,4.8,0,11.2
2026-09-11,gem,2,22.2,4.8,0,10.4
2026-09-11,gem,3,22.1,4.3,0,9.4
2026-09-11,gem,4,18.6,5.2,0,9.7
2026-09-11,gem,5,20.5,10.8,0,10.1
2026-09-11,gem,6,20.8,8.9,0.4,18
2026-09-11,gem,7,17.4,9.1,0,23
2026-09-11,gfs,1,21.9,9.6,0,19.8
2026-09-11,gfs,2,22.9,10,0,22.1
2026-09-11,gfs,3,22.4,10.3,0,18.9
2026-09-11,gfs,4,22.2,11.1,0,10
2026-09-11,gfs,5,21.9,11.2,0,18.7
2026-09-11,gfs,6,21.5,11.9,0,19.5
2026-09-11,gfs,7,20,13.6,5.2,29.4
2026-09-11,icon,1,21.5,9.7,0,15.7
2026-09-11,icon,2,21.4,9.1,0,11.1
2026-09-11,icon,3,22,9.1,0,11.5
2026-09-11,icon,4,21.2,10.1,0,9.4
2026-09-11,icon,5,21.3,10.8,0,9.4
2026-09-11,icon,6,19.9,11.2,3.9,16.1
2026-09-11,ukmo,1,20.2,13.8,0,13.7
2026-09-11,ukmo,2,19.8,11,0,10.8
2026-09-11,ukmo,3,19.6,11.7,0,7.9
2026-09-11,ukmo,4,18.6,13.7,0,6.5
2026-09-11,ukmo,5,19.5,13.8,0,8.6
2026-09-11,ukmo,6,18.5,11.7,2.7,18
2026-09-12,arpege,1,21.6,14.5,1.4,12.7
2026-09-12,arpege,2,21.6,14.8,0,15
2026-09-12,arpege,3,21.8,14.7,0,12.6
2026-09-12,ecmwf,1,22.4,12.6,0.3,14.9
2026-09-12,ecmwf,2,21.9,13.7,0.3,15.5
2026-09-12,ecmwf,3,22.4,12.9,0.3,15.1
2026-09-12,ecmwf,4,22.8,10.8,0.9,15.4
2026-09-12,ecmwf,5,22,11.2,0,10.1
2026-09-12,ecmwf,6,20.9,13.1,4.5,8.3
2026-09-12,ecmwf,7,20.3,12.1,2.1,18.4
2026-09-12,gem,1,22.1,11.2,0.5,16.2
2026-09-12,gem,2,20.8,10.6,0.4,15.1
2026-09-12,gem,3,21.8,8.5,0,17.3
2026-09-12,gem,4,22.9,7.2,0,10.4
2026-09-12,gem,5,19.7,8.1,0,9.7
2026-09-12,gem,6,21.4,12.1,0,10.1
2026-09-12,gem,7,21.7,11.9,0.6,14.4
2026-09-12,gfs,1,21.5,13.6,0.1,15.8
2026-09-12,gfs,2,18.8,12.2,0,19.6
2026-09-12,gfs,3,21.8,11.8,0.1,20.4
2026-09-12,gfs,4,20.9,12.9,0,17.2
2026-09-12,gfs,5,24.1,12.2,0,10.6
2026-09-12,gfs,6,21.9,12.2,0,13.7
2026-09-12,gfs,7,20,11.8,0.1,27.7
2026-09-12,icon,1,21.9,14.2,0.2,12.4
2026-09-12,icon,2,21.2,13.4,0,13.4
2026-09-12,icon,3,22.2,13.4,0,10.5
2026-09-12,icon,4,22.2,13.9,0,8.5
2026-09-12,icon,5,20.7,11.9,0,12.5
2026-09-12,icon,6,21.9,13.1,1.2,15.9
2026-09-12,ukmo,1,21.4,14.7,0.3,14.8
2026-09-12,ukmo,2,21.9,13.2,0,15.5
2026-09-12,ukmo,3,22.9,12.7,0,14.8
2026-09-12,ukmo,4,22,12.7,0,11.2
