date,tmax,tmin,precip,wind
2026-06-12,18.9,12.2,15.2,18.4
2026-06-13,26.5,14.9,0,23.8
2026-06-14,21.1,11.2,0,18.7
2026-06-15,22.2,8.7,0,10.8
2026-06-16,24.7,13.3,0,18.7
2026-06-17,29.3,14,0,9.7
2026-06-18,33.1,15.2,0,8.6
2026-06-19,36.3,18.2,0,13.3
2026-06-20,34.1,20.2,21.1,21.2
2026-06-21,35,19.9,0.4,12.6
2026-06-22,34.7,20.3,0,13
2026-06-23,33.4,21.1,0,14
2026-06-24,35.2,19.7,0,10.1
2026-06-25,36.6,21,0,12.2
2026-06-26,38.4,22.6,0,13.3
2026-06-27,39.7,21.7,0,13.3
2026-06-28,37.2,22.9,0,12.6
2026-06-29,29.7,21.1,4.2,19.4
2026-06-30,30.2,19.6,4.4,11.5
2026-07-01,27.8,17.8,2.3,15.5
2026-07-02,29.1,13.9,0,17.6
2026-07-03,26.3,14.8,0,15.1
2026-07-04,29.1,11.9,0,16.2
2026-07-05,27.1,16.8,0,15.8
2026-07-06,30.3,14.1,0,18.4
2026-07-07,31.6,17.9,0,23
2026-07-08,26.8,20.6,0,18.7
2026-07-09,28.7,14.9,0,11.9
2026-07-10,31.9,15.9,0,17.3
2026-07-11,32.8,17.5,0,15.1
2026-07-12,32.6,15.8,0,14.4
2026-07-13,33.8,19.9,0,13
2026-07-14,33,22,1.1,15.5
2026-07-15,30.7,20.1,0.4,13
2026-07-16,32,16.3,1.2,13
2026-07-17,28.6,17,25.6,15.1
2026-07-18,27.6,16.9,0,16.2
2026-07-19,23.4,14.3,0.6,15.1
2026-07-20,22,11,0,15.5
2026-07-21,24.6,10.6,0,11.9
2026-07-22,23.9,9.5,0,18.7
2026-07-23,23.6,10.5,0,15.8
2026-07-24,27.5,9.1,0,7.6
2026-07-25,32.2,10.6,0,11.2
2026-07-26,30.3,13.1,0,25.6
2026-07-27,26.2,17.8,0,19.8
2026-07-28,30.4,10.9,0,10.1
2026-07-29,36.8,15.6,0,11.9
2026-07-30,37.9,17.2,0.2,28.1
2026-07-31,33.3,16.9,0,14.8
2026-08-01,27.9,19.2,0.1,18
2026-08-02,32.3,15.9,0,11.5
2026-08-03,36.7,19.2,0,15.8
2026-08-04,36.8,20.9,2.1,11.5
2026-08-05,33.2,24.1,0,16.6
2026-08-06,29.4,17.2,0,18.4
2026-08-07,28.4,14.1,0,15.8
2026-08-08,32.6,14,0,9.7
2026-08-09,35.2,15.9,0,20.9
2026-08-10,35.6,15.3,0,19.8
2026-08-11,29.9,18.8,0,16.6
2026-08-12,32.9,16.1,0,14.4
2026-08-15,37,14.9,0,15.1
2026-08-16,32.6,20.7,0.4,14.4
2026-08-17,25.4,18.3,0,15.1
2026-08-18,23.4,17.7,3.1,19.1
2026-08-19,29.3,18.7,1.9,17.6
2026-08-20,26.6,18.2,6.7,16.9
2026-08-21,21.9,14.7,2.3,13.3
2026-08-22,22.1,13.4,8,13
2026-08-23,22.7,9.5,0,14
2026-08-24,24.7,9.9,0.7,12.2
2026-08-25,18.3,15.6,2.7,11.5
2026-08-26,27.9,12.8,0,7.2
2026-08-27,33.5,17.2,0,13.7
2026-08-28,28.1,19.4,6.3,22
2026-08-29,25.6,15,0,20.2
2026-08-30,27.4,18.9,0,20.9
2026-08-31,25.3,17.3,5.3,26.3
2026-09-01,24.9,14.3,0,11.2
2026-09-02,26.3,11.3,0,16.9
2026-09-03,27,12.7,0,18.4
2026-09-04,32,19.9,0,26.6
2026-09-05,26.5,16.7,0.6,20.2
2026-09-06,27.3,9.6,0,8.3
2026-09-07,31.6,17.5,0.2,18
2026-09-08,32.5,18,0,19.4
2026-09-09,25.3,16.2,0,24.1
2026-09-10,22.7,8.1,0,10.8
2026-09-11,25,9.3,0,11.9
2026-09-12,26.3,15.6,0,10.8
2026-09-13,24.3,14.1,1.5,16.2
2026-09-14,25.7,15.7,0.2,8.6
2026-09-15,29.3,12.4,0,10.1
2026-09-16,22.7,14.1,1.5,18
2026-09-17,23,11.7,0,19.1
2026-09-18,22.4,12.8,0,16.9
2026-09-19,25,11.8,0,16.2
2026-09-20,23.3,12.1,2.4,23.8
2026-09-21,20,8.8,0,13.7
2026-09-22,20.1,8.4,0,12.6
2026-09-23,22,6.6,0,10.1
2026-09-24,19.4,9.2,0,19.8
2026-09-25,22.3,4.9,0,10.1
