date,tmax,tmin,precip,wind
2026-06-12,18,7.4,2,18
2026-06-13,21,13,3.9,26.3
2026-06-14,17.4,11.7,2.1,30.2
2026-06-17,25.4,7.5,0,12.2
2026-06-18,28.3,17.4,0,20.9
2026-06-19,33.8,16.6,7.8,17.3
2026-06-20,30.3,17.1,1.6,11.5
2026-06-21,30.5,18,0.4,15.8
2026-06-22,26.5,16.9,0,10.4
2026-06-23,27.9,11.7,0,9
2026-06-24,31.7,11.4,0,
2026-06-25,34,17,0,11.5
2026-06-26,33.4,14.6,0,9.4
2026-06-27,38.4,17.6,0,11.5
2026-06-28,39.6,22.1,6.4,16.9
2026-07-01,24,17.6,0.1,9.7
2026-07-02,27.4,13.1,0,19.8
2026-07-03,22.2,14.8,0,29.2
2026-07-04,21.5,12.4,0,25.2
2026-07-05,24,14.8,1,22
2026-07-06,19.4,11.4,2,21.2
2026-07-07,22.6,16.3,2,28.8
2026-07-10,27.3,11.5,0,14
2026-07-11,27.4,12.7,0,13.7
2026-07-12,30.1,16,0,17.6
2026-07-13,27.9,16.5,0,12.2
2026-07-14,25.4,17.1,0,15.1
2026-07-15,24.4,16.8,0,12.2
2026-07-16,29.9,15.2,0,13
2026-07-17,29.5,17.5,1.3,11.2
2026-07-18,24.9,15.9,5.6,22.7
2026-07-21,24.5,13.3,0,14.8
2026-07-22,19.4,9.6,3.5,23
2026-07-23,21.5,14.3,4.9,
2026-07-24,23.5,11.2,0,16.2
2026-07-25,29.3,10.3,0,16.2
2026-07-26,27.7,13.6,0.2,16.9
2026-07-27,22.7,16.7,9.5,25.2
2026-07-28,23.9,12,0,21.2
2026-07-29,30.3,13.6,0,17.6
2026-07-30,37.3,15.6,0,12.6
2026-07-31,30.6,18.6,0,13
2026-08-01,22.1,14.9,18.7,10.4
2026-08-02,24.2,11.8,0,9.7
2026-08-03,29.2,13.2,0,14.4
2026-08-04,28.3,18.3,1.2,18.4
2026-08-05,31.6,19.5,1.5,15.5
2026-08-06,28.8,19.1,0.2,21.2
2026-08-07,23,13.2,0,13.7
2026-08-08,24.3,11,0,7.2
2026-08-09,31.7,10.8,0,18.7
2026-08-10,31.4,16.8,0.3,18.4
2026-08-11,23.8,12.7,0,16.9
2026-08-12,24.6,7.9,0,7.9
2026-08-13,27.4,10.7,0,11.5
2026-08-14,31.3,12.1,0,16.9
2026-08-15,36,14.2,0,14
2026-08-16,23.1,15.6,3.6,6.8
2026-08-17,21.5,13.4,1.4,16.2
2026-08-18,22.3,13.6,1.1,20.2
2026-08-19,21.4,14.8,1.5,17.6
2026-08-20,24.1,16.4,3.2,18.4
2026-08-21,26.5,12.7,1.8,14.4
2026-08-22,21.6,15.1,7.4,25.6
2026-08-23,19.4,12.3,0.1,23.8
2026-08-24,21.4,11.6,0,13.7
2026-08-25,24.1,11.1,0,20.2
2026-08-26,25,12.2,0,20.9
2026-08-27,27.6,11.8,0,29.2
2026-08-28,24,16.1,1.4,25.2
2026-08-29,26.3,17.9,0.2,24.5
2026-08-30,27.6,18,0,28.8
2026-08-31,25.6,13.6,0.4,22
2026-09-01,24.4,15.1,0.7,25.9
2026-09-02,22.8,11.3,0,14.4
2026-09-03,23.7,12.5,1,24.1
2026-09-04,26.4,16.8,7.9,38.2
2026-09-05,20.3,13.7,11,29.2
2026-09-06,20.4,11.7,0,23
2026-09-07,20.1,10,1.4,15.1
2026-09-08,28.6,13.1,0,16.2
2026-09-09,21.8,16.5,0,25.2
2026-09-10,18.8,11.5,0,20.2
2026-09-11,20.7,9.8,0,7.9
2026-09-12,22.7,12.6,0,11.2
2026-09-13,20.5,14.6,0.7,16.6
2026-09-14,18.4,10.2,1.5,10.4
2026-09-15,25.1,7.6,0,12.2
2026-09-16,20.4,14.7,6.3,12.6
2026-09-17,19,10.7,0,19.1
2026-09-18,21.2,11.4,0,21.2
2026-09-19,21.6,10,0,24.5
2026-09-20,21.7,12.9,8.5,28.8
2026-09-21,17.9,11.2,0,27.4
2026-09-22,18.9,8.4,0,11.5
2026-09-23,19.7,5.5,0,8.3
2026-09-24,17,11.3,6.5,16.9
2026-09-25,14.2,11.1,1.2,16.9
