target,provider,lead,tmax,tmin,precip,wind
2026-06-12,arpege,1,13.1,7.3,1.1,
2026-06-12,arpege,2,11.5,8.5,5,
2026-06-12,arpege,3,12.8,7.1,6.3,
2026-06-12,ecmwf,1,13.7,6.9,6,16.5
2026-06-12,ecmwf,2,12.5,7,3.6,22.3
2026-06-12,ecmwf,3,12.7,6.5,7.2,19.1
2026-06-12,ecmwf,4,12.4,7.1,7.5,20
2026-06-12,ecmwf,5,16.4,8.7,0.9,16.9
2026-06-12,ecmwf,6,17.5,9.3,0,15.6
2026-06-12,ecmwf,7,18.4,6.7,0,13
2026-06-12,gem,1,12.9,7.5,7.1,15.5
2026-06-12,gem,2,13.5,6.8,5.8,16.6
2026-06-12,gem,3,11.8,6.1,5.3,16.2
2026-06-12,gem,4,12.8,6.9,4.3,11.5
2026-06-12,gem,5,13.1,5.8,1.9,
2026-06-12,gem,7,16.9,5.5,0,16.2
2026-06-12,gfs,1,11.4,5.5,3.4,17.5
2026-06-12,gfs,2,13.5,5.8,2.2,19.2
2026-06-12,gfs,3,13.2,4.5,3.9,14.1
2026-06-12,gfs,4,12.8,8.1,4.3,18
2026-06-12,gfs,5,13.4,4.9,1,19
2026-06-12,gfs,6,16.8,6.5,0.6,19
2026-06-12,gfs,7,15.6,6.3,2,16.8
2026-06-12,icon,1,12.7,7,1.3,16.9
2026-06-12,icon,2,13,8,4.3,11.4
2026-06-12,icon,3,13.6,6.5,6.1,15.1
2026-06-12,icon,4,12.9,6,8.6,13.4
2026-06-12,icon,5,13.9,9.7,5.8,18.3
2026-06-12,icon,6,19.1,8.1,1.5,12.8
2026-06-12,ukmo,1,14.9,6.8,,16.6
2026-06-12,ukmo,2,16.1,8.2,,
2026-06-12,ukmo,4,14.3,6.9,6.1,19.8
2026-06-12,ukmo,6,20.3,10.3,,21.6
2026-06-13,arpege,1,17.2,10.8,7.3,
2026-06-13,arpege,2,17.3,10.3,2.4,
2026-06-13,arpege,3,17.3,10.2,3.4,
2026-06-13,ecmwf,1,15.7,11,9.6,24.2
2026-06-13,ecmwf,2,16.9,10.6,13.8,24.3
2026-06-13,ecmwf,3,17.1,9.2,11.1,24.7
2026-06-13,ecmwf,4,18.1,10,4.2,27.7
2026-06-13,ecmwf,5,15.3,8.9,7.5,21.4
2026-06-13,ecmwf,6,18.3,9.6,9,24.7
2026-06-13,ecmwf,7,17.9,11,2.7,16.6
2026-06-13,gem,1,15.6,10.4,5.4,20.2
2026-06-13,gem,2,15.5,10.1,6.8,24.1
2026-06-13,gem,3,12.3,9.6,13,22.3
2026-06-13,gem,4,13.8,9.6,6.9,18.7
2026-06-13,gem,5,17.5,6.6,5.2,
2026-06-13,gem,7,16,9.4,0,17.3
2026-06-13,gfs,1,17.7,10,6.9,26.5
2026-06-13,gfs,2,17.9,11.1,5.8,26.2
2026-06-13,gfs,3,18.8,9.4,5.3,27.4
2026-06-13,gfs,4,17.7,7.6,2.6,23
2026-06-13,gfs,5,16,7.2,0.6,20.6
2026-06-13,gfs,6,13.2,5.4,3.7,17
2026-06-13,gfs,7,10.2,4.1,3.4,13.7
2026-06-13,icon,1,16.5,10.7,5.9,22.7
2026-06-13,icon,2,18.2,12.1,13.1,20.6
2026-06-13,icon,3,18.1,11.8,4,18
2026-06-13,icon,4,17.5,9.9,2.1,22.2
2026-06-13,icon,5,14.8,9.1,0.2,15.2
2026-06-13,icon,6,13.2,8,6.1,18.7
2026-06-13,ukmo,1,18.7,11.2,,23.8
2026-06-13,ukmo,2,18.8,11.8,,
2026-06-13,ukmo,4,19.2,11.1,2.5,25.9
2026-06-13,ukmo,6,18.8,11.2,,23.4
2026-06-14,arpege,1,14.3,7.9,2.2,
2026-06-14,arpege,2,14.3,8,1.8,
2026-06-14,arpege,3,12.7,8.7,4.9,
2026-06-14,ecmwf,1,13.8,7.9,3.3,28.9
2026-06-14,ecmwf,2,13.8,7.9,3.9,28.8
2026-06-14,ecmwf,3,13.6,7.1,3.3,28.9
2026-06-14,ecmwf,4,13.2,7.3,3.9,23.5
2026-06-14,ecmwf,5,14.7,6.8,4.2,27.7
2026-06-14,ecmwf,6,16.7,12.3,0.6,22.8
2026-06-14,ecmwf,7,20.5,8.3,0.9,19.8
2026-06-14,gem,1,14.4,7,2.1,24.1
2026-06-14,gem,2,14.6,7.2,1.9,22.3
2026-06-14,gem,3,13.5,8.5,5.5,22
2026-06-14,gem,4,13.3,8.3,3.4,22.3
2026-06-14,gem,5,17.6,6.9,4.5,
2026-06-14,gem,7,16.3,7.6,8.5,20.2
2026-06-14,gfs,1,14,6.8,3.1,29.7
2026-06-14,gfs,2,15.2,7.4,1.8,27
2026-06-14,gfs,3,14,7.2,2.5,26
2026-06-14,gfs,4,16.7,7.5,2.2,25.6
2026-06-14,gfs,5,16,8.8,0.4,22.2
2026-06-14,gfs,6,18.6,6.9,0,18.5
2026-06-14,gfs,7,13.1,7.1,3.5,26.1
2026-06-14,icon,1,12.8,6.8,1.1,27
2026-06-14,icon,2,14.3,8.3,1.1,23.1
2026-06-14,icon,3,14.7,8.1,0.7,21.3
2026-06-14,icon,4,15.5,10.6,0.4,21.8
2026-06-14,icon,5,13.9,8.6,0,18.2
2026-06-14,icon,6,18.5,9.4,0,13.4
2026-06-14,ukmo,1,13.9,8.3,,26.6
2026-06-14,ukmo,2,14.6,9.1,,
2026-06-14,ukmo,4,14.6,9.2,1.5,25.6
2026-06-14,ukmo,6,14.7,9.4,,22.7
2026-06-15,arpege,1,14.2,8.3,0,
2026-06-15,arpege,2,15.3,8.6,0.1,
2026-06-15,arpege,3,14.7,7.9,0.2,
2026-06-15,ecmwf,1,13.5,7.2,2.4,24.9
2026-06-15,ecmwf,2,13.1,7.3,1.8,24.6
2026-06-15,ecmwf,3,13.4,7.8,1.2,25.3
2026-06-15,ecmwf,4,12.8,7.7,1.2,21.6
2026-06-15,ecmwf,5,12.3,7.4,6,22.5
2026-06-15,ecmwf,6,12.5,8.6,2.1,18
2026-06-15,ecmwf,7,24.4,12,0.3,21.9
2026-06-15,gem,1,15,8.3,1.1,20.2
2026-06-15,gem,2,15.7,8.6,1.5,18
2026-06-15,gem,3,15.4,7.4,1.4,16.2
2026-06-15,gem,4,12.6,6.9,4.9,16.2
2026-06-15,gem,5,14,7.1,14.7,
2026-06-15,gem,7,19,9.7,0,16.2
2026-06-15,gfs,1,12.6,6.2,0.5,25.1
2026-06-15,gfs,2,13.5,7,1.2,24.8
2026-06-15,gfs,3,13.5,6.1,0.9,22.4
2026-06-15,gfs,4,13.5,7.2,0.6,22.1
2026-06-15,gfs,5,14.2,6.2,2.5,21
2026-06-15,gfs,6,20.8,9.1,0.3,14.3
2026-06-15,gfs,7,22.9,5.9,0,19.2
2026-06-15,icon,1,13.7,7.7,0,24.3
2026-06-15,icon,2,13.7,8.2,0,20.2
2026-06-15,icon,3,14.6,8.3,1.2,16.8
2026-06-15,icon,4,15.4,8.6,0,17
2026-06-15,icon,5,12.9,8.1,0.9,17.7
2026-06-15,icon,6,19.1,9.7,0,15.4
2026-06-15,ukmo,1,15.5,7.1,0.3,23
2026-06-15,ukmo,2,15.5,7.4,0.4,21.2
2026-06-15,ukmo,3,15.1,7.3,0.9,22
2026-06-15,ukmo,4,14.7,7,2.3,24.1
2026-06-15,ukmo,5,13.3,7.4,2.2,20.9
2026-06-15,ukmo,6,14.9,7.6,0.1,18.7
2026-06-16,arpege,1,18.5,6.8,3.9,
2026-06-16,arpege,2,19.7,9.3,3.4,
2026-06-16,arpege,3,17.9,10,0.3,
2026-06-16,ecmwf,1,18.6,7.7,3.3,17.6
