date,tmax,tmin,precip,wind
2026-06-12,13.3,7.1,2.6,14.8
2026-06-13,17.7,11,4.6,19.4
2026-06-14,13.2,8.8,0.8,23.4
2026-06-15,12.5,8.4,0.1,21.6
2026-06-16,19.4,6.8,0.3,16.9
2026-06-17,21.5,13.6,0.3,14.4
2026-06-18,26.3,14.4,0,12.2
2026-06-19,29.3,17.5,0,11.9
2026-06-20,27.9,17.7,0,13.7
2026-06-21,27.6,17.8,0,14
2026-06-22,25.7,15.1,0,10.8
2026-06-23,25.7,15.6,0,10.1
2026-06-24,28.1,15,0,7.2
2026-06-25,29.5,16,0,8.3
2026-06-26,31.6,16.9,0,7.9
2026-06-27,34.3,24,0,11.2
2026-06-28,34.8,22.1,0.4,12.2
2026-06-29,23,18.7,23.1,10.4
2026-06-30,21.3,17.2,7.1,9
2026-07-01,18.3,13.8,16.9,12.6
2026-07-02,22.5,12.2,0,14.8
2026-07-03,17.7,11.3,3.6,19.4
2026-07-04,17.2,8.3,0,18.4
2026-07-05,16.7,13.2,22.8,18
2026-07-06,17.3,12.8,3.8,17.3
2026-07-07,21.4,14.7,1.9,19.8
2026-07-08,19.6,11.2,6.4,19.8
2026-07-09,19.5,10.4,0,14.8
2026-07-10,22.1,9.9,0,10.4
2026-07-11,22.1,10.4,0,10.8
2026-07-12,24.3,10.6,0,14.4
2026-07-13,25.3,12.3,0,10.1
2026-07-14,20.8,14.5,78.7,13.3
2026-07-15,21.6,14,0.3,11.5
2026-07-19,15.9,11.4,5.5,19.8
2026-07-20,15.1,8.8,0,15.5
2026-07-22,16.7,9.3,0,
2026-07-23,13.4,9.8,7.9,16.6
2026-07-24,20.2,7.6,0,10.1
2026-07-25,25.9,9,0,11.9
2026-07-26,25,11.9,0,16.6
2026-07-27,19.1,12.4,9.7,18
2026-07-28,21.5,11.7,0.1,13
2026-07-29,27.9,11.3,0,12.6
2026-07-30,32.8,20.2,0,17.3
2026-07-31,30,15.3,0,13
2026-08-01,21,12.2,5.9,11.5
2026-08-02,22.8,9.5,0,11.9
2026-08-03,29.8,14.5,0,10.4
2026-08-04,31.6,20.1,0,14
2026-08-05,28.3,18.5,0,16.2
2026-08-06,26.6,17.6,0,14
2026-08-07,20.9,11.8,0,10.1
2026-08-08,22.8,8.2,0,10.8
2026-08-09,27.7,15.3,0,17.3
2026-08-10,28.9,15.5,2,18
2026-08-11,19.4,10.4,0,11.9
2026-08-12,22.7,7.1,0,9
2026-08-13,26,11.3,0,9.7
2026-08-14,28.7,15.9,0,11.9
2026-08-15,31.8,18.4,0,9
2026-08-16,24.9,15.5,0.8,9.4
2026-08-17,18,12.7,13.6,14.8
2026-08-18,14.9,11.4,7.8,13
2026-08-19,20.2,14.4,9.5,15.8
2026-08-20,22.4,13.6,12,19.8
2026-08-21,21.1,10.5,12.1,13
2026-08-22,14.1,10.4,4.3,15.8
2026-08-23,15.5,8.2,0,14.8
2026-08-24,17.4,5.9,0,10.1
2026-08-25,20.7,9,0.5,20.5
2026-08-26,17.7,12.4,6,8.3
2026-08-27,23.5,13.5,0,20.2
2026-08-28,23.1,17.2,6.6,22
2026-08-29,21.1,12.8,5.6,19.8
2026-08-30,22.6,14.4,0,20.2
2026-08-31,20.6,13,6.4,21.2
2026-09-01,19,12,0,16.6
2026-09-02,20.7,9.3,0,12.6
2026-09-03,19.2,10.7,0,20.2
2026-09-04,23.9,14.6,0.3,26.6
2026-09-05,17.4,11.7,2,22
2026-09-06,17,8.6,0,13.3
2026-09-07,20.9,11.6,0,11.9
2026-09-08,27.2,17.3,0,17.6
2026-09-09,20.8,11.3,0,14.8
2026-09-10,15,7.1,0,12.6
2026-09-11,16.6,7.1,0,10.4
2026-09-12,17.3,8.6,0,10.8
2026-09-13,14.7,11,14.8,13.7
2026-09-14,16.6,9.8,6.7,14.4
2026-09-15,22.1,9.7,0,7.6
2026-09-16,21.6,10.2,12.5,12.6
2026-09-17,16,8.4,0,17.6
2026-09-18,15.4,8.7,0,16.9
2026-09-19,17.6,8.4,0,16.9
2026-09-20,16.4,9.5,11.1,19.1
2026-09-21,12.6,7.4,0.9,22
2026-09-22,12,6.7,0,13.3
2026-09-23,14.2,5.4,0,9.4
2026-09-24,11.6,8.4,10,16.6
2026-09-25,13.4,4.1,0,14
