date,tmax,tmin,precip,wind
2026-06-12,16.4,8.5,2.5,12.2
2026-06-13,18.3,11.5,2.8,19.1
2026-06-14,15.7,9.9,2.7,25.9
2026-06-15,17.7,11.1,0.2,23
2026-06-16,20,11.1,0,11.5
2026-06-17,23.2,7.1,0,11.5
2026-06-18,27.2,18,0,9.4
2026-06-19,30.6,16.5,0,14
2026-06-20,28.9,20.3,0.4,11.2
2026-06-21,25.8,18.9,0,13
2026-06-22,25.4,14.7,0,13.7
2026-06-23,26.4,10.7,0,9.7
2026-06-24,31.7,11.3,0,8.3
2026-06-25,29.8,17.6,0,12.2
2026-06-26,33.8,12.9,0,8.6
2026-06-27,38.7,22.1,8.5,14
2026-06-28,32.9,20.5,0,14.8
2026-06-29,22.8,16.9,12.1,16.6
2026-06-30,26.6,13.1,0,11.2
2026-07-01,24.1,15.7,1.2,13.7
2026-07-02,24.2,13.9,1.2,17.6
2026-07-03,20.4,12.6,0.1,24.8
2026-07-04,18,11,2.2,15.5
2026-07-05,21.7,14.3,1.3,21.6
2026-07-06,19,11.1,2.9,18
2026-07-07,20,14,2.8,20.2
2026-07-08,21.7,9.7,0,20.9
2026-07-09,22.4,11.7,0,13
2026-07-10,25,12.6,0,14.8
2026-07-11,27.1,11.8,0,14.8
2026-07-12,28.5,15.7,0,14.4
2026-07-13,28.1,13.5,0,16.6
2026-07-14,26.5,14.7,0,18
2026-07-15,26.7,10.7,0,14
2026-07-16,27.9,16.7,0.1,13
2026-07-17,29.4,14.2,0,12.2
2026-07-18,20.2,14.8,0,17.6
2026-07-19,19.5,12.1,3.2,17.6
2026-07-20,18,11.6,17.9,16.2
2026-07-21,22.8,12,0,14
2026-07-22,18.9,11.8,3.6,15.8
2026-07-23,21.2,13.7,0,19.1
2026-07-24,21.8,11,0,11.5
2026-07-25,27,10.7,0,11.9
2026-07-26,20.3,15.2,11,11.9
2026-07-27,21.1,13.8,0.5,20.2
2026-07-28,23,11.5,0,11.9
2026-07-29,29.2,17.4,0,14.4
2026-07-30,36,18.4,0.9,21.6
2026-07-31,25.9,16.7,2.8,13.7
2026-08-01,21.4,13.8,0.1,15.1
2026-08-02,24.5,9.3,0,9.4
2026-08-03,28,10.2,0,11.2
2026-08-04,28.3,15.8,5.5,11.9
2026-08-05,30,18.1,1.9,14
2026-08-06,24.6,16.6,0,16.6
2026-08-07,18.6,12.1,0,11.5
2026-08-08,23.1,8.7,0,6.1
2026-08-09,31.2,10.1,0,13.3
2026-08-10,23.1,15.9,1.1,16.2
2026-08-11,20.3,10.8,0,14.4
2026-08-12,24.6,7.4,0,9
2026-08-13,27.9,9.1,0,9.7
2026-08-14,31.7,14,0,14
2026-08-15,30.6,18.6,0.1,13.7
2026-08-16,24.3,15.2,0,11.2
2026-08-17,18.6,14.2,0.4,14
2026-08-18,20.6,13.1,0.2,10.4
2026-08-19,19.8,15.2,0.5,15.1
2026-08-20,23.4,13.1,0.9,13.7
2026-08-21,22.5,13.1,0,11.2
2026-08-22,19.5,12.3,0.6,18
2026-08-23,18.7,11.5,0.1,18
2026-08-24,20,10,0,12.2
2026-08-25,24.3,8.6,0,13
2026-08-26,25.6,9.5,0,19.1
2026-08-27,27.2,12.7,0,24.5
2026-08-28,28.2,15.9,2.7,19.1
2026-08-29,22.7,14.7,0,19.1
2026-08-30,21.5,16.3,2.3,17.6
2026-08-31,25,14.6,0.6,18
2026-09-01,22.3,14.3,1.2,16.9
2026-09-02,22,12.3,0,12.2
2026-09-03,20,14.8,0.4,16.2
2026-09-04,21.7,16.2,7.3,21.2
2026-09-05,18.8,13.5,3.2,22.3
2026-09-06,18.8,11,0,15.5
2026-09-07,23,11.8,0,11.9
2026-09-08,24.7,14,0,15.5
2026-09-09,19.7,13.7,0,18.4
2026-09-10,17.1,10.8,0,14.4
2026-09-11,19.5,9.5,0,9.4
2026-09-12,21.1,13.9,0.1,11.5
2026-09-13,19,14.3,3.5,12.6
2026-09-14,18.2,9.5,0,13
2026-09-15,24.7,10.5,0,9.4
2026-09-16,20.2,12.5,9.4,12.2
2026-09-17,17.8,11.6,0,14.8
2026-09-18,18.7,13,0.3,15.8
2026-09-19,19,13.1,0,16.9
2026-09-20,20,12.6,1.8,20.9
2026-09-21,16.7,11.3,0,20.2
2026-09-22,18.5,7.4,0,11.9
2026-09-23,18.8,6.5,0,9.7
2026-09-24,13.7,11.7,1.7,17.3
2026-09-25,16.2,7.4,0.8,13
