target,provider,lead,tmax,tmin,precip,wind
2026-09-11,arpege,1,20,11.9,1.3,11
2026-09-11,arpege,2,19.6,12.4,1.9,11.9
2026-09-11,arpege,3,15.6,11.1,2.6,14.8
2026-09-11,ecmwf,1,18.5,10.5,1.2,8.1
2026-09-11,ecmwf,2,17.7,10,0,8.7
2026-09-11,ecmwf,3,19.2,8.4,0,11
2026-09-11,ecmwf,4,18.4,8.8,0.6,6.8
2026-09-11,ecmwf,5,20.5,8.7,0,8.4
2026-09-11,ecmwf,6,18.3,11.3,0.3,10.6
2026-09-11,ecmwf,7,18.4,11.5,0.3,8.7
2026-09-11,gem,1,19.6,9.7,0,8.3
2026-09-11,gem,2,19.9,10.4,0.5,9.4
2026-09-11,gem,3,13.3,9.6,8.4,9.4
2026-09-11,gem,4,12.6,9.6,6.9,12.2
2026-09-11,gem,5,18.9,7.5,0,8.6
2026-09-11,gem,6,19.1,7.3,0,11.9
2026-09-11,gem,7,18.1,8.8,0,10.1
2026-09-11,gfs,1,20,10.1,0.1,9.1
2026-09-11,gfs,2,20.5,12.1,0,9.2
2026-09-11,gfs,3,20.1,10.8,0,10.2
2026-09-11,gfs,4,20.4,11.2,1.4,7.9
2026-09-11,gfs,5,21,10.7,0,10.5
2026-09-11,gfs,6,20.5,12,1,10.9
2026-09-11,gfs,7,19.5,11.4,1,21.2
2026-09-11,icon,1,19.9,12.1,0,10.3
2026-09-11,icon,2,17.6,10.1,0,9.2
2026-09-11,icon,3,19.6,10.6,0,6.3
2026-09-11,icon,4,18.5,10.3,0,6.4
2026-09-11,icon,5,19.7,8.2,0,6.1
2026-09-11,icon,6,19.2,10.7,0,10.8
2026-09-11,ukmo,1,18.8,12.4,0,10.8
2026-09-11,ukmo,2,18.7,12.4,1,7.6
2026-09-11,ukmo,3,19,10.3,0,6.1
2026-09-11,ukmo,4,15.1,12.9,2.1,8.6
2026-09-11,ukmo,5,16.7,13.1,0,8.3
2026-09-11,ukmo,6,19.5,11.8,2.1,9.7
2026-09-12,arpege,1,22.6,11.9,0,9.6
2026-09-12,arpege,2,23.3,8.9,0,9.7
2026-09-12,arpege,3,22.9,8.6,0,9.9
2026-09-12,ecmwf,1,21.1,9.6,0,8.9
2026-09-12,ecmwf,2,21,9.3,0,8.2
2026-09-12,ecmwf,3,21.2,9.2,0,7.6
2026-09-12,ecmwf,4,21.2,10.1,0,7.8
2026-09-12,ecmwf,5,20.8,8.9,0,6.9
2026-09-12,ecmwf,6,21.5,11.7,0,7.4
2026-09-12,ecmwf,7,14.5,11,7.5,21.3
2026-09-12,gem,1,20.4,8.3,0,9
2026-09-12,gem,2,21.5,8.6,0,9.4
2026-09-12,gem,3,21.5,8.8,0,9.7
2026-09-12,gem,4,19.6,8.3,0.6,11.2
2026-09-12,gem,5,17.6,8.7,0,9
2026-09-12,gem,6,18.8,10.5,2.4,8.3
2026-09-12,gem,7,17.5,9.3,6.2,11.2
2026-09-12,gfs,1,22.1,10.7,0,8.2
2026-09-12,gfs,2,21.8,11.3,0,7.9
2026-09-12,gfs,3,22.5,10.3,0,8.2
2026-09-12,gfs,4,22,10.9,0.3,8
2026-09-12,gfs,5,17.6,12,0.4,9
2026-09-12,gfs,6,22.2,12.4,0,7
2026-09-12,gfs,7,20.6,11.1,1,19.3
2026-09-12,icon,1,22.2,11.4,0,9.7
2026-09-12,icon,2,21.8,10.4,0,9.6
2026-09-12,icon,3,21.3,10,0,6.4
2026-09-12,icon,4,21.3,11.3,0,7
2026-09-12,icon,5,20.3,10,0,6.9
2026-09-12,icon,6,20.9,10.2,0.2,11.7
2026-09-12,ukmo,1,21.4,11.8,0,11.2
2026-09-12,ukmo,2,21.1,11.9,0,8.6
2026-09-12,ukmo,3,21.2,11.9,0,8.3
2026-09-12,ukmo,4,20,12.5,0,7.6
2026-09-12,ukmo,5,18.3,12.1,3,10.8
2026-09-12,ukmo,6,18.1,12.4,1.4,8.3
2026-09-13,arpege,1,24.5,14.3,6,17
2026-09-13,arpege,2,23.9,12.2,0.2,17.6
2026-09-13,arpege,3,23.9,12.9,1.4,18.1
2026-09-13,ecmwf,1,22.3,12.8,6.6,14.8
2026-09-13,ecmwf,2,22.8,11.8,9.3,15.2
2026-09-13,ecmwf,3,22.4,10.4,1.8,15.4
2026-09-13,ecmwf,4,22.9,10.2,0,8.6
2026-09-13,ecmwf,5,22.8,8.8,0,15
2026-09-13,ecmwf,6,21.9,8.7,0,6.1
2026-09-13,ecmwf,7,22.6,7.4,0,6
2026-09-13,gem,1,23,10.7,1.8,14
2026-09-13,gem,2,22.7,11,0.1,11.9
2026-09-13,gem,3,18.5,12.1,0.3,15.1
2026-09-13,gem,4,21,9.4,0.6,16.2
2026-09-13,gem,5,21.5,6.3,0,14.4
2026-09-13,gem,6,19.6,7.5,0,13.3
2026-09-13,gem,7,20,10,0.8,6.5
2026-09-13,gfs,1,23.6,13.2,1.3,12.7
2026-09-13,gfs,2,23.5,13,0.1,18
2026-09-13,gfs,3,22.8,12.4,1.7,16.9
2026-09-13,gfs,4,22.5,13.4,0,20.3
2026-09-13,gfs,5,23,11.9,2,13.9
2026-09-13,gfs,6,20.6,13.1,0.4,10.7
2026-09-13,gfs,7,23.5,12.5,0,13.3
2026-09-13,icon,1,17.6,15.2,9.3,9.7
2026-09-13,icon,2,23.6,13.9,14.3,15.8
2026-09-13,icon,3,21.5,12.7,10.9,15.1
2026-09-13,icon,4,23,9.8,1.9,11.5
2026-09-13,icon,5,22.5,8.1,0,11
2026-09-13,icon,6,22,7,0,7.5
2026-09-13,ukmo,1,23.1,15.3,3,15.8
2026-09-13,ukmo,2,22.9,15,3.8,14.8
2026-09-13,ukmo,3,23,15.2,1.5,17.6
2026-09-13,ukmo,4,20.4,14.2,3.7,14
2026-09-13,ukmo,5,21.3,13,0,7.6
2026-09-13,ukmo,6,18.7,10.8,0,10.4
2026-09-14,arpege,1,21.3,15.7,8.2,19.1
2026-09-14,arpege,2,19.8,13.7,2.7,17.2
2026-09-14,arpege,3,18.1,14.2,2.7,14
2026-09-14,ecmwf,1,19.9,13.8,6.6,17
2026-09-14,ecmwf,2,20.2,14,16.2,17.6
2026-09-14,ecmwf,3,20.8,13.9,5.4,16.3
2026-09-14,ecmwf,4,20.8,13.1,0.6,12.4
2026-09-14,ecmwf,5,24.1,13.1,0.3,11.2
2026-09-14,ecmwf,6,19.6,13.5,0.3,12.3
2026-09-14,ecmwf,7,22.7,10.7,0,13
2026-09-14,gem,1,19.3,12.7,8.3,16.9
2026-09-14,gem,2,20.4,12.7,3.9,15.5
2026-09-14,gem,3,21.3,13.6,4.2,15.8
2026-09-14,gem,4,22.1,14.1,4.9,16.9
2026-09-14,gem,5,20.1,14.2,6,13.3
2026-09-14,gem,6,21.2,7.4,0,12.2
2026-09-14,gem,7,21,8.6,0.1,11.5
