date,tmax,tmin,precip,wind
2026-06-12,15.2,8.6,7.3,20.2
2026-06-13,23.4,13.9,1.7,26.3
2026-06-14,19.4,10.6,0,18.4
2026-06-15,20,6.5,0,12.6
2026-06-16,19.6,8.6,1.3,14.4
2026-06-17,26.2,11.8,0,14.4
2026-06-18,29.1,13.8,0,8.3
2026-06-19,31.8,16.5,5.8,16.2
2026-06-20,29.6,13.7,0.4,13.3
2026-06-21,30.4,16.1,0,13
2026-06-22,31.1,16.2,0,11.2
2026-06-23,29.3,16.9,0,12.6
2026-06-24,31.1,17.1,0,10.8
2026-06-25,32.3,18.5,0,13.3
2026-06-26,33.3,18.3,0,10.4
2026-06-27,34.5,18.4,0,12.6
2026-06-28,32.4,20.1,0,10.1
2026-06-29,25.9,17.4,0,16.6
2026-06-30,28.1,15.8,6.7,14.8
2026-07-01,22.8,15.9,0.5,12.6
2026-07-02,25.7,12.3,0,15.5
2026-07-03,22.7,14.2,0,13.3
2026-07-04,25.1,8.4,0,14.4
2026-07-05,23.8,13.5,4.5,15.1
2026-07-06,25.6,12.4,0,15.8
2026-07-07,28.5,14.7,0,25.9
2026-07-08,24,15.9,0,13.7
2026-07-09,25.4,11.5,0,13
2026-07-10,29.1,14.3,0,13.3
2026-07-11,29.3,17.8,0,14
2026-07-12,27.6,17.2,0,14.8
2026-07-13,29.1,14.3,0,19.4
2026-07-14,28.2,16.6,9.1,20.5
2026-07-15,24.2,13.6,18.5,9.7
2026-07-16,27.5,13.9,1,14.4
2026-07-17,25.3,15.9,3.9,14
2026-07-18,22.9,13.1,2.1,12.2
2026-07-19,20.4,11.6,3.4,12.6
2026-07-20,20.2,6.9,0,14.4
2026-07-21,19.1,8.6,0,15.5
2026-07-22,22.7,7.2,0,13.3
2026-07-23,19.8,9,0,14.8
2026-07-24,24.5,6.7,0,9
2026-07-25,29.5,10.9,0,16.9
2026-07-26,25.9,14.9,0,22.3
2026-07-27,23.2,14.7,4.1,17.3
2026-07-28,27.5,10.5,0,10.1
2026-07-29,33.1,15.4,0,14
2026-07-30,33.5,16.4,0,19.1
2026-07-31,32.1,17.3,0,16.2
2026-08-01,25.6,16.3,2.3,16.9
2026-08-02,27.6,15.9,0,16.2
2026-08-03,33.2,19.6,3.9,18
2026-08-04,33.3,18.2,0.9,11.5
2026-08-05,27.7,16.9,9.3,11.9
2026-08-06,25.6,16.5,0,13.7
2026-08-07,25.2,12.7,0.1,12.6
2026-08-08,27.7,11.8,0,13.7
2026-08-09,31.9,15,0.1,17.3
2026-08-10,30.8,15,0.9,20.5
2026-08-11,27.5,16.1,0,11.9
2026-08-12,29.2,16.8,0,18
2026-08-13,30.4,15.4,0,15.5
2026-08-14,33.7,14.4,0,13
2026-08-15,32.6,16.4,0.1,14
2026-08-16,28.9,17.7,0,13
2026-08-17,22.1,13.8,3.4,15.8
2026-08-18,22.7,13.6,4.4,23
2026-08-19,29.7,13.4,0.3,23
2026-08-20,23.9,14.5,0,18
2026-08-21,17.8,12.3,15.9,12.2
2026-08-22,18.6,9.3,0.1,20.2
2026-08-23,21.4,7.2,0,10.8
2026-08-24,22.3,11.2,0.1,17.6
2026-08-25,18,12.9,0.5,16.9
2026-08-26,27.8,13.1,0.1,11.2
2026-08-27,29.6,18,0,14.4
2026-08-28,23.2,14.9,10.9,15.1
2026-08-29,22.2,10.6,0.1,16.6
2026-08-30,23.4,13.3,0,18.4
2026-08-31,21.6,13.7,6.3,22.7
2026-09-01,22,10.4,0,12.6
2026-09-02,23.5,9.1,0,11.9
2026-09-03,23.3,10,0,16.9
2026-09-04,29.4,12.1,0,20.5
2026-09-05,22.2,12.3,2.4,16.9
2026-09-06,24.7,7.9,0,12.6
2026-09-07,28.2,10.9,0.2,16.6
2026-09-08,29.5,13.8,0,24.5
2026-09-09,15.3,6.4,6.7,18.4
2026-09-10,16.5,6.1,0,14.4
2026-09-11,19.6,5.1,0,10.1
2026-09-12,21.6,7.1,0,10.1
2026-09-13,22.6,9.1,3.8,16.2
2026-09-14,21.1,13.5,0.2,10.1
2026-09-15,25.1,11.5,0,11.2
2026-09-16,21.1,12.2,0.2,16.6
2026-09-17,18.9,5.7,0,10.8
2026-09-18,17.6,8.1,0,16.2
2026-09-19,22.1,6.4,0,12.6
2026-09-20,23.9,9.6,0,20.5
2026-09-21,15.8,5.3,0.8,11.2
2026-09-22,17.2,4.6,0,10.8
2026-09-23,19.6,4.9,0,15.5
2026-09-24,16.2,5.3,0,14.4
2026-09-25,20.9,2.4,0.1,9
