date,tmax,tmin,precip,wind
2026-06-12,20.1,11.4,3.4,27
2026-06-13,18.5,13.5,4.5,38.5
2026-06-14,18,11.9,0.3,29.5
2026-06-15,17.8,11.8,0.4,20.2
2026-06-16,22.7,10.2,0,10.1
2026-06-17,24.3,13.4,0,20.9
2026-06-18,30.5,16.7,0,16.6
2026-06-19,33.2,20.9,0.1,15.8
2026-06-20,31.7,19.9,0.4,19.1
2026-06-21,29.3,19,2.2,15.1
2026-06-22,27.7,16.9,0,19.8
2026-06-23,29.2,15.3,0,11.5
2026-06-24,33.4,17.5,0,7.2
2026-06-25,32.4,20.8,0,18.4
2026-06-26,36.6,18.5,0,12.6
2026-06-27,36.5,23.5,0,16.6
2026-06-28,33,23.1,0.1,22
2026-06-29,28,20.9,0,11.2
2026-06-30,26.3,14.7,0,
2026-07-01,25.4,13.2,0,
2026-07-02,23.6,12.9,1.6,
2026-07-03,22.9,11.9,0,23.8
2026-07-04,25.1,11.5,0.2,29.9
2026-07-05,21.9,17.4,8,20.9
2026-07-06,25.3,15.7,0.2,30.2
2026-07-07,26.8,17,0,34.6
2026-07-08,20.9,15.8,0.4,14.8
2026-07-09,24.5,15.8,0,15.5
2026-07-10,27.5,12.1,0,15.8
2026-07-11,29.8,14.9,0,14
2026-07-12,30.3,16.1,0,18
2026-07-13,30.4,12.7,0,14
2026-07-14,28,16.2,0,18
2026-07-15,29.2,15.1,0,17.6
2026-07-16,26.3,15.1,0,16.2
2026-07-17,28.4,13,0,20.9
2026-07-18,22.3,16.1,0,20.9
2026-07-19,21.7,11.9,0,25.6
2026-07-20,21.5,13.1,0.4,19.4
2026-07-21,23.8,8,0,16.6
2026-07-22,21.7,12.1,0.6,28.4
2026-07-23,21,14.8,0,18.4
2026-07-24,22.9,11.6,0,10.8
2026-07-25,28,10.4,0,21.6
2026-07-26,21.3,17.3,8.6,22.3
2026-07-27,22,14.7,5.5,24.1
2026-07-28,27.6,11.6,0,18.4
2026-07-29,34.4,15.6,0,11.9
2026-07-30,34.9,18.1,1.3,24.8
2026-07-31,28.6,15.6,0,19.8
2026-08-01,24.4,12.4,0,12.6
2026-08-02,27.7,10.5,0,10.4
2026-08-03,32.8,18.7,0,14.8
2026-08-04,32.9,21.3,0,22.7
2026-08-05,28.7,18.3,1.3,22.7
2026-08-06,24.9,15.9,0,25.2
2026-08-07,21.4,12.8,0,14
2026-08-08,27,8.5,0,8.3
2026-08-09,31.5,13.7,0.1,19.1
2026-08-10,26.6,16.2,0.1,21.2
2026-08-11,24.2,8.6,0,13.7
2026-08-12,28.1,9.9,0,10.4
2026-08-13,33.6,15.7,0,12.2
2026-08-14,36.5,19.8,0,16.2
2026-08-15,26.9,16.3,2.2,14.8
2026-08-16,24.3,14.6,0,13.3
2026-08-17,19.7,15.1,2,16.9
2026-08-18,19.5,14.7,9.7,17.6
2026-08-19,19.3,15.7,10.6,20.9
2026-08-20,22.6,14.3,3.6,28.1
2026-08-21,21.4,13.7,3.5,14.8
2026-08-22,20.8,11.7,0,22.7
2026-08-23,20.3,12,0,16.9
2026-08-24,20.5,7.9,0,11.5
2026-08-25,23.3,11.8,0,13.3
2026-08-26,21.9,15.2,0,12.2
2026-08-27,29.5,14.6,0,13.7
2026-08-28,23.2,16.4,7.4,20.5
2026-08-29,23.9,15.8,3,24.8
2026-08-30,22.1,16.4,0.8,24.5
2026-08-31,21.6,15.6,0.5,30.2
2026-09-01,21.7,12.8,3.2,19.8
2026-09-02,22.9,11.4,0.6,18.7
2026-09-03,22.5,16.5,0.3,25.9
2026-09-04,22.8,16.7,9.1,33.8
2026-09-05,20,13.4,0,31.7
2026-09-06,21.1,7.8,0,11.5
2026-09-07,29.7,14.5,0,18.7
2026-09-08,24.5,17.2,3.3,25.9
2026-09-09,18.6,12.8,3.2,30.2
2026-09-10,19.1,9.9,0,11.2
2026-09-11,20.7,9.8,2,21.6
2026-09-12,20.7,14.1,0,17.6
2026-09-13,19.4,14.7,2.9,15.8
2026-09-14,22.5,11.6,0,8.3
2026-09-15,26.9,16.2,0,18.4
2026-09-16,20.4,13.2,5.5,22
2026-09-17,18.8,12.1,0,24.5
2026-09-18,19.1,13.5,0,24.5
2026-09-19,20.8,14.1,0.1,27.4
2026-09-20,19.9,13.2,0.2,30.2
2026-09-21,20.3,12.2,0,21.6
2026-09-22,20.3,9.7,0,8.3
2026-09-23,20.7,7.7,0,14.4
2026-09-24,18.2,8.5,2.5,22.3
2026-09-25,21,4.7,0,14
