date,tmax,tmin,precip,wind
2026-06-12,16.5,9.9,45.5,15.8
2026-06-13,22.4,15,1,20.2
2026-06-14,16.7,8.9,0,13
2026-06-15,17.1,6.6,0,11.9
2026-06-16,22.7,6.4,0.6,16.6
2026-06-17,25.5,11.5,0,11.5
2026-06-18,30.7,13.9,0,8.3
2026-06-19,32,15.2,0,9.4
2026-06-20,33.5,18.2,17.9,13
2026-06-21,32,16.6,0.1,17.6
2026-06-22,31.5,17.8,0,13
2026-06-23,29.9,17.6,0,10.4
2026-06-24,32.8,16.1,0,7.6
2026-06-25,33.1,17.5,0,9.7
2026-06-26,35.2,18.5,0,11.2
2026-06-27,36.7,18.5,0,9
2026-06-28,35.3,18.7,0,10.1
2026-06-29,24.8,18.7,1.3,12.2
2026-06-30,27.3,15,0,12.6
2026-07-01,24.2,16.1,37.4,22.3
2026-07-02,26.4,10.8,0,18.4
2026-07-03,23.2,11.7,0,9.4
2026-07-04,24.6,8.4,0,13
2026-07-05,22.3,16.9,0.2,12.2
2026-07-06,25.8,13.5,0,17.3
2026-07-07,27.6,13.1,0,22
2026-07-08,23.2,17.1,0,13
2026-07-09,25,12.2,0,7.6
2026-07-10,28.6,11.4,0,12.2
2026-07-11,28.3,12.9,0,16.9
2026-07-12,29.5,12.5,0,14.8
2026-07-13,29.7,14,0,19.1
2026-07-14,29.3,19.3,0,19.1
2026-07-15,25.7,15.1,0,19.8
2026-07-16,29.4,13.7,0.1,8.6
2026-07-17,25,15.3,2.9,14
2026-07-18,25.6,14.2,3.1,10.8
2026-07-19,19.2,11.7,1,12.2
2026-07-20,19.2,6.7,0,11.2
2026-07-21,21.7,8.8,0,8.6
2026-07-22,19.6,6.6,0,11.9
2026-07-23,21,11,0,11.5
2026-07-24,25.4,6.3,0,7.9
2026-07-25,29.4,8.2,0,12.6
2026-07-26,26.8,11.5,0.2,27
2026-07-27,21.8,14.6,6.1,17.3
2026-07-28,27.6,9.2,0,6.8
2026-07-29,34,11.9,0,12.2
2026-07-30,36.8,14.1,0,17.6
2026-07-31,31.2,13.7,0,15.5
2026-08-01,24,16.8,0.4,12.2
2026-08-02,27.9,13.8,0,20.2
2026-08-03,34.5,17.5,0,16.6
2026-08-04,34.7,18.6,0.7,9
2026-08-05,31.4,20.8,0,16.6
2026-08-06,26.4,16.2,0,16.2
2026-08-07,24.5,9.1,0,9.4
2026-08-08,29.6,9.9,0,14
2026-08-09,33.1,12.1,0,16.2
2026-08-10,32.1,13,0,15.5
2026-08-11,27.4,14.6,0,14
2026-08-12,28.5,11.3,0,16.2
2026-08-13,31,12.4,0,14.4
2026-08-14,34.1,12.4,0,10.4
2026-08-15,36.1,12.7,0,10.8
2026-08-16,29.7,17.3,1.2,10.1
2026-08-17,21.4,14.9,0.1,18.4
2026-08-18,18.3,13.8,4.8,14.4
2026-08-19,23.1,17.3,7.5,15.5
2026-08-20,23.3,14.2,3.1,19.1
2026-08-21,21.6,9.2,0.4,10.4
2026-08-22,18.9,11.1,1,15.1
2026-08-23,20.3,6.4,0,10.4
2026-08-24,20.5,4.3,1.5,15.5
2026-08-25,17.9,12.9,3.7,16.6
2026-08-26,23.8,13.8,0,11.9
2026-08-27,29.6,16.1,0,18
2026-08-28,23.6,18,8.4,18.4
2026-08-29,22.6,12.1,0,17.3
2026-08-30,24.3,15.5,0,23
2026-08-31,21.1,13.9,20.5,24.8
2026-09-01,21.7,10.4,0,14.8
2026-09-02,22.1,8.8,0,13.7
2026-09-03,22.4,8.8,0,16.9
2026-09-04,27.6,18,0,24.5
2026-09-05,21.4,13.1,0.6,15.1
2026-09-06,22.3,7.3,0,11.5
2026-09-07,28,11.3,0,13
2026-09-08,28.8,12.7,0,21.2
2026-09-09,22.6,13.4,0,23
2026-09-10,19,6.5,0,7.9
2026-09-11,21.9,6.1,0,9.7
2026-09-12,22.3,10.6,0,9
2026-09-13,19,10.7,9.3,12.6
2026-09-14,21.6,13.7,2.2,7.9
2026-09-15,25.7,11.5,0.1,11.9
2026-09-16,19.1,11.4,1,12.6
2026-09-17,20,5.9,0,19.1
2026-09-18,19.5,8.6,0.4,13
2026-09-19,21.7,5.2,0,16.6
2026-09-20,19.3,11.2,8.3,16.9
2026-09-21,16.9,7.8,0,10.4
2026-09-22,16.7,5.1,0,12.6
2026-09-23,19,2.2,0,7.9
2026-09-24,17.4,6.9,0,10.8
2026-09-25,19.4,1.8,0,7.9
