date,tmax,tmin,precip,wind
2026-06-12,17.3,10,0.8,23
2026-06-13,19.4,12.1,0,24.8
2026-06-14,15.6,10.4,0,16.2
2026-06-15,18.6,6.3,0,11.2
2026-06-16,24.6,13.4,0.1,22.3
2026-06-17,24.3,14.6,0.1,14
2026-06-18,29.9,14.4,0,9
2026-06-19,32.9,18.6,0,22.3
2026-06-20,31.5,18.5,0.8,16.6
2026-06-21,31.1,18,0.3,15.1
2026-06-22,29.2,19.2,0,14.8
2026-06-23,27.8,16.9,0,13.3
2026-06-24,33.3,16.6,0,11.2
2026-06-25,32.9,20.3,0,14.8
2026-06-26,35.9,22.6,0,12.2
2026-06-27,36.7,21.9,0,12.6
2026-06-28,31.1,22.5,0,15.5
2026-06-29,25.1,17.9,1.8,18.7
2026-06-30,25.2,14.1,0.1,20.2
2026-07-01,22.6,14.1,0,17.6
2026-07-02,23.6,12.9,0,21.6
2026-07-03,22.3,9.9,0,15.5
2026-07-04,25.3,10.3,0,21.6
2026-07-05,20.4,16.2,0,16.9
2026-07-06,27.4,13.7,0,23
2026-07-07,27.1,17.9,0,26.6
2026-07-08,22.7,16.6,0,18
2026-07-09,24.7,14.3,0,16.6
2026-07-10,27.7,12.7,0,16.9
2026-07-11,28.7,14.5,0,15.8
2026-07-12,28.7,18.2,0,17.6
2026-07-13,29.6,16.9,0,15.5
2026-07-14,28,17.6,1.8,17.6
2026-07-15,27.5,16.5,0,16.9
2026-07-16,27.2,15.3,1.7,16.2
2026-07-17,24.6,14.9,0,14.4
2026-07-18,23.2,13,0,20.9
2026-07-19,19.2,11,0,17.6
2026-07-20,16.9,8,0,16.6
2026-07-21,20.3,9.7,0,16.6
2026-07-22,18.5,10.2,0,16.2
2026-07-23,20.4,12,0,16.9
2026-07-24,22.6,10,0,16.2
2026-07-25,26.6,10.9,0,11.5
2026-07-26,22.1,14.9,1.2,26.6
2026-07-27,20.5,14.8,0,21.6
2026-07-28,28.6,10.9,0,11.9
2026-07-29,33.4,15.4,0,15.5
2026-07-30,33.6,20.9,0,30.2
2026-07-31,28.9,15.7,0,16.6
2026-08-01,24,14.6,0,16.6
2026-08-02,28,14.7,0,16.9
2026-08-03,34.1,18.3,0.1,21.6
2026-08-04,30.7,17.5,7,13.7
2026-08-05,27.1,20,0,23.8
2026-08-06,22.2,14.1,0,15.5
2026-08-07,20.6,9.8,0,14
2026-08-08,27.2,9.8,0,11.5
2026-08-09,28.7,14.6,0,19.4
2026-08-10,28.6,16.4,0,22
2026-08-11,24.8,12.2,0,16.6
2026-08-12,29.3,13,0,14.8
2026-08-13,32.2,16,0,15.8
2026-08-14,34.2,18.6,0,15.5
2026-08-15,31.9,19.3,0,20.5
2026-08-16,26.6,15.9,0.5,16.6
2026-08-17,19.3,12.6,2.7,14
2026-08-18,18,14.6,4.9,22
2026-08-19,24.6,14.4,18.7,21.6
2026-08-20,20.9,13,0.1,20.2
2026-08-21,19.5,11.8,2.2,14.4
2026-08-22,16.7,11.3,4.1,15.5
2026-08-23,17.9,7.5,0,15.5
2026-08-24,18.2,6.7,0,19.8
2026-08-25,16.4,11.1,0.3,11.9
2026-08-26,24.8,12.9,0,15.1
2026-08-27,29,15.9,0,16.6
2026-08-28,24.3,14.8,2.8,28.1
2026-08-29,20.3,12.5,0.1,22.3
2026-08-30,20.9,15.3,0.1,25.6
2026-08-31,19.6,14.1,6.2,28.1
2026-09-01,20.8,12.4,0,16.2
2026-09-02,20.1,10.2,0,17.3
2026-09-03,21,13.4,0,23.4
2026-09-04,24.3,15.6,3.7,30.6
2026-09-05,18.9,13,0.1,20.5
2026-09-06,22.9,7.6,0,13.3
2026-09-07,28.6,13.8,0.4,18.4
2026-09-08,25.3,16.9,0,29.5
2026-09-09,17.4,9.7,0,29.2
2026-09-10,17.1,8.6,0,12.6
2026-09-11,19.4,8,0.1,14
2026-09-12,21,12.2,0,16.2
2026-09-13,19.5,15.2,3.3,16.6
2026-09-14,21.7,14.7,0.1,11.2
2026-09-15,26.1,14.5,0,16.2
2026-09-16,18.1,11.7,0.4,17.6
2026-09-17,18.1,8.4,0,21.6
2026-09-18,17.6,10.3,0.5,15.5
2026-09-19,20.7,11.6,0,20.9
2026-09-20,16.5,10.3,0.7,20.9
2026-09-21,16.7,8.1,0,15.1
2026-09-22,16.3,7.9,0,13
2026-09-23,21.5,6.1,0,11.5
2026-09-24,16.3,9.5,0,15.5
2026-09-25,21.5,5.7,0,10.1
