date,tmax,tmin,precip,wind
2026-06-12,16.6,11,2.8,20.5
2026-06-13,24.6,16.3,0,35.3
2026-06-14,18.6,12.5,0,29.2
2026-06-15,19.8,7.7,0,24.8
2026-06-16,22.9,6.8,0,22
2026-06-17,26.4,13.1,0,20.2
2026-06-18,32.3,15.1,0,11.5
2026-06-19,34.9,17.4,0,16.2
2026-06-20,34.3,19.7,0,10.8
2026-06-21,33.2,18.3,3.7,20.5
2026-06-22,32.3,18.8,1.8,18.4
2026-06-23,32.1,17.3,0,18.7
2026-06-24,33.3,17.5,0,14.4
2026-06-25,35,17.7,0,12.2
2026-06-26,36.8,20.7,0,9.7
2026-06-27,37.8,20.4,0,13
2026-06-28,37,21.2,37.5,29.2
2026-06-29,28.3,19.3,2,24.8
2026-06-30,29.2,19.1,0.4,12.2
2026-07-01,23.7,16.6,3.6,22
2026-07-02,27.8,12.3,0,22
2026-07-03,23.9,15.5,1.7,25.9
2026-07-04,25.6,10.1,0,23
2026-07-05,23.3,17.9,1.4,22
2026-07-06,25.2,16.1,0,20.9
2026-07-07,29.6,17.6,0,34.9
2026-07-08,24,18.4,0,23.8
2026-07-09,24,11.5,0,15.5
2026-07-10,28.9,11.8,0,14.4
2026-07-11,29,13.1,0,18.4
2026-07-12,29.3,11.7,0,16.2
2026-07-13,32,13.8,0,14.4
2026-07-14,31.6,15.4,47.5,31.3
2026-07-15,27.5,14.4,0,13.7
2026-07-16,29.2,14.7,1.8,10.1
2026-07-17,26.7,16.6,36.2,22.7
2026-07-18,26.3,16.3,1,23
2026-07-19,21.7,13.8,1.8,26.3
2026-07-20,20.3,8.1,0,20.9
2026-07-21,21.2,7.9,0.1,14.4
2026-07-22,23.8,10,0,25.9
2026-07-23,19.5,11.7,0,21.6
2026-07-24,24.6,7.4,0,11.2
2026-07-25,31.5,10.6,0,20.5
2026-07-26,29.2,14.1,0,27.7
2026-07-27,22.2,16,0.1,28.8
2026-07-28,27.4,10.9,0,
2026-07-29,34.8,12.8,0,12.2
2026-07-30,36.8,17.6,0.1,28.8
2026-07-31,35.2,15.7,0,22
2026-08-01,26.8,18,17.6,25.6
2026-08-02,28.9,12.2,0,16.6
2026-08-03,34.6,18.2,0,12.6
2026-08-04,35.2,21,0,14.4
2026-08-05,31.5,19.5,0.4,14.4
2026-08-06,28.1,19.4,0,18.4
2026-08-07,26.2,11.3,0,14
2026-08-08,28.9,11.1,0,10.8
2026-08-09,32.5,14.7,0.1,16.2
2026-08-10,33.1,16.2,0,24.8
2026-08-11,27.3,16,0,13.3
2026-08-12,29.2,9.5,0,12.6
2026-08-13,31.3,10.9,0,13.7
2026-08-14,34,14.4,0,13
2026-08-15,35.3,13.3,0,10.8
2026-08-16,32.3,19.6,1.3,16.6
2026-08-17,23.6,15.7,0.1,31.7
2026-08-18,19.7,14.3,9.5,20.2
2026-08-19,26.5,18.1,0.2,21.2
2026-08-20,24.6,16.6,0.1,24.8
2026-08-21,20.4,12.9,7.8,17.6
2026-08-22,19.5,13.1,4.8,20.5
2026-08-23,21.3,7.8,0,11.5
2026-08-24,23.1,5.8,0,
2026-08-25,18.3,15,2.5,14.8
2026-08-26,25.8,13.5,0,10.8
2026-08-27,30,16.1,0,16.9
2026-08-28,24,17.6,14.6,24.1
2026-08-29,24.7,14.3,1.4,15.5
2026-08-30,24.3,16.6,0,20.9
2026-08-31,24.3,14.5,4.5,27
2026-09-01,23.2,13.4,0,19.4
2026-09-02,23.7,10.6,0,13.3
2026-09-03,23.2,11.2,0,18.4
2026-09-04,29.7,17.6,0,29.9
2026-09-05,23.6,14.7,5.3,31
2026-09-06,22.3,7.2,0,8.3
2026-09-07,28,10.7,0,14
2026-09-08,31.7,14.2,0,17.3
2026-09-09,20.4,13.1,1,20.5
2026-09-10,19.2,6.2,0,9.4
2026-09-11,21.6,8.3,0,11.9
2026-09-12,22.2,9.8,0,15.8
2026-09-13,19.7,13,4.2,13
2026-09-14,20.7,14.2,2.7,13.3
2026-09-15,26,11.5,0,13.7
2026-09-16,22.2,14.8,6.5,22
2026-09-17,20,9.9,0,14.4
2026-09-18,18.2,9.3,0,18.7
2026-09-19,21.5,7.2,0,16.9
2026-09-20,22,10.2,1.7,23
2026-09-21,16.7,9.9,0,21.2
2026-09-22,15.6,6.1,0,11.9
2026-09-23,18.7,2,0,8.3
2026-09-24,17.7,7.5,0,24.8
2026-09-25,20.1,2.5,0,9
