date,tmax,tmin,precip,wind
2026-06-12,17.4,9.8,1.1,22.7
2026-06-13,20.6,14.1,0.4,33.1
2026-06-14,17.5,9.6,0.1,35.6
2026-06-15,17,9.8,0,31
2026-06-16,21.7,5.8,0,23.4
2026-06-17,24.5,11.4,0,15.8
2026-06-18,30,14.6,0,15.8
2026-06-19,32.8,15.5,0,20.2
2026-06-20,30.6,18.2,5.2,31
2026-06-21,28.2,18.3,2.5,28.1
2026-06-22,28.2,16.9,0,15.8
2026-06-23,29.6,17.8,0,12.2
2026-06-24,32.3,15.5,0,10.8
2026-06-25,33.3,16.9,0,12.2
2026-06-26,35,17.1,0,12.6
2026-06-27,38.2,19,0,9.7
2026-06-28,37,20.4,0,25.9
2026-06-29,24.3,16.5,2.2,23.8
2026-06-30,24.9,13.8,0,16.2
2026-07-01,23.4,15.8,9.2,16.9
2026-07-02,26.6,13.3,0.7,27
2026-07-03,22.6,11.6,0,30.2
2026-07-04,21.6,9.2,0,21.2
2026-07-05,22.9,16,12,27.7
2026-07-06,21.8,14.3,0.7,28.1
2026-07-07,25.1,16.6,0,32.4
2026-07-08,24.7,14.3,2,23
2026-07-09,21.3,11.8,0,20.5
2026-07-10,25.9,12.8,0,14.4
2026-07-11,27,13.4,0,15.8
2026-07-12,30.5,12.9,0,20.9
2026-07-13,30,15.2,0,16.9
2026-07-14,26.3,16.2,2.2,25.2
2026-07-15,27.3,13.4,0,17.3
2026-07-16,29.2,12,0,13
2026-07-17,29.6,16.4,1.7,21.2
2026-07-18,25.8,16.2,0,29.5
2026-07-19,22.2,12.9,0,32
2026-07-20,19.6,11,0,26.3
2026-07-21,23.7,11.4,0,22
2026-07-22,21.6,11.5,0.3,26.6
2026-07-23,19.8,10.6,0.6,21.2
2026-07-24,24.8,7.9,0,15.5
2026-07-25,30.4,7.4,0,16.9
2026-07-26,28.7,12.7,0.7,28.8
2026-07-27,24.7,15.1,2.6,27.7
2026-07-28,26.1,10.5,0,19.8
2026-07-29,32.8,11.7,0,11.9
2026-07-30,38,16,1,38.2
2026-07-31,30.6,14.7,0,14.4
2026-08-01,21.7,13.9,12.9,24.8
2026-08-02,25.2,10.3,0,16.6
2026-08-03,30.9,13.2,0,14.8
2026-08-04,32.4,17.5,5.8,29.2
2026-08-05,32.1,20.2,0,20.5
2026-08-06,27.8,15.7,0,25.9
2026-08-07,23.6,12.6,0,20.9
2026-08-08,24.8,8.6,0,15.1
2026-08-09,34.1,10.1,0,18.4
2026-08-10,32.8,17.8,0,33.5
2026-08-11,23.8,12.1,0,19.1
2026-08-12,26.1,7.8,0,13.3
2026-08-13,29,8.6,0,17.3
2026-08-14,33.4,9.4,0,10.1
2026-08-15,35.2,14.4,0,23.4
2026-08-16,27.1,16.9,0.4,16.6
2026-08-17,19.8,14.8,3.1,29.5
2026-08-18,18,12.3,4.3,19.8
2026-08-19,24.4,15.4,17,27
2026-08-20,24.7,15.3,3,25.9
2026-08-21,23.1,10.7,0.7,16.2
2026-08-22,21.2,13.5,2.7,29.5
2026-08-23,19.6,10.8,0,29.5
2026-08-24,19.4,7.3,0,14
2026-08-25,24.2,10.5,0,29.5
2026-08-26,18.1,13.3,1.9,16.9
2026-08-27,27.6,11,0,24.5
2026-08-28,26.9,16.8,2.1,23.8
2026-08-29,24.8,14.8,0,31.7
2026-08-30,25.3,14.7,0,34.6
2026-08-31,24,12.5,5.3,35.6
2026-09-01,23,13.5,4.3,29.2
2026-09-02,22.8,11.1,0.4,14.4
2026-09-03,23.5,11,0.7,42.5
2026-09-04,26.3,16.3,7.9,51.1
2026-09-05,21.3,12.4,0,37.1
2026-09-06,21,10.5,0,18.7
2026-09-07,27.3,9.4,0.2,12.6
2026-09-08,28.7,13.9,0,27.7
2026-09-09,22.6,14.4,0,36.4
2026-09-10,18.3,12.1,0,20.9
2026-09-11,21.6,5.4,0,16.2
2026-09-12,22.6,14.1,0,18
2026-09-13,18,13.6,6.3,25.2
2026-09-14,20.8,12.1,0,21.6
2026-09-15,26.1,9.9,0,19.4
2026-09-16,18.9,11.9,6.1,16.9
2026-09-17,19.1,10.1,0,33.5
2026-09-18,19.8,9.6,0.2,26.6
2026-09-19,21.6,7.1,0,27.7
2026-09-20,18.3,10.7,6.5,32
2026-09-21,17.8,9.6,0,33.1
2026-09-22,17.3,8.2,0,14.8
2026-09-23,18.9,5.4,0,10.8
2026-09-24,15.5,10,0.5,29.5
2026-09-25,18.4,5.8,0,20.2
