date,tmax,tmin,precip,wind
2026-06-12,19.1,10.4,4.4,13
2026-06-13,18.8,13,3.6,17.6
2026-06-14,16.4,11.4,1.2,15.5
2026-06-15,16.5,11.2,0.8,12.2
2026-06-16,22.9,8.4,0,9.4
2026-06-17,23.1,12.4,0.2,13.7
2026-06-18,29.9,18.8,0,11.5
2026-06-19,33.2,20.2,0,11.2
2026-06-20,32,19.5,0,15.5
2026-06-21,27.8,18.2,23.2,9.4
2026-06-22,27.4,17.6,0,9.7
2026-06-23,28.2,16,0,10.4
2026-06-24,32.2,16.8,0,5.4
2026-06-25,31.2,19.9,0,9.7
2026-06-26,33.4,17.7,0,15.5
2026-06-27,37,25.5,0,9.4
2026-06-28,32.5,21.4,0.2,14
2026-06-29,26.5,19.3,9.6,7.6
2026-06-30,27,15.5,0.9,9.4
2026-07-01,25,14.2,0.3,10.8
2026-07-02,23,14.4,1.8,22.3
2026-07-03,21.4,11.7,0,11.5
2026-07-04,22.9,10.7,0,16.9
2026-07-05,21.4,16.4,10.2,10.1
2026-07-06,23.3,14.4,0.1,15.1
2026-07-07,24.8,17.4,0,16.6
2026-07-08,22.8,15,0.8,12.2
2026-07-09,23.6,15.4,0,8.6
2026-07-10,26.1,15.8,0,9.4
2026-07-11,27.5,15.3,0,10.1
2026-07-12,29,16.5,0,11.2
2026-07-13,29.2,13.9,18.4,11.9
2026-07-14,26.5,14.4,0.7,11.5
2026-07-15,26.5,14.8,0,10.4
2026-07-16,25.6,15.7,0.2,10.4
2026-07-17,27.6,14.3,0,10.4
2026-07-18,21.9,15.2,0,12.2
2026-07-19,19.5,11.5,0.8,11.5
2026-07-20,19.4,11.9,0.6,10.1
2026-07-21,23.3,9.2,0,8.6
2026-07-22,20.7,11.9,0.7,13
2026-07-23,20.4,13.7,0,9.4
2026-07-24,23,11.4,0,7.9
2026-07-25,26.8,10.6,0,9.7
2026-07-26,21.8,16.3,4.3,19.1
2026-07-27,20.7,14.1,0.4,12.2
2026-07-28,26.8,11.4,0,13
2026-07-29,33.3,19.5,0,10.8
2026-07-30,34.9,18.1,1.5,20.5
2026-07-31,27.8,14.6,7.7,11.2
2026-08-01,22.7,13.1,0,9.7
2026-08-02,26.4,11.6,0,9.7
2026-08-03,31,17,0,10.8
2026-08-04,31.1,19.4,2.4,10.1
2026-08-05,29.7,19.3,2.2,13
2026-08-06,23,16.5,0,12.2
2026-08-07,20.1,11.3,0,7.6
2026-08-08,25.6,9.8,0,9
2026-08-09,31.6,17.8,0,12.6
2026-08-10,27.7,16.7,0.2,13.7
2026-08-11,22.3,9.7,0,9.7
2026-08-12,26.6,9.8,0,9
2026-08-13,31.2,12.1,0,14
2026-08-14,35.8,21.4,0,9.7
2026-08-15,29,16,0.5,10.1
2026-08-16,24.3,14.9,0,9
2026-08-17,19.7,13.6,1.3,9.7
2026-08-18,17.8,13.9,5.7,9.7
2026-08-19,18.8,14.6,15.9,11.5
2026-08-20,22.5,14,0,19.4
2026-08-21,20.7,13,0.4,12.2
2026-08-22,21.1,12,0,11.2
2026-08-23,18.9,10.9,0,11.9
2026-08-24,19.9,8.4,0,8.3
2026-08-25,22.3,10.6,0,11.2
2026-08-26,19.2,15.5,0,10.4
2026-08-27,28.9,15.2,0,20.9
2026-08-28,24.9,16.4,1.9,14.8
2026-08-29,24.5,14.9,1.7,20.5
2026-08-30,20.6,16.7,2,19.4
2026-08-31,22.2,16.2,0.7,21.6
2026-09-01,18.6,13.2,9.1,11.9
2026-09-02,21.3,11.2,0,10.4
2026-09-03,21.1,15.6,0.2,17.6
2026-09-04,22.5,15.7,11.3,22.3
2026-09-05,19.9,12.8,0,18.7
2026-09-06,20.4,9,0,8.3
2026-09-07,28.5,14.8,0,12.6
2026-09-08,23.8,17.4,2,15.1
2026-09-09,18.3,12.4,2.7,21.6
2026-09-10,18.4,10.3,0,8.3
2026-09-11,20.4,9.2,2,10.4
2026-09-12,19.9,14.2,0.4,9
2026-09-13,17.8,15.2,10.8,10.4
2026-09-14,20.5,12.5,0,7.2
2026-09-15,25.7,15.4,0,15.8
2026-09-16,21,12,12.6,13.7
2026-09-17,17.6,11.8,0.2,18.4
2026-09-18,17.7,12.7,0.4,14.8
2026-09-19,20,12.8,0.1,20.2
2026-09-20,19.1,12.4,0.4,15.5
2026-09-21,18.6,10.2,0,11.2
2026-09-22,18,9.3,0,7.6
2026-09-23,18.9,6.1,0,10.1
2026-09-24,17.7,8.8,0.8,12.6
2026-09-25,19.2,4.9,0,11.2
