date,tmax,tmin,precip,wind
2026-06-12,17.2,8.3,3.1,22.3
2026-06-13,17.3,8.4,2.5,35.3
2026-06-14,15.3,9.9,29.7,36
2026-06-15,16.1,11.4,0.6,32.8
2026-06-16,15.4,8.8,0,20.5
2026-06-17,20.6,5.8,0,14.4
2026-06-18,24.4,16.8,0.1,13.3
2026-06-19,26.5,15.3,3.5,15.8
2026-06-20,28.3,16.6,0.6,18
2026-06-21,23.6,15.9,0.3,15.1
2026-06-22,21.2,10.8,0,21.6
2026-06-23,22,10,0,16.2
2026-06-24,28.5,9.1,0,10.1
2026-06-25,24.9,15.2,0,18
2026-06-26,30.2,12,0,10.8
2026-06-27,36,15.3,0,13.3
2026-06-28,30.3,20.3,0,30.6
2026-06-29,22.4,15.3,16.7,19.1
2026-06-30,24.2,10.6,0,17.6
2026-07-01,20.4,14.5,0.3,11.5
2026-07-02,22.5,12.3,0.6,26.6
2026-07-03,19,14.4,0.1,41
2026-07-04,20.2,14.5,0,28.4
2026-07-05,19.7,14.2,3.3,38.2
2026-07-06,19.4,11.1,5.4,28.8
2026-07-07,17.1,14.4,19.2,31.7
2026-07-08,19.7,13.1,0,33.5
2026-07-09,20.2,13.5,0,21.6
2026-07-10,23.1,14.8,0,19.1
2026-07-11,25,13.5,0,17.6
2026-07-12,25.5,15.1,0,19.8
2026-07-13,26.1,14.5,0,18
2026-07-14,25.4,15.3,0,15.5
2026-07-15,23.9,11.2,0,16.9
2026-07-16,26.3,13.3,4,16.2
2026-07-17,27.9,16.6,7.7,22.3
2026-07-18,21.4,15.6,0,30.6
2026-07-19,18.9,11.5,0.6,25.9
2026-07-20,17.7,13,11.7,27
2026-07-21,21.5,10.7,0,23.8
2026-07-22,18.8,11.1,4.6,25.9
2026-07-23,20.3,14.9,0,27.7
2026-07-24,19.9,11.3,0,20.2
2026-07-25,25.3,10.3,0,21.2
2026-07-26,18.8,15,4.2,20.5
2026-07-27,19.4,14.1,5,32.4
2026-07-28,22.5,11.5,0,24.1
2026-07-29,28.3,14.4,0,19.8
2026-07-30,35,16.6,1,34.6
2026-07-31,24.8,17.7,0.2,17.6
2026-08-01,20.3,11.6,0,21.2
2026-08-02,23.2,7.5,0,14
2026-08-03,26.8,11,0,16.2
2026-08-04,23.1,17.2,9.3,16.9
2026-08-05,29.4,17.1,0,23
2026-08-06,24.3,16.7,0.2,27
2026-08-07,19.2,14,0,26.3
2026-08-08,22.1,9.2,0,11.5
2026-08-09,29.1,12.4,0,21.2
2026-08-10,20.2,16.2,6.8,19.1
2026-08-11,18.9,11.1,3.7,25.9
2026-08-12,20,7.4,0,14.8
2026-08-13,27.9,9.7,0,10.8
2026-08-14,30.7,12.1,0,16.2
2026-08-15,25.8,13.5,0.1,24.8
2026-08-16,21.1,11.1,0,23
2026-08-17,19.4,13.4,0,19.4
2026-08-18,19.2,13,0,21.6
2026-08-19,18.8,14,2.3,27.7
2026-08-20,21.9,11.7,0,23
2026-08-21,22.2,10.8,0,19.4
2026-08-22,19.6,13.4,3.3,33.5
2026-08-23,19.2,13.3,6.2,31.7
2026-08-24,18.8,11.2,0,19.1
2026-08-25,22.5,7.2,0,15.1
2026-08-26,23.1,14.4,0,19.1
2026-08-27,25.8,13.7,0,20.9
2026-08-28,26.8,17.2,1.7,19.1
2026-08-29,21.1,14.6,0.5,27
2026-08-30,21.6,15.9,1.9,34.6
2026-08-31,25,15.1,1.9,25.9
2026-09-01,21,12.6,2.7,28.4
2026-09-02,21.6,11.8,0,24.5
2026-09-03,18.8,13.7,3.2,28.8
2026-09-04,17.9,15.4,23.6,32
2026-09-05,18.3,13.2,4.8,36.7
2026-09-06,18.5,11.2,0.5,27
2026-09-07,23.8,11.2,0,22.3
2026-09-08,22.8,14.8,0,29.2
2026-09-09,18.9,13,19.2,29.2
2026-09-10,16.7,10.1,0.4,25.6
2026-09-11,18.8,7.5,0,15.5
2026-09-12,19.6,11.4,0,15.8
2026-09-13,19.4,14.8,2.3,17.6
2026-09-14,17.3,10.4,0,19.1
2026-09-15,22.1,8.4,0,17.3
2026-09-16,18.9,12.7,14.4,19.8
2026-09-17,18,10.1,0.2,28.4
2026-09-18,18.1,13.2,0.5,28.8
2026-09-19,18.4,13.1,0,32
2026-09-20,18.4,13.4,6.1,33.8
2026-09-21,15.4,12.8,2.9,37.8
2026-09-22,16.9,8.4,0,19.4
2026-09-23,17.4,6.8,0.1,16.2
2026-09-24,14.8,12.4,1.4,24.8
2026-09-25,16.1,7.8,2.5,22
