date,tmax,tmin,precip,wind
2026-06-12,16.7,12.3,2.5,44.6
2026-06-13,15.9,12.8,3,47.5
2026-06-14,16,11.5,15.2,43.6
2026-06-15,13.9,12.7,0,41.8
2026-06-16,15.8,11.3,0,28.4
2026-06-17,18.6,8.4,0.5,25.6
2026-06-18,21.1,16,0,20.2
2026-06-19,29.4,17.4,0.8,15.5
2026-06-20,25.8,17.4,17.2,48.6
2026-06-21,23,16.9,0,28.8
2026-06-22,20.5,14.3,0,27
2026-06-23,21.3,12.2,0,17.6
2026-06-24,25.5,16.1,0,14.4
2026-06-25,21.4,16.7,0,23.4
2026-06-26,32.6,14.6,0,20.5
2026-06-27,28.6,22.1,0.1,17.3
2026-06-28,24.5,19.2,16.9,23
2026-06-29,22.9,17,0,22
2026-06-30,22.4,12.9,0,15.1
2026-07-01,23.4,14.7,0,26.6
2026-07-02,19.9,14.1,2.8,54.7
2026-07-03,17.2,15.4,0,54
2026-07-04,18.1,14.8,4.8,40.7
2026-07-05,18.9,14.7,1.3,41
2026-07-06,18.5,14.7,5.7,48.6
2026-07-07,17.6,14.6,2.8,46.4
2026-07-08,18,14.3,0,36.7
2026-07-09,17.8,15.9,0,31
2026-07-10,19.3,15.1,0,
2026-07-11,21.2,15.2,0,20.9
2026-07-12,20,16.7,0,28.1
2026-07-13,25.9,11.7,0.1,18.7
2026-07-14,25.8,16.2,0,18.7
2026-07-15,27.1,14.2,0,23.4
2026-07-16,23.9,13.2,5.5,15.1
2026-07-17,23.3,17.5,5.5,33.8
2026-07-18,18.1,15.8,0,38.2
2026-07-19,18.1,14.3,24.2,36.4
2026-07-20,19.6,14.7,0.2,35.3
2026-07-21,19.2,14,0.3,28.4
2026-07-22,18,15,0.5,43.2
2026-07-23,18.9,14.8,0,36.4
2026-07-24,19.2,15.1,0,24.1
2026-07-25,21.3,16.5,0,32.8
2026-07-26,18.8,16.2,11.7,36.4
2026-07-27,18.7,14.9,1.2,36.7
2026-07-28,20.9,15.9,0,31.7
2026-07-29,30,19.1,0,18.4
2026-07-30,26.8,18,0,27.7
2026-07-31,18.2,14.2,3.3,25.6
2026-08-01,19.7,12.5,0,20.2
2026-08-02,21.1,15.2,0,22.3
2026-08-03,26.8,12.3,0,23.4
2026-08-04,29.1,17,0,21.2
2026-08-05,24,19.6,0.9,
2026-08-06,20.2,15.7,2.1,49
2026-08-07,19.6,15.6,0,32.4
2026-08-08,20.7,14.3,0,18.7
2026-08-09,22.6,12.9,0,16.6
2026-08-10,19.9,16.1,5.8,34.6
2026-08-11,18.6,15.1,0.2,40.7
2026-08-12,19.9,9.7,0,16.6
2026-08-13,28.6,11.6,0,17.3
2026-08-14,30,14.9,0,20.9
2026-08-15,20.1,16.4,0,24.1
2026-08-16,20.3,15.7,0.4,21.6
2026-08-17,18.8,14.3,3.8,28.4
2026-08-18,18.2,14.5,3.7,24.8
2026-08-19,19.9,14.7,6.1,28.4
2026-08-20,19.5,14.9,7.8,23.4
2026-08-21,19.4,15.8,1.2,27.4
2026-08-22,17,13.7,2.1,40
2026-08-23,16.6,13.5,1.9,40
2026-08-24,19,14.4,0,27.4
2026-08-25,23.2,9.8,0,19.8
2026-08-26,24.3,13.3,0,28.8
2026-08-27,25.1,14.8,0,29.2
2026-08-28,21.1,16.3,2.5,22.7
2026-08-29,21.2,17.1,2.4,38.5
2026-08-30,20,17.2,14.6,46.1
2026-08-31,20,16.4,9.2,31.3
2026-09-01,19.8,16.8,2.9,39.2
2026-09-02,20.6,16.9,0.2,33.1
2026-09-03,20.3,16.5,2.7,40.7
2026-09-04,18.6,16.5,46.9,52.6
2026-09-05,18.9,15.8,1.7,50.8
2026-09-06,19.1,15.2,0,40.7
2026-09-07,23.8,14.5,0,22.7
2026-09-08,18.9,14.8,9.9,36.7
2026-09-09,17.4,13.5,25.4,36.4
2026-09-10,17.7,13.7,0,35.6
2026-09-11,17.7,14.2,1.7,27.7
2026-09-12,19,15.3,2.5,34.9
2026-09-13,20,14.1,0.7,28.4
2026-09-14,18.4,12.9,0,24.8
2026-09-15,22.2,15.1,0,27.7
2026-09-16,18.5,14.9,0.9,31
2026-09-17,17.3,14.3,3.7,43.6
2026-09-18,18.1,14.7,8.3,40.3
2026-09-19,17.9,15.5,1.4,43.2
2026-09-20,17.5,13.2,4.7,48.2
2026-09-21,16.9,14.3,0.5,50.8
2026-09-22,16.3,9.5,0,29.5
2026-09-23,17.5,11.2,3.1,29.2
2026-09-24,15.1,12.8,0.4,50.4
2026-09-25,16.6,12.6,0,24.8
