date,tmax,tmin,precip,wind
2026-06-12,15.7,8.8,3.6,18
2026-06-13,26.2,15.5,0.2,24.8
2026-06-14,20.5,13.9,0,17.3
2026-06-15,21.8,12.6,0,18
2026-06-16,21.3,6.5,0.5,14.8
2026-06-17,26.5,11.5,0.2,11.5
2026-06-18,29.6,13.8,0,7.6
2026-06-19,32.6,15.5,0,16.2
2026-06-20,33.1,16.6,0,11.5
2026-06-21,33.7,16.6,0,17.6
2026-06-22,31.3,15,0.1,10.1
2026-06-23,31.2,16.8,0,11.9
2026-06-24,33,19.1,0,11.2
2026-06-25,34.3,17,0,12.6
2026-06-26,35.4,16.9,0,9.4
2026-06-27,36.9,17,0,15.1
2026-06-28,36.9,17.1,0.1,19.1
2026-06-29,32.8,18.4,20.7,23
2026-06-30,28.7,18.5,3.3,14.8
2026-07-01,22.2,16.1,39.9,14
2026-07-02,27.1,12.9,0,11.5
2026-07-03,25.5,17.7,0,16.2
2026-07-04,26.5,10.8,0,15.5
2026-07-05,23.5,16.3,3.5,16.2
2026-07-06,24.3,16.1,0,17.3
2026-07-07,29.7,14.8,0,29.5
2026-07-08,24.9,18.6,0.9,16.9
2026-07-09,25.5,14.6,0,13.7
2026-07-10,29.4,11.8,0,8.3
2026-07-11,28.6,11.6,0,14.8
2026-07-12,28.3,11.3,0,19.1
2026-07-13,30.6,12.6,0,12.6
2026-07-14,29.6,15.1,4.9,29.2
2026-07-15,27.7,16.3,5.6,15.8
2026-07-16,30,15.9,0,11.2
2026-07-17,29.5,17.1,1.5,18.7
2026-07-18,26.6,14.6,5.6,15.5
2026-07-19,22.8,12.8,1.8,15.8
2026-07-20,23.1,9.1,0,17.6
2026-07-21,22.3,10.4,0,18.4
2026-07-22,23.9,8,0,13.7
2026-07-23,21.6,12.8,0,18.7
2026-07-24,24.8,7.1,0,10.4
2026-07-25,29.2,10,0,16.9
2026-07-26,27,12.6,0,31.3
2026-07-27,23.9,16.2,4,22.3
2026-07-28,27.5,10.1,0,9
2026-07-29,32.8,10.9,0,13
2026-07-30,35.6,15.4,5,19.8
2026-07-31,36.5,17.8,0.8,31
2026-08-01,28.4,16.2,0.3,16.2
2026-08-02,29.8,17.4,0,12.6
2026-08-03,35.7,16.3,0,11.5
2026-08-04,37.1,18.2,0,9.4
2026-08-05,34.6,21.5,0,13.7
2026-08-06,26.4,20.4,12.4,16.9
2026-08-07,27,17.9,0,8.6
2026-08-08,29,11.5,0,9.7
2026-08-09,31.9,11.8,0,14
2026-08-10,33.9,18.7,0.6,16.9
2026-08-11,29.7,18.2,0,14
2026-08-12,29.4,11,0,13.7
2026-08-13,30.7,11.4,0,15.1
2026-08-14,32.2,13.2,0,13.7
2026-08-15,33.9,11.3,0,9.7
2026-08-16,30.1,15.9,0,11.5
2026-08-17,25.1,16.1,5.3,19.8
2026-08-18,18.5,12.9,8.1,13.3
2026-08-19,27.9,17.6,7,17.3
2026-08-20,25.3,17.7,3.1,14.4
2026-08-21,23.4,13.9,11.2,19.8
2026-08-22,19.9,12.4,0.1,20.2
2026-08-23,22.2,7.8,0,10.8
2026-08-24,23.2,7,0,10.1
2026-08-25,22.2,13.9,0.6,18.7
2026-08-26,25.9,13.5,0,12.2
2026-08-27,29.5,14.4,0,17.3
2026-08-28,28.7,18,12.3,27
2026-08-29,24.3,12.4,1.3,16.6
2026-08-30,26.7,14.9,0.4,15.8
2026-08-31,25.5,16.1,5.6,15.1
2026-09-01,24,13.2,0,13.3
2026-09-02,23.5,11,0,7.2
2026-09-03,25.3,13.1,0.5,18.7
2026-09-04,30.3,14.6,0,19.8
2026-09-05,24.2,13.3,5.9,20.9
2026-09-06,23,8.2,0,8.6
2026-09-07,24.7,8.3,0,16.9
2026-09-08,32,11.6,0,15.5
2026-09-09,21.6,14.3,5.8,25.9
2026-09-10,18.9,7.7,0,10.1
2026-09-11,20.1,10.8,0,8.3
2026-09-12,21.9,5.6,0,8.6
2026-09-13,16.7,11.8,14.4,9.4
2026-09-14,21,13.6,10.3,10.8
2026-09-15,22.7,9.8,0,9
2026-09-16,24.2,12.4,0.6,13.3
2026-09-17,20.7,12.1,0,12.2
2026-09-18,21.3,9.1,0,11.2
2026-09-19,22,9.3,0,7.9
2026-09-20,23.6,9.2,1.3,15.1
2026-09-21,16.5,11,0.1,14
2026-09-22,15.9,6.7,0,18
2026-09-23,17.8,2.5,0,8.6
2026-09-24,17.2,6.6,1.1,15.1
2026-09-25,17.6,2.5,0,7.9
