target,provider,lead,tmax,tmin,precip,wind
2025-09-08,arpege,1,23.8,12.8,4.3,
2025-09-08,arpege,2,23.7,12.2,0,
2025-09-08,arpege,3,25.1,13.7,0.1,
2025-09-08,ecmwf,1,21.3,12.7,0.6,11.8
2025-09-08,ecmwf,2,22.6,12.9,5.4,7.7
2025-09-08,ecmwf,3,22.1,13.6,4.2,7.6
2025-09-08,ecmwf,4,21.3,14.2,10.2,12
2025-09-08,ecmwf,5,22.9,16.6,9,12.2
2025-09-08,ecmwf,6,25,16.7,10.2,9.3
2025-09-08,ecmwf,7,20.6,15.4,16.2,11.8
2025-09-08,gem,1,22.6,9,0,11.5
2025-09-08,gem,2,23.9,9.4,0,10.8
2025-09-08,gem,3,22.2,9,0,9.7
2025-09-08,gem,4,21.4,11.6,0,9
2025-09-08,gem,5,22.5,9.8,0,8.6
2025-09-08,gem,6,21.3,9.1,0,6.5
2025-09-08,gem,7,26.1,12.3,0,7.9
2025-09-08,gfs,1,23.2,14.5,1.4,12.8
2025-09-08,gfs,2,22.8,15.2,3.3,14.8
2025-09-08,gfs,3,25.9,16.5,1.8,9.7
2025-09-08,gfs,4,27.3,16.5,0,11.9
2025-09-08,gfs,5,23.9,12.3,0,7.9
2025-09-08,gfs,6,28.2,16.7,0.4,11.5
2025-09-08,gfs,7,26.4,15.5,0,7.2
2025-09-08,icon,1,20.6,13.2,8.6,8.1
2025-09-08,icon,2,20.2,13.6,9.1,8.5
2025-09-08,icon,3,20.7,13.3,4.6,5.1
2025-09-08,icon,4,21.5,16.5,10.1,4.7
2025-09-08,icon,5,22.5,15.8,2,17
2025-09-08,icon,6,25.3,16.8,7.5,11.9
2025-09-08,ukmo,1,21.2,17.1,9.7,9.4
2025-09-08,ukmo,2,21.7,17.9,3.6,10.8
2025-09-08,ukmo,3,23.2,18.2,0,9.4
2025-09-08,ukmo,4,25.4,19.3,0.6,7.6
2025-09-08,ukmo,5,28.6,18.4,1.5,10.1
2025-09-08,ukmo,6,27.8,18.8,3.3,9.4
2025-09-09,arpege,1,20.6,13,5.6,
2025-09-09,arpege,2,19.5,13.2,2.6,
2025-09-09,arpege,3,18.1,13,3.1,
2025-09-09,ecmwf,1,19.5,13.7,12.3,19
2025-09-09,ecmwf,2,21,14.7,6.6,12.4
2025-09-09,ecmwf,3,17.5,15.3,10.2,10.7
2025-09-09,ecmwf,4,21.5,14.4,2.4,15.3
2025-09-09,ecmwf,5,21.6,14.4,0.9,7.1
2025-09-09,ecmwf,6,24.6,14.5,1.2,7.6
2025-09-09,ecmwf,7,19.4,14.5,0.3,12.6
2025-09-09,gem,1,19.3,12.9,4.2,16.6
2025-09-09,gem,2,19.6,14.3,4.5,8.3
2025-09-09,gem,3,18.7,13.5,4.8,13.3
2025-09-09,gem,4,18.8,15.9,18.3,13.3
2025-09-09,gem,5,23.1,14.8,0,9
2025-09-09,gem,6,25.4,12.8,0,8.3
2025-09-09,gem,7,25.7,14.6,0,14
2025-09-09,gfs,1,18.2,14.3,9.3,10
2025-09-09,gfs,2,17.7,14.3,7.2,8.6
2025-09-09,gfs,3,20.1,15.1,14.7,14.2
2025-09-09,gfs,4,19.5,16.2,10,9.2
2025-09-09,gfs,5,22.3,16.6,6.1,8.2
2025-09-09,gfs,6,25.4,15.7,0.3,8.4
2025-09-09,gfs,7,31.8,16.9,1,10.1
2025-09-09,icon,1,20.9,14.7,8.4,17.4
2025-09-09,icon,2,20.7,13.6,7.9,15.7
2025-09-09,icon,3,19.9,14.8,14.6,16.7
2025-09-09,icon,4,20.1,15.8,2.1,12.8
2025-09-09,icon,5,22.8,15,0.1,11
