date,tmax,tmin,precip,wind
2026-06-13,23.1,14.5,0,23.4
2026-06-14,18.6,9.9,0,13.3
2026-06-15,20.8,7.8,0,10.1
2026-06-16,26.8,12.7,0,24.1
2026-06-17,27.8,15.2,0,14
2026-06-18,33.2,15.1,0,10.4
2026-06-19,35.7,20.6,0,15.5
2026-06-20,34.1,21.9,0,18.7
2026-06-21,34.5,18.7,3.3,14.4
2026-06-22,34.1,20.6,0,15.8
2026-06-23,33.2,19.9,0,16.6
2026-06-24,36.3,18.3,0,10.4
2026-06-25,37.6,20.9,0,19.8
2026-06-26,39.3,23.4,0,16.9
2026-06-27,39.9,21.9,0,20.9
2026-06-28,33.8,23.1,0,17.6
2026-06-29,27.3,20.4,4,13.3
2026-06-30,29.1,16.1,0,13
2026-07-01,27.2,16.4,0,11.5
2026-07-02,27.4,13.1,0.4,20.5
2026-07-03,25.8,12.3,0,10.8
2026-07-04,28.9,11.5,0,18
2026-07-05,24.5,16.1,0,14.4
2026-07-06,30.6,14.4,0,20.2
2026-07-07,29.9,17.4,0,22.3
2026-07-08,29,16.5,0,17.3
2026-07-09,30.6,14.6,0,18.7
2026-07-10,31.9,16,0,16.9
2026-07-11,33.1,17.5,0,20.9
2026-07-12,33.2,18.9,0,20.5
2026-07-13,32.2,20.2,0,18.7
2026-07-14,32.7,19.3,0,23
2026-07-15,31.1,18.5,0,19.1
2026-07-16,32.2,17.3,0,16.9
2026-07-17,27.5,17.6,8.6,14
2026-07-18,27.1,14.3,0.1,12.6
2026-07-19,23.3,13.8,0,11.5
2026-07-20,21.6,10.7,0,15.8
2026-07-21,25.1,9.4,0,11.2
2026-07-22,22.6,10.9,0,13
2026-07-23,24.8,12.8,0,10.8
2026-07-24,26,11.9,0,9
2026-07-25,30.5,12.4,0,14.4
2026-07-26,25.2,14.5,0.3,28.4
2026-07-27,23.7,15.7,0,16.6
2026-07-28,30.7,11.3,0,8.3
2026-07-29,36.7,16.1,0,19.8
2026-07-30,35.8,17.7,0,35.6
2026-07-31,30.2,17.2,0,15.8
2026-08-01,28.9,18.3,0.3,21.6
2026-08-02,32.6,16.9,0,20.2
2026-08-03,38.2,18.6,8.2,28.1
2026-08-04,32,18.4,0,13.3
2026-08-05,29.1,19.7,0,28.1
2026-08-06,25,16.9,0,16.2
2026-08-07,25.6,11.9,0,18
2026-08-08,31.6,12.9,0,15.1
2026-08-09,30.5,15,0,19.8
2026-08-10,32.3,15.2,0,21.6
2026-08-11,29.9,15.9,0,19.1
2026-08-12,33.3,15.2,0,18.4
2026-08-13,36.9,16.5,0,17.6
2026-08-14,36.8,17.3,0,13.7
2026-08-15,36,18.1,0,12.6
2026-08-16,30.9,18.8,0,13.7
2026-08-17,23.2,16.7,0.9,12.6
2026-08-18,19.8,16.6,8.1,19.1
2026-08-19,27.9,17.3,9.6,38.5
2026-08-20,24.1,15.3,0.4,26.3
2026-08-21,20.9,13.5,0.3,19.8
2026-08-22,20.8,13.5,0.5,9.7
2026-08-23,22.4,9.4,0,19.4
2026-08-24,19.8,9.6,0,20.2
2026-08-25,17.4,13.5,6.1,22
2026-08-26,27.1,11.2,0,8.6
2026-08-27,31.7,17.3,0,18.4
2026-08-28,23.3,16.1,19.8,32.8
2026-08-29,22,13.6,0.5,29.9
2026-08-30,23.9,18.1,0.1,30.2
2026-08-31,20.6,16.2,7.3,37.1
2026-09-01,23.1,12.4,0,20.2
2026-09-02,23.1,11.3,0,16.6
2026-09-03,24.7,12.9,0,25.6
2026-09-04,28.9,18.2,0,30.6
2026-09-05,23.5,15,0.3,14
2026-09-06,28,9.6,0,11.9
2026-09-07,31.5,16.2,0,23.4
2026-09-08,28.3,16.8,0,32.8
2026-09-09,19.7,11.1,0,22
2026-09-10,21.2,8.3,0,10.4
2026-09-11,23.2,8.1,0,12.2
2026-09-12,23.6,12.6,0,15.8
2026-09-13,22.2,16,0,22.3
2026-09-14,24.4,16,0.1,10.1
2026-09-15,29.3,14.5,0,15.8
2026-09-16,21.5,14.5,0,15.8
2026-09-17,22.1,7.9,0,24.1
2026-09-18,19.7,12.2,0.4,19.8
2026-09-19,22.9,10,0,22.3
2026-09-20,19.8,12.3,1.1,23
2026-09-21,20.4,8,0,9.4
2026-09-22,21.3,7.1,0,15.8
2026-09-23,22.8,7,0,11.2
2026-09-24,20.5,12.2,0,11.2
2026-09-25,23.1,6.1,0,11.9
