date,tmax,tmin,precip,wind
2026-06-12,18.5,8,0.1,17.3
2026-06-13,18.8,11.1,1.1,25.2
2026-06-14,15.2,11.3,13.5,26.3
2026-06-15,16.3,11.2,0,28.8
2026-06-16,17,11.3,0,20.2
2026-06-17,21.5,6,0,11.5
2026-06-18,23.7,14.9,0.1,13.3
2026-06-19,27.2,14.6,0.5,13.7
2026-06-20,27.6,17.4,0,8.3
2026-06-21,26.8,18.7,0,15.1
2026-06-22,23.8,17,0,15.8
2026-06-23,23.5,9.5,0,12.2
2026-06-24,27.4,9.7,0,11.9
2026-06-25,29.3,15.2,0,13.3
2026-06-26,28.5,13,0,12.2
2026-06-27,36.5,17.6,0,16.6
2026-06-28,28.6,21,0.7,20.2
2026-06-29,27.8,18,3.5,13.3
2026-06-30,25.5,13.3,0,18.4
2026-07-01,23.8,15.2,0,14
2026-07-02,25.3,13.4,0.7,21.6
2026-07-03,20.2,14.2,0,31.7
2026-07-04,21.7,13.6,0,21.2
2026-07-05,21.2,14.7,1.9,28.4
2026-07-06,18.6,10.4,7.7,21.6
2026-07-07,19.1,14,8.3,27.7
2026-07-08,21,11.5,0,24.5
2026-07-09,22.5,13.5,0,19.8
2026-07-10,22.8,13.9,0,13.3
2026-07-11,22.3,11,0,13.7
2026-07-12,25.6,16.2,0,18.7
2026-07-13,21.7,18.1,0,20.5
2026-07-14,22.6,17.2,0,19.1
2026-07-15,22.8,15.9,0,16.6
2026-07-16,24.6,18.3,0.3,16.9
2026-07-17,26,15.1,12,11.9
2026-07-18,23.3,17.2,0,23.8
2026-07-19,21.1,12.3,4.6,21.2
2026-07-20,18.6,11.2,18.6,19.1
2026-07-21,21.5,13.4,0,15.8
2026-07-22,19.2,11.7,2.1,19.1
2026-07-23,20.9,14.9,1.7,20.2
2026-07-24,21.8,13,0,18.7
2026-07-25,26.4,10.9,0,14
2026-07-26,21.9,15.8,5.3,11.2
2026-07-27,20.1,14.7,3.4,27.7
2026-07-28,22.5,12.4,0,20.5
2026-07-29,28.1,15.2,0,16.6
2026-07-30,35.9,18.5,0,22.3
2026-07-31,23.5,18.3,0,15.1
2026-08-01,20.3,11.2,0,14.4
2026-08-02,23.5,9,0,14.8
2026-08-03,25,12.6,0,17.6
2026-08-04,24.3,14.7,1.2,14.8
2026-08-05,31.5,16.6,3.2,13.3
2026-08-06,26.5,18.8,0,20.9
2026-08-07,19.4,13.9,0,17.3
2026-08-08,22.6,10.7,0,10.8
2026-08-09,30.5,12.1,0,16.9
2026-08-10,25.6,16.7,1.1,16.2
2026-08-11,20.6,12.3,0,19.1
2026-08-12,21.6,7.5,0,13.7
2026-08-13,24.6,9,0,14.8
2026-08-14,31.2,13.4,0,14.4
2026-08-15,34.3,17.9,0,18.7
2026-08-16,22.7,15.8,0.7,14
2026-08-17,21.3,13.6,0.8,12.2
2026-08-18,20.2,13.7,0,15.8
2026-08-19,21,14.5,0.3,24.8
2026-08-20,23.1,14.1,0.4,18
2026-08-21,25.2,11.9,1.2,16.2
2026-08-22,20.5,14.5,1.4,22.7
2026-08-23,19.1,12.3,15.5,25.6
2026-08-24,20.7,12.6,2.7,16.6
2026-08-25,22.1,8,0,16.9
2026-08-26,23.1,13.6,0,18
2026-08-27,26.5,13.3,0,15.1
2026-08-28,24.8,18.4,0,24.8
2026-08-29,24.2,17.1,0,24.5
2026-08-30,24.9,17.2,0,27.4
2026-08-31,25.6,15.5,1.7,19.1
2026-09-01,20.3,13.8,9.3,20.9
2026-09-02,21.5,12.6,0,16.9
2026-09-03,21,12.8,1.4,25.9
2026-09-04,18.2,15.7,35.9,26.6
2026-09-05,19.7,13.2,7.5,32
2026-09-06,19,10,0,22.3
2026-09-07,22.4,9.4,0,20.5
2026-09-08,25,13.8,0,21.6
2026-09-09,20.3,12.5,0,25.9
2026-09-10,17.9,7.8,0,20.2
2026-09-11,18.6,7.6,0,11.2
2026-09-12,20.8,12,0,13.7
2026-09-13,19.9,14.3,6.6,14
2026-09-14,17.9,9.9,0,13.3
2026-09-15,23.2,8.8,0,14
2026-09-16,19.8,12.6,7.7,14.4
2026-09-17,19.2,11.2,0,19.4
2026-09-18,19,14.3,0,23.8
2026-09-19,19.7,13,0.1,22.7
2026-09-20,19.6,13.4,0.7,26.6
2026-09-21,16.4,11.6,0.5,27.7
2026-09-22,17.8,7,0,14.8
2026-09-23,19,6.3,0.2,10.4
2026-09-24,15.1,11.3,1.8,16.6
2026-09-25,14.4,9.5,0,15.1
