date,tmax,tmin,precip,wind
2026-06-12,14.2,7.7,6.3,18
2026-06-13,22.1,13.9,5.2,31
2026-06-14,16.4,9.6,0,27.7
2026-06-15,18.6,8.2,0,28.1
2026-06-16,19.3,5.1,0.7,19.1
2026-06-17,24.6,11.1,2.1,19.1
2026-06-18,29.6,12.6,0,8.3
2026-06-19,32.4,14.2,0,11.2
2026-06-20,30.7,15.8,0,13.3
2026-06-21,31.4,15.8,0,27.4
2026-06-22,27.5,15,1.7,16.6
2026-06-23,28.9,17.2,0,16.6
2026-06-24,30.7,16.4,0,11.9
2026-06-25,32.4,15.2,0,10.4
2026-06-26,34.4,16,0,13
2026-06-27,36.2,17,0,12.6
2026-06-28,36.1,17.4,0,12.6
2026-06-29,29.7,20.6,0,16.9
2026-06-30,27.2,17.9,3.3,11.9
2026-07-01,20.4,15.8,13.3,14.4
2026-07-02,25.3,12.9,0,18
2026-07-03,22.8,14.1,0.9,21.2
2026-07-04,24.1,8.2,0,23.8
2026-07-05,21.9,15,0.1,24.8
2026-07-06,22,15.5,0,23.8
2026-07-07,28.5,13.6,0,32
2026-07-08,23.8,15.5,0,25.6
2026-07-09,24.7,9.8,0,18.4
2026-07-10,28,11,0,18
2026-07-11,25.7,16.9,0,18.7
2026-07-12,26.1,10.4,0,16.2
2026-07-13,29.6,11.9,0,17.6
2026-07-14,28.7,16.7,6.9,33.5
2026-07-15,26.7,13.8,0,19.1
2026-07-16,28.9,17.1,0,20.5
2026-07-17,26.6,15.8,16.5,20.2
2026-07-18,24.8,15.5,8.1,23.8
2026-07-19,20.1,11.8,0,24.8
2026-07-20,19.9,7.1,0,23.4
2026-07-21,20.3,7,0,12.2
2026-07-22,21.4,5.8,0,20.2
2026-07-23,17.4,8.8,0,25.2
2026-07-24,23.4,4.2,0,12.6
2026-07-25,28.3,6.7,0,13.7
2026-07-26,27.4,9.9,0,25.2
2026-07-27,22.4,15.3,0,28.4
2026-07-28,26.6,8.7,0,16.6
2026-07-29,32.4,13.7,0,18.7
2026-07-30,35.2,14.6,0,19.4
2026-07-31,34.9,16.7,0,24.1
2026-08-01,26,17.9,5.7,15.5
2026-08-02,26.5,15.9,0,22.3
2026-08-03,34.3,18.2,0,22.7
2026-08-04,35.4,17.4,0,15.8
2026-08-05,33,20.5,0,18
2026-08-06,27.2,18.2,3.4,16.2
2026-08-07,26.8,14.1,0,23.8
2026-08-08,27.2,14.6,0,23.8
2026-08-09,31.2,12.4,0,17.6
2026-08-10,31.6,15.6,0,21.2
2026-08-11,27.1,17.2,0,24.1
2026-08-12,26.4,14.7,0,23
2026-08-13,28,13,0,22
2026-08-14,31.1,11.3,0,15.1
2026-08-15,33.9,10.4,0,9.7
2026-08-16,29.1,13.8,8.8,15.1
2026-08-17,22.2,13.8,1.2,28.8
2026-08-18,16.1,10.3,9.6,18.7
2026-08-19,25,16.2,2.8,23.8
2026-08-20,24.4,14.6,0.8,19.1
2026-08-21,22.6,12.8,19.8,17.3
2026-08-22,16.8,10.6,2.9,22.3
2026-08-23,20.3,6.5,0,15.1
2026-08-24,21.4,6.9,0,18.7
2026-08-25,20.9,13.3,0.5,30.6
2026-08-26,25.1,12.6,0,18.7
2026-08-27,27,15,0,23
2026-08-28,24.9,16.7,5.6,24.8
2026-08-29,22.2,14.1,8.7,20.2
2026-08-30,24.2,12.6,0,21.6
2026-08-31,21.9,13.4,8.1,23.4
2026-09-01,21.5,11.4,0.1,18.7
2026-09-02,22.1,8,0,11.2
2026-09-03,21.6,10.1,1.8,23
2026-09-04,27,14,0,27.4
2026-09-05,22,10.8,6.7,24.1
2026-09-06,21.4,5.7,0,9.4
2026-09-07,23.2,7.6,0,11.5
2026-09-08,29.1,10.7,0,18
2026-09-09,18.9,12.2,2.5,29.2
2026-09-10,17.8,6.6,0,9
2026-09-11,19,8.3,0,14.8
2026-09-12,20.2,6,0,14.8
2026-09-13,16.2,10.6,7.3,13.3
2026-09-14,19.3,11.8,5.4,13.7
2026-09-15,22.4,8.8,0,9.7
2026-09-16,22.5,10.4,0,26.3
2026-09-17,18.4,8.5,0,14.8
2026-09-18,18,7.3,0,18
2026-09-19,19.9,6.3,0,18.4
2026-09-20,20.3,8.4,3.5,22.3
2026-09-21,14.2,6.7,0,23.4
2026-09-22,14.1,4,0,11.9
2026-09-23,17.1,1.2,0,9
2026-09-24,14.8,4.6,1.4,25.6
2026-09-25,16.5,2.5,0,13
