date,tmax,tmin,precip,wind
2026-06-12,19.2,10.1,8.3,21.6
2026-06-13,19.7,13,7.1,26.6
2026-06-14,15.8,11.5,0.5,23
2026-06-15,15.5,10.1,0,20.2
2026-06-16,22.3,7.7,0.3,11.2
2026-06-17,23.5,11.1,0,11.9
2026-06-18,29.6,15.8,0,9.7
2026-06-19,31,16.8,6.3,24.1
2026-06-20,31.7,18.6,3.2,25.6
2026-06-21,27.2,17.9,6.6,22.7
2026-06-22,28.1,18.7,0,11.9
2026-06-23,27.7,16.9,0,7.9
2026-06-24,30.6,16.3,0,7.9
2026-06-25,31.7,18.2,0,11.5
2026-06-26,34.3,18.1,0,12.6
2026-06-27,35,20.6,0,9
2026-06-28,32.8,20.5,0,16.6
2026-06-29,24.6,18.2,7.2,19.8
2026-06-30,25.5,13.9,10.1,20.9
2026-07-01,24.1,15.5,2.9,20.5
2026-07-02,25,12,1,29.9
2026-07-03,20.7,10.4,0,22
2026-07-04,23.8,9.3,0.2,26.3
2026-07-05,21.5,15.1,3.8,21.6
2026-07-06,23.7,15,0.4,23
2026-07-07,25.8,17,0,25.9
2026-07-08,21.6,15.1,0.8,21.6
2026-07-09,20.9,15,0,13
2026-07-10,25.5,11.7,0,11.5
2026-07-11,27,12.2,0,14
2026-07-12,28.3,12.5,0,15.1
2026-07-13,29.2,13.4,0,16.9
2026-07-14,26.2,15.7,7.9,31.3
2026-07-15,26.3,14.1,0,18.7
2026-07-16,27.1,11.4,4.6,23.8
2026-07-17,26.3,13.5,1,13.3
2026-07-18,20.6,16.2,0,19.8
2026-07-19,18.5,11.8,0,23.8
2026-07-20,18.8,10.7,0,19.8
2026-07-21,22,9.7,0,15.8
2026-07-22,20,10.7,0.2,22.7
2026-07-23,19.3,12.2,0,22
2026-07-24,22.7,8.4,0,13
2026-07-25,27.2,8.9,0,16.9
2026-07-26,25.3,13.5,5.3,25.6
2026-07-27,21.2,14.9,0.2,19.1
2026-07-28,26.7,10.4,0,10.1
2026-07-29,33.9,12.3,0,13
2026-07-30,37.5,14.7,0.6,32.4
2026-07-31,28.5,13.8,0.1,16.9
2026-08-01,23.4,14.9,0.3,14
2026-08-02,27,8.4,0,16.2
2026-08-03,32.3,11.1,0,18.7
2026-08-04,31.3,18.8,6.3,17.3
2026-08-05,30.7,18.5,0,21.6
2026-08-06,24.4,15.4,0,18.7
2026-08-07,22,9.1,0,13.7
2026-08-08,26.6,8.4,0,14.8
2026-08-09,32.7,10.2,0,17.6
2026-08-10,30.2,15.9,0,27.4
2026-08-11,23.5,9.2,0,11.9
2026-08-12,26.5,7.6,0,13.7
2026-08-13,30.8,8.6,0,16.9
2026-08-14,34.9,10.6,0,13.3
2026-08-15,31.3,13.6,0.1,20.9
2026-08-16,25.6,15.3,0,13
2026-08-17,17.7,13.6,0.4,18.7
2026-08-18,17.8,12.3,11,15.1
2026-08-19,20.3,14.4,23.2,18
2026-08-20,23.5,14.9,0.1,19.1
2026-08-21,21.6,12.6,2.4,11.9
2026-08-22,20.3,12.6,5.5,21.6
2026-08-23,18.4,10.8,0,15.5
2026-08-24,19.9,7.7,0,14
2026-08-25,23,8.7,0.1,21.2
2026-08-26,18.6,14,2.1,15.1
2026-08-27,28.4,12.1,0,18.4
2026-08-28,23,16.2,9.6,14.4
2026-08-29,23.7,13.5,0.3,21.6
2026-08-30,22.2,15.9,0.5,24.5
2026-08-31,22.3,14.2,2.2,26.3
2026-09-01,22.7,13,0.5,24.1
2026-09-02,21.2,10.3,0,18.7
2026-09-03,21,13.6,1.3,19.8
2026-09-04,25,15.8,4.6,33.1
2026-09-05,19.8,13,0,27
2026-09-06,21.8,7.8,0,10.8
2026-09-07,28.1,12.2,0.1,14.4
2026-09-08,27.3,15.3,0,23
2026-09-09,21.4,12.7,0.6,30.6
2026-09-10,17.7,9.4,0.8,13
2026-09-11,21.2,5.7,0,15.1
2026-09-12,20.1,11.2,0,12.6
2026-09-13,17.4,13.9,8.9,10.8
2026-09-14,22,13.1,0,7.9
2026-09-15,26.9,12.8,0,14.8
2026-09-16,19.5,12.3,3.5,23
2026-09-17,17.7,9.4,0,15.5
2026-09-18,18.1,11.9,0,16.2
2026-09-19,21.1,11.1,0,20.2
2026-09-20,17.8,11.6,4.6,20.2
2026-09-21,17.4,11,0,21.2
2026-09-22,17.5,8.7,0,11.2
2026-09-23,20.4,3.8,0,10.1
2026-09-24,17.1,8.4,0.8,24.1
2026-09-25,19.7,3.8,0,7.9
