date,tmax,tmin,precip,wind
2026-06-12,17.3,10.8,2.7,19.4
2026-06-13,17.8,11.6,6.5,21.6
2026-06-14,15.6,10.3,5.7,26.6
2026-06-15,15.6,12,0,23.8
2026-06-16,19.4,9.6,0,15.1
2026-06-17,22.4,7.4,0,14.4
2026-06-18,24.7,17.5,0.1,9.7
2026-06-19,28,18.1,3.1,15.8
2026-06-20,27.9,19.5,0,13.3
2026-06-21,26.2,19.8,0,15.8
2026-06-22,24.9,14.6,0,12.2
2026-06-23,25.9,10.8,0,9.7
2026-06-24,30.7,13.4,0,9.7
2026-06-25,29.8,18.5,0,13
2026-06-26,32.3,14.7,0,11.2
2026-06-27,37.9,21.7,0,11.9
2026-06-28,33,23,0,19.4
2026-06-29,25.7,18.4,4.7,17.3
2026-06-30,27.2,14.1,0,10.8
2026-07-01,24,17.5,0,11.5
2026-07-02,24.9,14.9,1.6,20.2
2026-07-03,20.3,13.9,0,30.2
2026-07-04,19.3,13,0.5,19.4
2026-07-05,21.8,14,2.6,23
2026-07-06,19.2,10.9,4,18.4
2026-07-07,18.9,14.5,4.8,23.8
2026-07-08,21.8,10.7,0,23
2026-07-09,22.9,12.5,0,13.7
2026-07-10,24.7,14.2,0,13
2026-07-11,26.3,13.9,0,12.6
2026-07-12,29.3,16.3,0,13.7
2026-07-13,27.1,15.8,0,17.6
2026-07-14,24.6,14.9,0,16.6
2026-07-15,25.7,14.3,0,13.3
2026-07-16,28.6,16.5,0,13
2026-07-17,28,16,0,10.4
2026-07-18,22.4,15.9,0,23.8
2026-07-19,20.2,12.8,9.2,18
2026-07-20,17.2,12.4,11.4,18.7
2026-07-21,23.4,11,0,15.8
2026-07-22,19.6,12.8,3.2,21.2
2026-07-23,21.2,13.7,1.4,22
2026-07-24,22.3,11.5,0,13.7
2026-07-25,26.3,13.3,0,14.4
2026-07-26,20.1,16.6,11.6,14.8
2026-07-27,20.5,14.5,0.5,23.4
2026-07-28,22.8,13.5,0,14.4
2026-07-29,27.9,17.6,0,16.6
2026-07-30,34.1,19.4,0,25.6
2026-07-31,25.9,16.9,1.3,11.5
2026-08-01,21.8,14.7,0.8,13.3
2026-08-02,24.3,11.7,0,8.6
2026-08-03,28.1,14.2,0,12.6
2026-08-04,27.2,16.6,20.6,17.3
2026-08-05,30.1,18.7,0.1,14.8
2026-08-06,25.2,18.1,0,18.7
2026-08-07,19.2,15.5,0,16.6
2026-08-08,22.8,10.4,0,10.1
2026-08-09,29.3,13.5,0,14.4
2026-08-10,23.4,15.2,1.8,15.5
2026-08-11,20.5,12,0,18.7
2026-08-12,23.3,9.4,0,9.7
2026-08-13,27.2,12.1,0,9.7
2026-08-14,31.3,16.9,0,15.8
2026-08-15,31,19,0.4,15.5
2026-08-16,23.4,15.5,0,12.6
2026-08-17,19,14.8,0.1,13.3
2026-08-18,20.4,13.5,0,16.9
2026-08-19,19.9,15.1,3.2,20.5
2026-08-20,23.2,14.5,1.4,14.8
2026-08-21,23.1,13.9,0,14.8
2026-08-22,19.1,14,0.1,23
2026-08-23,18.6,13.1,6.7,20.2
2026-08-24,20.8,11.3,0,14
2026-08-25,24.2,12.3,0,15.1
2026-08-26,24.8,12.8,0,17.6
2026-08-27,27.1,13.4,0,20.5
2026-08-28,27.5,18,9.7,22.3
2026-08-29,22.2,15.2,0,20.5
2026-08-30,21.6,17.1,0.4,23.8
2026-08-31,24.8,15.9,0,20.2
2026-09-01,21.6,15,1,20.9
2026-09-02,22.2,13,0,14
2026-09-03,19.5,14.8,0.6,25.9
2026-09-04,19.7,15.5,31.9,25.6
2026-09-05,19.4,13.1,5.3,26.3
2026-09-06,18.7,12,0,19.1
2026-09-07,22,12.8,0,18.4
2026-09-08,24,15.9,0,25.6
2026-09-09,19.4,14.9,0,20.9
2026-09-10,17.5,11.7,0,18.7
2026-09-11,18.9,11,0,12.2
2026-09-12,20.4,14.2,0,14.8
2026-09-13,18.8,14.5,2.1,11.2
2026-09-14,17.3,11.5,0,12.6
2026-09-15,22.9,11.3,0,13
2026-09-16,20.1,14.1,11.7,14.8
2026-09-17,18,11.6,0,16.9
2026-09-18,18.1,13.8,0.2,18.4
2026-09-19,18.9,13.9,0,21.2
2026-09-20,19.5,13.1,4.1,23.4
2026-09-21,17.2,12,0.3,29.9
2026-09-22,18.7,8.5,0,12.6
2026-09-23,18.9,7,0.1,12.2
2026-09-24,14.8,12.7,2.1,18.4
2026-09-25,15.1,10.4,0,14
