date,tmax,tmin,precip,wind
2026-06-12,17,12,4.2,21.6
2026-06-13,26,15.2,0,28.4
2026-06-14,25.1,12.5,0,23
2026-06-15,24.3,10,0,15.5
2026-06-16,22.3,12.3,0.2,8.6
2026-06-17,28.8,13.4,0,13.3
2026-06-18,33.1,14.8,0,6.5
2026-06-19,33.8,14.4,0,15.1
2026-06-20,32.7,14.7,0,11.9
2026-06-21,33.2,15.9,0,7.6
2026-06-22,33.2,16.8,0,6.5
2026-06-23,33.3,17.8,0,8.6
2026-06-24,34.4,17.5,0,9.4
2026-06-25,36.1,17.2,0,11.9
2026-06-26,36,17.2,0,7.9
2026-06-27,37.6,16.3,0,11.2
2026-06-28,35,18.1,0,19.8
2026-06-29,30.2,18.5,0,11.2
2026-06-30,31.1,17,1.7,11.2
2026-07-01,20.4,15.9,24.9,17.3
2026-07-02,26.9,12.3,0,14.8
2026-07-03,26.4,17.3,0,9.4
2026-07-04,27.6,11.3,0,18
2026-07-05,27.8,10.4,5.1,18
2026-07-06,28.4,14.2,0,17.3
2026-07-07,31.8,12.3,0,22.7
2026-07-08,27.3,15.5,0,7.2
2026-07-09,30,13.3,0,7.6
2026-07-10,32.2,15.9,0,11.2
2026-07-11,32.8,15.8,0,9.7
2026-07-12,30.5,16.3,0,11.2
2026-07-13,32.4,15.3,0,9.7
2026-07-14,31.5,16.9,3,15.1
2026-07-15,28.7,17.2,14.2,9.4
2026-07-16,30.8,15.1,2.2,11.9
2026-07-17,28.8,17.1,0.1,18.4
2026-07-18,27.6,15.3,3.9,14.8
2026-07-19,24.5,15.8,3.1,14.4
2026-07-20,25,11.5,0,10.1
2026-07-21,23.7,11.1,0,12.6
2026-07-22,25.7,9.8,0,15.1
2026-07-23,25.3,12.9,0,11.2
2026-07-24,27.8,8,0,7.2
2026-07-25,31.8,9.6,0,19.1
2026-07-26,27.5,19.9,0,25.9
2026-07-27,27.6,19,0,22.7
2026-07-28,31.4,13.7,0,7.6
2026-07-29,35.4,14.4,0,16.9
2026-07-30,36.3,14.8,0,15.1
2026-07-31,34.2,15.8,1.6,23.8
2026-08-01,29.2,17.5,7,13.3
2026-08-02,32,17.8,0,11.5
2026-08-03,36.4,17.7,0,11.9
2026-08-04,36.5,17.5,0,11.9
2026-08-05,32.8,20.2,0.1,13.3
2026-08-06,28.1,20.2,2.6,11.5
2026-08-07,29.6,15.8,0,10.4
2026-08-08,32.2,14,0,9.4
2026-08-09,34.5,14.6,0,14
2026-08-10,33.4,15.6,0,18
2026-08-11,33.2,17.2,0,11.2
2026-08-12,32.5,16.8,0,12.6
2026-08-13,34.2,13.8,0,8.6
2026-08-14,36.1,12.3,0,7.6
2026-08-15,35.8,14.1,1.7,22.7
2026-08-16,30.2,16.1,1.3,11.2
2026-08-17,22.4,16.9,15.2,16.9
2026-08-18,27.1,18.3,0.2,29.9
2026-08-19,31.6,18.1,0,20.2
2026-08-20,28.4,18.6,3.3,18.4
2026-08-21,18.7,14.5,42.1,9.7
2026-08-22,21.7,12.4,0.8,16.6
2026-08-23,23.7,9.9,0,8.6
2026-08-24,25.7,12.1,0,11.2
2026-08-25,22.7,13.4,5.1,10.4
2026-08-26,28.3,15.4,0.7,6.8
2026-08-27,31.6,15.4,0,7.2
2026-08-28,24.1,16.7,,15.1
2026-08-29,23.8,13.1,,13.3
2026-08-30,26.2,14.2,,16.2
2026-08-31,24.3,14.3,,23.4
2026-09-01,24.2,10.9,0,14.8
2026-09-02,25.5,10.3,0,15.1
2026-09-03,25.9,11,0,19.4
2026-09-04,29.9,12.6,0,18.7
2026-09-05,22.7,15.7,0.7,17.3
2026-09-06,26.6,10.8,0,9.4
2026-09-07,28.9,12.1,0.3,16.2
2026-09-08,31.1,13.4,0,17.3
2026-09-09,19.6,12.2,7.4,17.3
2026-09-10,18.7,9.2,0,13.3
2026-09-11,20.8,6.7,0,9
2026-09-12,24.1,6.2,0,7.9
2026-09-13,24.2,8.2,3.5,14
2026-09-14,23.9,14.8,5.6,9
2026-09-15,26.2,10.9,0,8.6
2026-09-16,23.5,13.8,9.1,17.3
2026-09-17,19.9,10,0,11.5
2026-09-18,21,7.9,0,15.1
2026-09-19,23,8.2,0,9.7
2026-09-20,24.4,8.2,0,16.2
2026-09-21,19.1,9.6,0,9.7
2026-09-22,19.8,4.2,0,8.6
2026-09-23,21.5,4.9,0,10.1
2026-09-24,18.4,6.9,0,14
2026-09-25,21.6,2.4,0,7.9
