date,tmax,tmin,precip,wind
2026-06-12,18.6,11.1,2.5,17.6
2026-06-13,19.9,12.7,0.5,32.8
2026-06-14,16.2,10.6,0.7,26.3
2026-06-15,16.4,11.4,0,23.8
2026-06-16,22.7,6.6,0,11.5
2026-06-17,23.3,9.6,0,16.6
2026-06-18,29,18.2,0,17.3
2026-06-19,31.8,19.5,1.1,
2026-06-20,30.7,18.6,10.8,20.5
2026-06-21,27.5,18.9,2,20.2
2026-06-22,25.4,16.7,0,7.2
2026-06-23,26.7,15.5,0,8.6
2026-06-29,23.4,17.3,10.8,30.2
2026-06-30,25.9,13.7,0,12.6
2026-07-01,23.7,15.8,9.6,17.6
2026-07-02,25.2,12.9,0.2,23.8
2026-07-03,21,13.6,0,25.2
2026-07-04,21.7,10.8,0,18.7
2026-07-05,19.1,15.4,7.3,21.6
2026-07-06,22.4,13.7,1.8,22.7
2026-07-07,24.1,17.2,0.7,25.6
2026-07-08,22.7,13.6,2,25.2
2026-07-09,20,13.4,0,16.6
2026-07-10,24.6,13.3,0,10.4
2026-07-11,26.6,13.1,0,13
2026-07-12,28.7,12.4,0,22
2026-07-13,28.7,13.6,0,13.3
2026-07-14,23.8,15.3,3.3,15.8
2026-07-15,26.2,12.3,0,14.4
2026-07-16,27.3,13.3,0,10.4
2026-07-17,28.8,16,0,15.1
2026-07-18,23.2,16.1,0,21.6
2026-07-19,18.6,13.3,0.2,25.2
2026-07-20,19.1,12.7,0.7,21.2
2026-07-21,22,12.5,0,18.4
2026-07-22,20.1,9.6,0.6,26.6
2026-07-23,18.7,12.5,1.7,22.7
2026-07-24,22.8,7.4,0,16.2
2026-07-25,28.3,11.1,0,18.7
2026-07-26,25.8,14.2,0.9,19.4
2026-07-27,21.8,14.1,7.2,20.2
2026-07-28,24.6,10.6,0,13.7
2026-07-29,32.6,17.2,0,13
2026-07-30,36.6,22,0.2,25.2
2026-07-31,29.1,15.3,0,15.5
2026-08-01,22.2,13.4,1,15.5
2026-08-02,24.9,11.3,0,16.2
2026-08-03,30.7,11.1,0,12.2
2026-08-04,31.3,19.8,2.9,13
2026-08-05,32,20.6,0.2,15.8
2026-08-06,25.3,18.1,0,19.8
2026-08-07,21.2,10.5,0,15.5
2026-08-08,24.7,10.6,0,17.3
2026-08-09,33,14,0,16.9
2026-08-10,29.7,18.2,0,24.8
2026-08-11,21.5,9.8,0,14.4
2026-08-12,25.1,7.5,0,12.2
2026-08-13,29.4,11.7,0,17.6
2026-08-14,34.7,15.5,0,10.1
2026-08-15,32.4,18.5,0,18.7
2026-08-16,24.6,15.7,0,13.3
2026-08-17,18.6,12.2,0.1,20.5
2026-08-18,19,11.4,0.9,11.2
2026-08-19,21.9,15.5,12.3,12.2
2026-08-20,24,14.2,1.8,16.9
2026-08-21,23,12.9,0,16.6
2026-08-22,19.1,13,2,21.6
2026-08-23,19.4,11.8,0,18.7
2026-08-24,19.5,9.2,0,11.9
2026-08-25,23.5,7,0,17.6
2026-08-26,17.7,13.9,0,14.4
2026-08-27,28.3,11.4,0,18
2026-08-28,27.1,18.2,0,20.9
2026-08-29,25.2,14.6,1.3,24.5
2026-08-30,23.7,16,0,23.8
2026-08-31,22.3,15.1,5.1,22.3
2026-09-01,21.8,15.1,0.1,20.9
2026-09-02,20.7,10.2,0,15.5
2026-09-03,21.5,15.6,0,22
2026-09-04,25.9,16.2,10.3,33.8
2026-09-05,19.9,14.3,0.9,27.7
2026-09-06,20.3,11.5,0,15.1
2026-09-07,27.2,13.7,0,18
2026-09-08,27.7,15.4,0,14.8
2026-09-09,23.2,14.6,0,24.5
2026-09-10,16.9,9.4,0,20.9
2026-09-11,20.9,9.4,0,15.5
2026-09-12,21,14.4,0,12.2
2026-09-13,19.4,14.4,1.5,16.2
2026-09-14,20.6,12.6,1.3,14
2026-09-15,26.3,11.9,0,14.4
2026-09-16,21.3,12.9,4.1,19.4
2026-09-17,18.7,9.4,0,16.2
2026-09-18,19.1,14.1,0.1,19.1
2026-09-19,21.4,12.3,0,17.6
2026-09-20,19.1,12.9,1.3,25.9
2026-09-21,17.7,12.2,0,25.9
2026-09-22,17,7.6,0,15.1
2026-09-23,19.9,3.7,0,9.4
2026-09-24,16.7,11.9,2.4,23.4
2026-09-25,18.8,5.6,0,14
