target,provider,lead,tmax,tmin,precip,wind
2026-09-11,arpege,1,24.3,9.8,0,11.2
2026-09-11,arpege,2,24.3,11.5,0,10.8
2026-09-11,arpege,3,24,12.7,0,16.2
2026-09-11,ecmwf,1,25,10.7,0,10.2
2026-09-11,ecmwf,2,24.8,11.7,0,8.9
2026-09-11,ecmwf,3,25.2,12.3,0,13.3
2026-09-11,ecmwf,4,22.7,10.6,0,9.9
2026-09-11,ecmwf,5,22.2,11,0,7.7
2026-09-11,ecmwf,6,20.3,12.2,6.6,15.4
2026-09-11,ecmwf,7,19.7,11.9,1.8,10.9
2026-09-11,gem,1,21,5,0,9
2026-09-11,gem,2,21.1,5.3,0,9.4
2026-09-11,gem,3,21,8.4,0,8.3
2026-09-11,gem,4,21,6.8,0,5.8
2026-09-11,gem,5,20.3,9.8,0,8.6
2026-09-11,gem,6,17.1,7,0.3,8.3
2026-09-11,gem,7,19.6,4.5,0,13.7
2026-09-11,gfs,1,24.2,14.2,0.2,15.7
2026-09-11,gfs,2,23.2,14,0,14.5
2026-09-11,gfs,3,22.9,13.8,0,12.7
2026-09-11,gfs,4,22.7,14.9,0,8.4
2026-09-11,gfs,5,22,14.3,0,12.9
2026-09-11,gfs,6,23.5,14.2,0.2,15.3
2026-09-11,gfs,7,21,14.3,11.4,21.1
2026-09-11,icon,1,23.2,9.2,0,9.4
2026-09-11,icon,2,23.9,9.8,0,8
2026-09-11,icon,3,23.2,8.8,0,6.5
2026-09-11,icon,4,21.4,10.9,0,6.4
2026-09-11,icon,5,22.5,8.4,0,7.2
2026-09-11,icon,6,21.5,7.6,8.4,16.8
2026-09-11,ukmo,1,23.5,14.8,0,14
2026-09-11,ukmo,2,22.9,13.2,0,11.5
2026-09-11,ukmo,3,22.5,13.6,0,8.3
2026-09-11,ukmo,4,20.5,14.9,0,10.1
2026-09-11,ukmo,5,19.6,13.9,0,7.9
2026-09-11,ukmo,6,18.8,13.5,4,15.1
2026-09-12,arpege,1,25,12.9,0,10.1
2026-09-12,arpege,2,25.3,13.2,0,11.5
2026-09-12,arpege,3,25.1,14.1,0,8.7
