date,tmax,tmin,precip,wind
2026-06-12,15.9,9.5,0.4,15.5
2026-06-13,19.4,12.5,1.2,28.4
2026-06-14,16,10.1,3,31.7
2026-06-15,17.2,10.6,0.1,29.9
2026-06-16,20.9,9.3,0,14.4
2026-06-17,24.1,10.7,0,15.8
2026-06-18,29.4,16.5,0,17.3
2026-06-19,32.8,18.8,0,19.1
2026-06-20,29.7,19.5,0.5,24.5
2026-06-21,26.6,19.3,3.9,24.5
2026-06-22,26.8,17.9,0,15.8
2026-06-23,28.7,15.5,0,15.8
2026-06-24,33.2,18.5,0,
2026-06-25,33.7,22.6,0,15.5
2026-06-26,36,18,0,14.8
2026-06-27,39.6,21,0,21.6
2026-06-28,37.2,23.8,0,20.9
2026-06-29,26.5,17.7,,22
2026-06-30,29,16.4,,12.2
2026-07-01,22.5,16.3,,11.9
2026-07-02,26.9,13.6,,23.8
2026-07-03,20.6,12.8,0,28.4
2026-07-04,18.3,11.6,3.9,19.1
2026-07-05,21.5,14.9,0.3,23
2026-07-06,18.8,14.8,4.9,20.5
2026-07-07,21.9,16.6,0.6,26.3
2026-07-08,23.2,11.4,0.2,22.3
2026-07-09,21.3,12.1,0,20.2
2026-07-10,26.4,13.1,0,17.3
2026-07-11,27.1,13.6,0,16.9
2026-07-12,29.2,16.3,0,20.2
2026-07-13,28.9,16.3,0,20.2
2026-07-14,24.9,15.8,12.9,19.4
2026-07-15,26.3,15.6,0,19.1
2026-07-16,30.1,14.5,0,12.6
2026-07-17,27.7,18.1,3.3,16.2
2026-07-18,23.6,15.5,0,22
2026-07-19,19.3,13.7,0.6,23
2026-07-20,17.1,11.8,8,22.3
2026-07-21,22.4,11.1,0,18.4
2026-07-22,18.9,12.1,0,23.8
2026-07-23,19.5,12.4,0.6,20.2
2026-07-24,21.6,11,0,17.3
2026-07-25,29.4,12.3,0,15.5
2026-07-26,25.7,16.6,2.1,14
2026-07-27,21.5,14.4,10.4,21.6
2026-07-28,23.2,11.1,0,17.3
2026-07-29,31.8,14.1,0,11.2
2026-07-30,37.4,19.1,1.4,24.1
2026-07-31,29.1,16.6,2.9,17.6
2026-08-01,21.4,14.7,18.7,16.9
2026-08-02,25.1,13.6,0,16.2
2026-08-03,30.5,13.4,0,18.7
2026-08-04,30.1,19.2,6.7,14.8
2026-08-05,30.7,20.3,6.2,12.6
2026-08-06,26.5,18.4,0,20.2
2026-08-07,20.7,13.3,0,16.9
2026-08-08,23.8,11.6,0,11.5
2026-08-09,32,12.5,0,11.5
2026-08-10,29.7,17.7,0.2,25.6
2026-08-11,21.3,11.9,0,16.6
2026-08-12,25.2,11.2,0,11.2
2026-08-13,28.7,12.4,0,14.4
2026-08-14,32.7,13.5,0,10.8
2026-08-15,34.4,17.5,0,20.5
2026-08-16,24,16.4,0,14.4
2026-08-17,19,14.5,1.3,14
2026-08-18,20.7,11.9,0,16.6
2026-08-19,20.8,15.4,3.8,15.8
2026-08-20,23.7,14.3,4.7,16.9
2026-08-21,23.3,13.4,0.2,14.8
2026-08-22,20.2,13.6,0.2,23.8
2026-08-23,18.8,11.7,0,22.7
2026-08-24,20,10.5,0,14.4
2026-08-25,24.6,10.4,0,30.6
2026-08-26,20.9,13.5,0.1,24.1
2026-08-27,29,12.6,0,19.1
2026-08-28,27.2,18.2,0.1,17.3
2026-08-29,25.6,15.4,0,25.2
2026-08-30,25.3,15.9,0.6,27.4
2026-08-31,23.9,14.3,8.7,25.9
2026-09-01,23.2,13.5,0.3,24.8
2026-09-02,20.7,11.9,0,13.3
2026-09-03,21.9,13,0,23.4
2026-09-04,24.7,14.9,8.5,36.4
2026-09-05,18.9,12.7,2.4,30.2
2026-09-06,19.5,9.8,0,16.9
2026-09-07,22.6,11,0,11.2
2026-09-08,28.4,16.7,0,20.9
2026-09-09,21.7,14.7,0,27.4
2026-09-10,16.8,11.5,0.1,23.8
2026-09-11,21.2,9.6,0,13.3
2026-09-12,20.8,13.8,0,15.8
2026-09-13,19.6,14,1.2,14.8
2026-09-14,19.3,11.4,0.4,16.2
2026-09-15,25,11.2,0,14
2026-09-16,19.1,13.5,7.4,13.7
2026-09-17,18.2,9.7,0,19.1
2026-09-18,19.5,11.8,0,20.2
2026-09-19,20.1,10.8,0,26.6
2026-09-20,19.1,12.4,1.2,24.5
2026-09-21,15.6,10.9,1.6,23.4
2026-09-22,18,8.1,0,16.9
2026-09-23,19.2,8.2,0,10.4
2026-09-24,15.2,11.6,1.2,24.1
2026-09-25,16.3,9.8,0,16.9
