date,tmax,tmin,precip,wind
2026-06-12,13.5,6.3,10.2,9.7
2026-06-13,22.5,13.6,4.7,26.3
2026-06-14,16.5,8.4,0,22
2026-06-15,18.4,7.2,0,19.1
2026-06-16,19.7,4.2,0.4,13.3
2026-06-17,24.1,10.9,0.6,16.6
2026-06-18,28.2,12.2,0,9.7
2026-06-19,31.9,13.2,0,9.4
2026-06-20,30.6,14.7,0,12.6
2026-06-21,30.7,15,0.8,13.7
2026-06-22,29,13.2,0,7.9
2026-06-23,28.9,14.9,0,12.6
2026-06-24,30.4,14.7,0,11.2
2026-06-25,31.2,14.4,0,9.7
2026-06-26,32.8,14.9,0,7.6
2026-06-27,35,15.9,0,10.1
2026-06-28,35,15.8,0.1,13.7
2026-06-29,30.1,17.6,0,16.2
2026-06-30,27.6,16,18.9,15.1
2026-07-01,21.7,14.3,25.8,14.4
2026-07-02,23.7,12.4,0,13.7
2026-07-03,22,13.7,0,20.2
2026-07-04,22.6,7.9,0,19.4
2026-07-05,20.5,12.7,0,16.2
2026-07-06,20.3,14.3,6.9,14.4
2026-07-07,26,12,0,23
2026-07-08,23,14.8,0.9,20.2
2026-07-09,22.9,8.7,0,18.7
2026-07-10,26.9,9.2,0,11.9
2026-07-11,26,13.2,0,13.7
2026-07-12,24.6,11,0,12.6
2026-07-13,29.1,10.8,0,10.1
2026-07-14,28,14.5,14.9,15.5
2026-07-15,25.5,13.3,10.5,13.3
2026-07-16,26.7,15.8,0.1,9.4
2026-07-17,25.4,15.2,6.2,13
2026-07-18,23.3,13.2,3.3,13.7
2026-07-19,19.1,10.5,12.4,18
2026-07-20,20.7,6,0,15.1
2026-07-21,19.5,5.9,0,15.5
2026-07-22,21.2,6.5,0,14.4
2026-07-23,18.4,7.2,0,22
2026-07-24,22.8,3.9,0,10.1
2026-07-25,27.6,6.2,0,9
2026-07-26,23.9,9.9,0,15.1
2026-07-27,21.8,12.9,2.6,18.4
2026-07-28,26.4,8.8,0,10.1
2026-07-29,31.4,11.7,0,8.3
2026-07-30,33,13.2,0,13.7
2026-07-31,33.6,16.2,2.3,13
2026-08-01,27.2,15.3,0.5,12.2
2026-08-02,27.1,16.7,0,13.7
2026-08-03,33.5,16.3,0,10.1
2026-08-04,34.7,15.4,0,10.8
2026-08-05,33,18.7,0,10.4
2026-08-06,25.3,18.4,6.9,9
2026-08-07,24.6,15.8,0,7.6
2026-08-08,27.9,14.4,0,10.1
2026-08-09,30.3,10.9,0,7.9
2026-08-10,31.2,13.7,5.8,15.5
2026-08-11,27.8,15.3,0,13.3
2026-08-12,28.2,13.7,0,16.2
2026-08-13,28.8,9.5,0,11.9
2026-08-14,31.7,8.7,0,7.9
2026-08-15,33.1,10,0,9.7
2026-08-16,28.4,11.5,0,9.4
2026-08-17,23.2,12.8,13.6,18.7
2026-08-18,16.1,9.2,14.4,7.2
2026-08-19,25.5,15.7,5.8,13.7
2026-08-20,24.3,14.3,2.3,12.6
2026-08-21,24.9,12.8,20.8,19.1
2026-08-22,17.1,9.1,3.8,14.4
2026-08-23,20.8,5,0,13.3
2026-08-24,22.1,5.5,0,12.2
2026-08-25,21.3,13.8,3.2,14
2026-08-26,24.4,12.2,0,7.9
2026-08-27,29,12,0,6.8
2026-08-28,29.6,15.1,10.6,25.2
2026-08-29,22.1,12.9,3.6,12.6
2026-08-30,24.6,10.3,0.1,13.7
2026-08-31,22,12.8,8.6,14.8
2026-09-01,21.5,11.6,0,13.7
2026-09-02,22.2,8.5,0,10.1
2026-09-03,21.1,11.4,2.2,15.5
2026-09-04,26.7,12.7,0,16.6
2026-09-05,20,10.6,5.2,18
2026-09-06,21.3,5.1,0,11.5
2026-09-07,23.9,6.3,0,7.2
2026-09-08,28.8,10.8,2.1,11.5
2026-09-09,19.4,11.5,12.7,13.3
2026-09-10,17.4,6.8,0,6.8
2026-09-11,17.8,8.6,0,12.2
2026-09-12,19.9,4.8,0,10.4
2026-09-13,15.3,9.3,8.9,9.4
2026-09-14,19.6,11.4,3.9,11.2
2026-09-15,22.2,10.3,0,8.3
2026-09-16,24.1,9.7,4.1,10.1
2026-09-17,18.1,8.3,0.5,11.9
2026-09-18,18.1,6.2,0,13
2026-09-19,19.3,6.4,0,12.6
2026-09-20,21,6.7,3.8,13.3
2026-09-21,14.5,5.7,0.1,16.9
2026-09-22,13.8,5.1,0,12.6
2026-09-23,17.3,1.4,0,10.4
2026-09-24,14.2,4.1,2.9,18
2026-09-25,15.5,3.1,0.1,7.9
